bucket,--,AD,AE,AR,AT,AU,BA,BB,BE,BG,BN,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,EC,EE,EG,ES,FI,FR,GB,GR,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JP,KH,KR,KY,KZ,LA,LC,LK,MD,MK,MM,MO,MT,MX,MY,MZ,NA,NC,NL,NO,NZ,PA,PE,PH,PL,PT,RO,RS,RU,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-09-12,2,1,3,9,2,89,1,0,4,0,0,11,1,58,10,4,12,0,1,182,1,0,0,0,24,5,32,78,1,0,1,0,0,1,6,0,0,0,0,1,62,0,2,0,1,0,0,0,0,0,0,2,0,0,2,0,25,0,0,0,61,0,7,0,1,15,3,4,7,0,5,38,12,0,1,102,3,104,0,137,0,0,0
2021-09-13,1,0,0,22,4,60,1,0,5,0,1,14,1,57,9,9,17,1,0,210,1,0,0,0,14,1,32,66,2,0,7,1,1,1,12,2,0,0,0,0,62,0,0,0,2,0,0,0,0,0,0,2,0,0,2,7,9,1,0,2,57,5,7,0,0,11,2,4,2,0,11,9,8,0,0,117,4,44,1,137,1,0,2
2021-09-14,0,0,1,13,6,43,0,1,5,0,0,14,0,75,7,5,10,3,0,225,0,0,0,0,24,2,24,78,4,0,5,1,1,2,18,0,0,0,0,0,67,0,0,0,0,0,1,0,1,3,1,2,0,0,0,7,6,0,0,0,55,2,7,0,0,18,2,6,2,0,6,22,7,0,0,131,4,46,0,143,0,0,0
2021-09-15,1,0,7,4,6,80,0,0,7,0,0,10,0,70,7,5,14,2,1,264,0,1,0,1,25,1,32,98,1,0,4,0,0,2,7,1,1,0,0,0,81,0,1,0,1,0,0,0,0,1,0,2,1,0,0,30,12,0,0,1,59,1,10,1,2,9,1,5,4,0,8,40,15,0,0,99,3,44,0,185,0,0,2
2021-09-16,2,1,8,22,1,47,1,0,3,0,0,9,1,77,5,5,10,0,0,232,1,0,0,0,26,1,29,84,0,0,5,0,1,0,5,1,0,0,0,0,72,0,1,0,3,0,0,0,0,0,0,2,0,0,0,2,11,0,1,0,51,2,3,1,0,15,3,7,2,0,10,29,6,0,0,140,4,72,0,173,1,0,0
2021-09-17,1,0,8,9,3,43,2,0,2,0,0,13,1,62,8,3,12,0,0,234,2,0,0,0,24,0,34,87,2,0,5,0,1,4,9,0,0,0,0,0,73,0,0,0,1,0,0,0,1,3,0,2,0,0,0,5,21,0,0,0,65,0,10,0,1,21,3,2,0,0,9,13,18,0,0,129,4,43,0,162,0,3,0
2021-09-18,2,1,4,10,3,58,1,0,4,0,0,8,0,60,6,4,14,2,0,166,1,0,0,0,18,0,34,50,0,0,8,0,3,2,10,1,0,0,0,0,82,0,1,0,0,0,0,0,0,1,0,3,0,1,0,10,18,0,0,0,50,1,6,0,1,25,3,4,4,0,4,20,14,0,1,102,4,70,0,168,4,0,1
2021-09-19,1,0,3,7,3,52,2,4,4,0,1,5,0,68,8,1,21,1,1,210,0,0,0,0,19,3,48,65,3,1,3,0,0,1,6,0,0,0,0,0,62,0,3,1,0,0,0,0,0,1,0,2,1,1,1,4,12,0,0,0,63,2,5,0,0,9,3,2,2,0,7,38,13,0,0,90,5,64,1,141,0,1,0
2021-09-20,1,0,3,8,4,45,1,0,6,0,2,11,0,70,5,4,12,1,0,223,3,0,0,0,21,2,36,50,0,0,6,0,0,0,15,0,0,0,0,0,70,1,1,0,0,0,0,0,0,1,0,3,0,0,0,8,8,0,0,0,60,6,4,0,0,9,1,6,2,0,7,26,16,0,0,98,4,61,0,99,0,2,0
2021-09-21,0,0,3,14,3,37,1,1,4,0,0,6,0,96,9,14,13,0,0,226,0,0,0,0,20,5,36,60,0,0,7,0,0,1,18,0,0,0,0,0,66,0,3,0,0,0,1,0,0,1,0,4,0,1,0,8,12,0,0,0,56,0,2,0,1,16,6,6,5,0,7,19,14,0,1,103,4,50,0,110,0,3,0
2021-09-22,0,1,5,6,2,67,2,1,6,0,0,5,0,96,8,9,9,1,0,203,2,0,0,0,14,0,35,113,1,0,6,0,0,1,6,0,1,1,0,0,64,0,3,0,0,0,0,0,0,1,0,3,0,1,0,28,10,0,0,0,57,1,3,0,1,10,8,7,2,1,14,26,16,0,2,86,2,64,1,170,0,0,2
2021-09-23,0,0,7,26,2,43,2,1,4,0,0,12,1,82,6,6,13,3,0,231,3,0,0,0,18,1,45,84,0,0,3,0,1,0,5,0,3,0,1,0,77,0,0,0,5,0,0,0,0,1,0,2,0,0,0,10,22,0,1,0,63,1,6,0,3,10,4,4,3,1,8,42,16,0,0,111,4,56,0,143,0,0,2
2021-09-24,1,1,5,6,0,52,2,6,3,0,0,8,0,56,8,3,21,1,0,179,1,0,0,1,19,0,35,81,0,0,3,0,0,0,4,0,1,0,0,1,72,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,28,0,0,0,72,1,5,0,0,8,3,10,4,0,11,25,15,0,0,114,4,75,1,127,0,2,3
