bucket,total,--,AD,AE,AL,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BM,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GI,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JM,JP,KE,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MD,ME,MK,ML,MM,MO,MQ,MT,MV,MX,MY,MZ,NA,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,UA,US,UY,VE,VN,YE,ZA,ZM
2021-12-01,2483,12,0,1,0,4,28,14,0,1,0,0,7,1,0,0,22,0,119,9,0,5,0,55,1,0,0,0,585,5,0,0,0,0,0,17,2,58,117,0,0,0,2,0,9,0,1,7,9,2,9,0,2,84,0,17,0,0,7,0,0,0,0,1,0,4,1,0,0,1,1,0,1,0,0,0,0,0,3,5,0,0,0,0,433,2,0,1,0,1,20,0,10,0,7,0,0,8,1,22,0,0,0,0,22,88,0,7,66,0,6,0,17,9,526,0,0,6,0,2,0
2021-12-02,2318,10,0,7,0,21,16,9,0,0,0,0,8,1,0,0,11,0,84,13,0,5,0,69,1,0,0,3,620,3,0,0,0,0,1,28,2,57,105,0,0,1,2,0,12,0,3,1,7,2,4,0,1,85,0,13,1,2,7,0,0,0,0,0,3,1,1,0,0,1,0,0,1,0,0,0,0,0,12,8,0,1,0,0,380,3,1,4,0,0,16,0,11,0,7,0,0,7,1,23,1,0,0,0,25,96,0,2,78,0,6,0,15,8,384,1,0,5,0,1,0
2021-12-03,1964,6,0,6,0,9,8,17,0,0,0,0,9,1,0,0,11,0,80,10,0,5,0,66,1,0,1,2,557,0,0,0,0,0,0,25,2,53,95,0,0,0,2,1,7,1,2,3,2,1,5,1,0,85,0,16,1,0,13,1,0,0,1,0,3,2,1,0,0,1,0,0,1,0,0,0,0,0,3,7,0,0,0,0,208,2,1,1,1,2,11,0,11,0,3,0,0,7,0,36,0,0,0,0,10,110,0,1,44,0,4,1,28,8,342,0,0,7,0,2,0
2021-12-04,1720,9,0,1,0,4,15,7,1,0,0,0,18,3,0,0,12,0,90,9,0,1,0,55,0,0,0,3,389,2,0,0,0,0,0,21,2,60,72,0,0,0,2,0,15,0,0,2,2,2,0,1,0,75,0,15,0,1,2,0,0,0,3,0,6,5,1,0,0,0,0,0,1,0,0,0,0,0,3,5,0,0,0,1,173,1,0,1,0,2,4,1,7,0,10,0,0,13,1,30,1,0,0,0,18,103,0,2,43,0,5,1,12,12,350,0,0,10,0,3,1
2021-12-05,1855,12,0,0,0,7,12,7,0,1,1,0,18,4,0,0,13,0,66,12,0,3,0,59,1,0,0,5,528,1,0,1,0,0,0,28,1,63,69,1,0,0,2,0,17,0,1,2,3,2,2,0,0,88,0,9,0,0,2,1,0,0,2,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,189,1,0,2,0,0,7,0,11,0,11,0,0,11,0,26,1,0,0,0,22,82,0,5,41,0,7,0,27,10,337,0,0,5,0,2,0
2021-12-06,2296,9,0,1,0,4,6,8,0,0,0,0,17,2,0,0,10,0,66,11,1,2,0,58,1,0,0,2,635,6,0,0,0,0,0,35,4,47,102,0,0,1,1,0,9,0,3,8,4,2,7,0,0,74,0,14,0,0,3,0,0,1,1,0,0,4,0,2,0,1,0,0,1,0,0,0,0,0,3,13,0,0,0,0,489,3,0,3,0,0,10,0,7,0,9,0,0,8,1,29,2,0,0,0,23,83,0,2,49,0,8,0,16,11,351,0,0,10,0,3,0
2021-12-07,2317,12,0,0,0,6,24,6,0,1,0,0,12,2,0,0,23,0,97,12,0,3,0,54,1,0,0,0,710,4,0,0,0,1,0,30,3,49,103,0,0,0,5,0,5,0,3,3,5,2,5,0,0,67,0,17,0,0,6,0,0,0,2,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,5,4,0,0,0,1,418,2,0,2,0,1,24,0,11,1,5,0,1,11,0,31,1,0,0,1,18,74,1,6,31,0,5,0,28,13,330,3,0,8,0,3,0
2021-12-08,2227,12,0,3,0,3,9,12,0,0,0,1,17,0,0,0,19,0,96,11,1,5,0,71,1,0,0,0,592,2,0,0,0,1,0,34,1,48,82,0,0,0,3,0,7,0,1,2,2,3,6,0,0,92,0,15,0,1,1,0,0,0,1,1,2,5,0,0,0,2,0,0,1,0,2,0,0,0,5,6,0,1,0,0,412,2,0,0,0,1,8,1,7,0,8,0,0,8,1,26,0,0,0,0,18,86,0,3,49,0,5,0,19,13,365,4,0,10,0,1,0
2021-12-09,2435,14,0,5,0,8,14,12,0,0,0,0,12,1,0,0,12,0,80,15,0,3,0,63,0,0,1,4,714,5,0,0,0,1,1,22,1,59,87,0,0,0,1,0,9,0,2,1,7,4,4,0,0,68,4,30,0,0,7,0,0,0,2,1,4,3,0,0,0,3,0,0,1,0,2,0,0,0,8,16,0,0,0,0,436,4,0,4,0,0,4,1,5,0,7,0,0,10,1,28,0,0,0,0,26,77,0,1,29,0,4,0,23,16,437,1,0,10,0,0,0
2021-12-10,2455,8,0,4,0,7,12,21,0,1,0,0,16,0,0,0,12,0,102,13,1,2,1,72,1,0,1,3,524,6,1,0,0,0,0,25,2,54,85,0,0,0,2,0,14,1,0,6,7,0,2,0,0,89,0,23,0,0,4,1,0,0,0,2,2,7,0,0,1,0,0,0,1,0,0,0,0,0,8,18,0,0,1,1,537,6,0,1,0,0,16,1,12,0,5,0,0,10,0,24,0,0,0,0,13,105,0,1,54,0,5,1,12,9,462,1,0,13,0,3,0
