bucket,total,--,AD,AE,AL,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BM,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GY,HK,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KH,KR,KW,KZ,LA,LK,LT,LU,LV,LY,MA,MD,ME,MK,ML,MM,MN,MO,MQ,MU,MV,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,TG,TH,TN,TR,TT,TW,UA,US,UY,UZ,VE,VN,ZA
2022-01-01,1439,12,0,0,0,3,6,15,0,2,0,1,7,0,0,1,0,9,0,0,99,12,2,0,58,0,0,0,241,2,0,0,0,1,23,0,52,55,0,1,0,13,0,0,0,4,4,1,6,0,1,83,30,0,0,4,0,2,0,1,8,1,0,0,0,0,0,0,1,0,0,2,0,0,0,4,5,1,0,0,117,5,0,0,0,1,1,0,11,0,8,0,0,0,5,0,17,1,1,0,19,34,2,0,0,0,37,0,10,0,19,8,357,0,0,0,13,0
2022-01-02,1646,6,0,1,0,5,7,14,0,3,0,0,8,0,0,0,0,8,0,0,106,12,6,0,57,1,1,1,342,5,0,1,0,1,23,2,68,81,0,1,0,5,1,0,3,2,9,1,5,1,0,100,18,1,0,3,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,5,0,0,0,137,2,1,0,0,0,2,0,12,0,10,1,0,0,4,0,20,0,0,0,16,43,1,1,0,0,54,0,3,0,19,11,378,1,0,0,8,0
2022-01-03,1981,8,0,0,2,5,10,16,0,1,0,0,8,1,0,0,1,12,1,0,133,9,1,0,70,1,0,2,464,3,0,0,0,0,30,1,55,105,1,3,0,10,1,0,4,2,5,3,9,0,0,106,31,2,0,8,0,0,1,0,3,1,0,1,0,3,0,0,1,0,0,1,0,1,1,3,7,0,0,0,203,7,0,4,0,1,4,0,14,0,6,0,0,0,7,0,23,1,0,0,21,44,0,0,0,0,40,0,1,0,33,8,409,2,0,0,6,0
2022-01-04,1939,12,0,1,0,10,15,7,0,1,0,0,5,3,0,0,0,5,0,0,108,12,3,0,63,1,0,2,523,0,0,1,0,0,32,0,59,79,0,1,0,15,0,0,0,5,6,1,2,1,0,87,17,1,0,7,0,1,1,0,4,4,0,0,0,2,0,0,1,0,0,0,0,0,0,3,6,0,0,0,179,3,0,1,0,3,7,0,8,0,12,0,0,0,6,0,17,1,0,0,34,37,2,1,0,0,47,0,8,2,30,9,410,3,0,0,10,2
2022-01-05,2116,11,0,1,0,5,6,22,0,1,0,1,7,0,0,0,0,11,0,0,172,10,5,0,74,0,0,2,471,3,0,0,0,0,20,0,66,85,0,2,0,11,0,0,2,3,7,4,7,1,0,123,21,0,0,4,0,0,1,1,5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,5,8,1,0,3,269,6,0,2,0,3,2,0,14,0,9,0,0,0,10,0,27,1,0,0,17,46,1,2,0,0,41,0,6,0,27,8,428,1,0,0,9,1
2022-01-06,2288,13,0,7,0,7,14,17,0,2,0,1,8,0,0,0,0,12,0,0,156,16,3,0,91,0,0,2,532,4,0,0,0,0,31,0,86,109,0,0,0,11,0,0,2,1,17,1,9,1,1,112,21,0,0,10,0,0,1,1,6,2,0,0,0,1,0,2,1,0,0,0,0,0,0,3,3,1,0,0,255,2,1,3,1,1,1,1,9,0,13,0,0,0,9,1,20,0,1,1,29,37,1,0,0,0,35,0,6,0,19,8,504,2,0,1,6,3
2022-01-07,2262,6,1,11,0,7,3,12,0,2,0,0,14,2,0,0,0,17,0,0,186,13,3,0,85,0,0,3,495,5,0,0,1,0,29,1,80,115,0,0,0,10,0,0,4,2,6,3,11,0,0,115,16,0,1,6,0,0,2,5,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,254,4,1,2,0,0,5,0,11,0,15,0,0,1,6,0,23,0,0,1,23,38,0,0,0,0,48,1,3,1,36,9,482,1,0,0,7,2
2022-01-08,2018,9,0,8,0,5,6,23,0,2,0,0,5,1,0,0,0,12,0,0,128,19,2,2,97,0,0,5,399,4,0,1,0,0,19,5,70,91,0,0,0,8,1,0,2,5,10,2,11,0,3,110,25,0,0,7,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,0,0,0,234,3,0,0,0,0,4,0,5,0,15,0,0,0,10,0,26,0,1,0,32,41,0,1,0,0,40,0,10,1,26,10,433,1,0,0,8,1
2022-01-09,2261,12,0,1,0,7,8,24,0,1,1,0,9,3,0,1,0,13,0,0,151,12,2,1,85,0,0,7,516,4,0,0,0,0,28,2,80,115,0,0,0,7,0,0,0,2,15,2,9,0,0,128,22,1,0,4,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,1,246,3,0,0,0,0,10,0,6,0,17,0,0,0,8,0,16,1,0,0,51,38,0,0,0,0,35,0,5,1,24,5,497,2,0,0,8,0
2022-01-10,2934,6,0,0,0,8,7,20,0,0,0,0,12,2,0,0,0,8,0,0,177,12,4,1,173,1,0,3,758,9,0,1,2,0,20,5,62,122,0,0,0,8,0,0,2,2,7,4,8,1,0,111,26,1,0,5,0,0,3,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,531,10,0,0,1,0,10,1,4,0,16,0,0,0,11,1,28,1,0,1,65,51,0,1,0,0,36,0,7,0,23,8,506,1,0,0,9,4
2022-01-11,2768,16,0,1,0,3,9,11,0,0,0,0,13,3,0,0,0,16,0,0,159,10,2,1,96,1,0,0,772,1,0,0,1,0,36,3,67,100,0,3,1,9,0,0,0,1,27,2,11,3,0,109,28,0,1,4,0,0,1,2,10,3,0,0,0,1,0,0,0,1,0,1,0,0,0,2,3,0,0,0,487,2,0,4,0,0,8,0,9,0,18,0,0,0,8,0,10,2,0,0,42,42,1,2,0,0,31,0,5,0,30,6,510,0,0,0,7,0
2022-01-12,2948,10,0,1,0,9,9,26,0,0,0,0,5,0,0,0,0,15,1,1,234,10,5,0,101,0,0,3,837,4,0,0,0,0,22,19,68,96,1,0,0,12,0,0,2,1,5,0,8,0,0,99,22,1,0,10,0,1,1,0,6,2,0,0,0,1,1,2,0,0,0,0,0,0,0,4,17,0,0,1,491,3,0,0,0,0,6,1,10,0,14,0,0,0,11,0,16,0,0,0,52,35,0,2,0,0,48,0,5,0,30,8,536,0,0,0,5,2
2022-01-13,2926,12,0,8,0,6,9,15,0,1,0,0,11,0,0,0,0,13,0,0,176,9,6,0,104,3,0,2,829,4,0,1,1,0,34,4,69,125,0,2,0,10,1,0,0,4,12,1,9,1,1,99,21,0,0,12,0,0,2,0,5,3,0,0,0,2,0,2,0,0,0,1,0,0,0,1,8,0,1,0,534,3,0,0,0,1,9,0,6,0,12,0,0,0,9,0,18,1,0,0,76,29,0,1,1,0,33,0,6,0,29,8,501,2,1,0,6,0
2022-01-14,2456,13,0,3,0,7,7,13,0,0,0,0,13,2,1,0,0,13,0,1,181,8,9,2,87,0,1,2,622,2,0,4,1,0,38,1,77,95,0,1,0,13,0,0,4,1,11,0,12,0,1,95,33,0,0,12,1,0,1,0,8,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,9,1,0,0,321,1,0,1,1,0,8,0,6,1,14,0,0,0,8,1,18,1,0,0,39,31,0,0,0,0,55,0,6,0,25,8,486,0,0,0,6,6
2022-01-15,2192,10,0,9,0,11,14,16,0,2,0,1,8,0,2,0,0,14,2,0,184,10,7,0,79,1,1,2,442,3,0,0,1,2,29,3,76,105,0,3,0,16,1,0,3,4,17,2,14,0,1,116,27,0,0,10,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,175,6,0,0,0,0,7,0,10,0,12,0,1,0,12,2,26,0,0,1,41,36,0,1,1,0,36,0,8,1,37,6,498,1,0,0,8,5
2022-01-16,2366,10,0,13,0,5,9,17,0,1,0,0,11,0,4,0,0,14,0,0,178,14,4,0,98,3,1,2,615,4,0,0,2,0,42,13,76,126,0,1,0,11,0,0,3,1,13,1,17,0,0,116,29,1,0,5,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,2,0,0,0,4,7,0,0,0,163,3,0,0,0,0,6,1,6,0,5,0,0,0,7,0,27,0,0,0,83,32,0,0,0,0,44,0,6,1,25,8,457,0,0,0,9,4
2022-01-17,2614,16,0,3,0,7,7,12,0,0,0,0,15,1,3,0,0,17,0,0,154,10,10,0,98,2,0,1,777,1,1,0,0,0,35,18,73,108,0,2,0,10,0,0,1,4,20,3,20,0,1,127,18,0,0,6,0,0,0,1,8,2,0,0,0,0,0,2,0,1,0,1,0,0,0,3,11,1,0,0,213,4,1,4,0,0,11,0,5,0,11,0,0,0,7,1,26,1,0,0,99,28,0,0,0,0,59,0,7,0,24,12,478,1,0,0,11,0
2022-01-18,2492,13,0,8,0,13,14,23,0,1,0,0,14,5,1,0,0,11,0,0,136,11,6,1,131,4,0,3,745,4,0,3,1,1,30,25,69,94,0,2,0,12,0,0,2,6,17,0,19,2,0,110,24,0,2,15,0,1,0,2,5,1,0,0,0,0,0,2,0,0,0,1,0,0,0,6,10,0,0,0,163,2,0,1,1,3,20,0,7,0,7,0,0,0,8,0,22,0,0,0,67,30,1,1,0,0,54,0,8,0,26,6,439,1,0,0,16,3
2022-01-19,2782,15,0,6,0,8,22,18,0,0,1,0,13,4,0,0,0,20,2,0,219,7,1,0,111,1,1,1,880,2,0,4,2,2,40,28,65,84,1,4,0,15,0,1,3,8,9,2,22,2,3,115,31,0,0,12,2,0,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,2,0,0,207,0,0,1,1,2,9,0,7,0,6,0,0,0,8,1,21,0,0,0,45,33,1,4,0,0,44,0,9,0,41,11,518,1,0,0,9,0
2022-01-20,2612,11,0,5,0,11,13,9,1,0,0,0,8,3,1,0,0,25,1,0,202,10,3,1,98,2,0,1,830,4,0,3,1,0,37,8,90,104,1,2,0,14,1,0,1,2,9,1,18,0,1,112,12,1,1,13,2,2,0,1,6,0,0,0,0,1,0,2,0,1,1,0,0,1,0,4,8,0,1,0,186,5,1,2,0,0,13,1,14,0,6,0,0,0,10,1,18,1,1,0,72,34,0,0,0,1,45,1,5,0,49,8,421,1,0,1,13,1
2022-01-21,558,2,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,5,0,0,104,0,1,0,44,0,0,0,24,0,0,0,0,0,5,0,7,20,0,0,0,3,0,0,0,3,1,1,4,3,0,10,9,1,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,17,0,0,2,0,0,3,0,2,0,1,1,0,0,2,0,7,0,0,0,3,16,0,1,0,0,5,0,0,0,8,1,218,1,0,0,1,0
