bucket,total,--,AD,AE,AL,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BM,BO,BR,BT,BW,BY,BZ,CA,CG,CH,CI,CL,CM,CN,CO,CR,CU,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JM,JO,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MG,MK,MM,MN,MO,MQ,MT,MU,MW,MX,MY,MZ,NA,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SL,SN,TH,TJ,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-03-01,2067,8,0,2,0,1,7,13,14,0,1,0,1,6,6,0,1,22,0,0,0,0,106,0,14,0,2,1,121,1,0,0,0,0,461,0,0,0,1,0,0,19,0,0,75,91,1,0,1,2,82,0,0,4,2,7,2,21,1,0,81,0,0,58,1,0,0,7,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,2,0,1,0,1,6,7,0,1,0,0,81,2,0,3,0,0,2,11,1,9,0,0,6,0,0,7,1,35,2,0,0,22,31,0,0,0,0,52,0,0,6,0,35,0,8,0,462,1,0,1,20,2,0,0
2022-03-02,2156,18,0,3,0,0,8,5,21,0,2,0,0,5,3,1,1,16,0,1,1,0,114,0,9,0,3,1,142,3,0,0,0,0,454,4,1,1,0,1,1,17,0,1,69,103,0,0,3,0,84,0,0,1,4,4,2,15,2,0,82,0,1,36,0,0,0,11,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,13,0,0,0,0,89,3,0,4,0,0,0,8,1,5,0,0,7,0,1,10,2,35,3,0,0,35,32,0,1,0,0,55,0,0,4,0,36,0,7,0,517,1,1,0,16,2,1,0
2022-03-03,2066,8,0,6,0,0,9,7,10,0,1,0,1,5,0,0,0,30,0,0,0,0,100,0,10,0,6,0,137,1,0,0,0,1,460,7,1,0,0,0,1,23,0,2,71,80,0,0,1,1,92,1,1,6,5,11,0,14,2,0,77,0,0,46,0,0,1,10,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,2,1,0,3,14,0,0,0,0,79,4,0,1,0,1,1,7,1,4,0,0,9,1,0,6,0,20,2,0,0,37,39,0,1,0,0,55,0,1,3,0,24,0,5,0,480,0,0,1,13,0,0,0
2022-03-04,1986,16,0,17,0,1,13,4,14,0,1,0,0,7,0,0,0,25,0,1,1,0,113,0,10,0,2,0,129,4,0,0,0,0,386,4,0,1,0,0,1,23,0,0,71,121,0,0,1,0,57,0,0,1,4,5,0,27,3,1,82,0,0,33,0,0,1,16,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,6,10,0,0,0,0,83,2,1,3,0,0,0,6,0,6,0,0,10,0,0,9,2,29,0,0,0,21,38,0,2,1,0,64,0,0,5,0,29,0,6,0,433,1,0,0,13,2,0,0
2022-03-05,1789,9,0,9,0,0,11,5,18,1,2,0,0,7,0,0,0,19,0,0,3,0,92,0,9,0,3,1,138,1,0,1,0,0,257,5,0,0,0,0,0,17,0,0,81,70,1,0,1,2,81,0,0,3,6,6,4,22,1,0,88,0,0,43,0,0,0,8,0,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,4,8,1,0,1,0,99,2,0,3,0,0,0,8,0,8,0,0,8,0,1,9,1,30,1,1,0,22,21,1,0,0,0,54,0,0,8,0,31,0,7,0,409,1,0,0,15,1,0,0
2022-03-06,1962,7,0,3,0,0,11,8,22,0,1,0,1,7,2,1,0,30,0,0,2,0,119,1,10,0,5,0,112,3,0,0,0,1,342,1,0,0,1,0,0,34,0,1,88,94,0,0,2,0,83,0,0,3,12,12,1,14,2,0,109,0,0,27,1,0,0,7,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6,7,0,0,1,0,82,3,0,3,0,0,1,6,1,6,0,0,3,1,0,8,1,32,1,0,0,33,36,0,0,0,1,44,0,1,3,0,29,1,7,0,450,0,0,0,10,0,0,0
2022-03-07,2010,13,0,0,0,0,12,9,31,0,2,0,2,9,0,0,0,21,0,0,1,0,92,0,9,0,2,1,115,2,0,0,0,0,457,1,0,0,0,0,0,22,0,0,71,108,0,0,1,0,94,0,0,2,3,10,2,11,2,0,80,0,0,51,1,0,1,7,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,7,0,0,0,0,98,2,0,2,0,0,1,8,0,5,0,0,9,0,0,9,0,27,0,0,0,31,31,0,1,0,0,71,1,0,10,0,27,0,2,0,401,1,0,1,11,1,0,0
2022-03-08,2107,9,0,0,0,0,15,8,8,0,2,0,1,8,0,0,0,23,0,0,4,0,112,0,5,0,4,0,143,6,0,0,0,1,461,6,0,0,0,0,0,25,0,0,71,105,0,0,2,0,108,2,0,1,7,11,1,20,3,0,90,0,0,63,1,0,0,18,0,1,3,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,75,3,0,1,0,0,0,11,1,6,0,0,2,2,0,6,1,22,0,0,0,25,22,0,0,0,1,48,0,1,8,0,16,0,2,0,481,1,0,0,9,1,0,0
2022-03-09,2332,10,1,4,0,0,11,11,16,1,1,0,1,6,2,0,0,22,0,0,0,0,145,0,9,0,5,0,110,3,0,0,0,0,484,4,0,1,0,0,1,32,0,0,79,118,0,2,2,0,96,4,0,1,12,10,2,21,3,1,80,0,1,71,0,0,0,14,0,0,1,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,7,13,0,1,0,0,95,3,0,2,0,0,0,6,1,13,0,0,4,1,0,11,0,38,0,1,0,42,37,0,0,0,0,70,0,1,3,0,22,1,1,0,541,2,0,0,12,0,0,0
2022-03-10,2224,9,0,5,0,0,10,4,12,1,2,0,1,8,2,0,0,23,0,0,1,1,124,0,9,1,6,1,102,4,0,0,1,1,441,9,0,0,1,2,0,24,0,0,83,103,0,0,4,2,113,2,0,2,15,15,1,24,0,0,77,0,0,34,1,0,0,10,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,91,6,0,2,0,0,1,11,0,13,0,1,9,0,0,8,0,32,1,0,0,23,35,0,2,0,0,69,0,1,9,0,39,0,2,1,550,1,0,1,9,2,0,0
