bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CR,CU,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GN,GQ,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KM,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MG,MK,MM,MN,MO,MR,MS,MT,MU,MV,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SN,SY,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZM,ZW
2022-04-01,1853,16,0,12,0,0,0,7,3,10,0,2,0,0,7,3,0,19,2,0,88,11,4,1,129,7,0,0,1,343,2,2,0,0,0,0,22,0,0,54,86,0,0,0,0,0,0,0,91,0,1,1,8,11,1,16,0,0,1,78,0,1,47,1,0,1,0,9,0,0,0,0,0,1,2,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,7,5,0,0,0,81,3,2,0,0,0,2,7,0,8,0,0,6,1,0,0,10,1,27,4,0,0,0,16,32,0,0,0,0,70,0,5,0,13,1,6,0,416,2,0,0,0,14,5,0,0
2022-04-02,1848,20,0,4,0,0,0,10,6,13,0,3,1,0,10,1,0,24,1,0,98,13,5,0,106,3,0,0,0,265,5,0,0,0,0,3,25,0,1,68,61,0,0,0,0,0,2,1,103,0,1,2,8,11,1,17,1,1,1,106,0,0,50,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,0,0,1,0,0,2,4,0,0,1,79,4,1,2,0,0,2,4,0,10,0,1,6,1,0,0,14,0,32,4,0,0,0,16,35,0,0,0,0,71,2,8,0,30,0,5,0,423,1,0,2,0,16,3,0,0
2022-04-03,1850,9,0,1,1,0,0,11,7,10,0,4,1,1,5,6,1,20,2,1,110,9,3,0,104,1,0,0,4,296,2,0,0,0,0,0,37,0,4,73,73,0,0,0,0,0,2,0,125,0,0,2,6,11,2,11,0,1,0,94,0,0,52,1,0,0,0,9,0,0,1,0,0,0,2,2,0,1,0,0,0,1,0,1,2,0,0,0,0,0,6,5,1,0,0,80,1,1,2,0,0,2,5,0,8,0,0,5,0,0,0,17,1,36,3,0,0,0,28,34,0,0,0,0,69,0,5,0,27,0,5,1,367,1,1,1,0,15,1,0,0
2022-04-04,1864,6,0,5,0,1,0,13,5,13,1,1,1,0,8,0,1,13,3,0,100,9,1,1,126,3,0,1,3,331,1,0,0,0,0,1,30,0,1,51,83,0,0,0,0,0,2,0,105,0,0,1,4,12,2,17,0,3,1,82,0,0,54,0,0,0,0,9,0,0,0,0,0,1,2,1,0,0,1,1,0,3,0,0,1,0,0,0,0,0,5,5,0,0,1,89,7,0,2,0,0,0,8,0,5,0,0,5,0,0,0,14,2,23,3,0,0,0,18,27,0,1,0,0,56,0,7,0,11,0,4,0,442,1,0,0,0,13,0,0,0
2022-04-05,1912,7,0,1,0,0,0,9,6,17,0,1,0,0,8,4,0,15,0,0,142,9,2,0,112,5,0,0,2,286,3,0,0,1,0,0,41,0,1,57,76,0,0,0,0,0,1,0,123,0,0,1,5,12,4,7,0,3,0,79,0,0,31,2,0,1,0,13,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,13,9,0,0,1,87,2,2,3,0,1,0,9,0,4,1,0,8,0,0,1,11,3,23,3,0,0,0,16,33,0,0,1,0,58,0,8,0,26,0,4,0,475,0,0,0,0,12,3,0,0
2022-04-06,1950,12,0,3,0,0,0,13,7,21,0,1,0,0,3,2,0,22,2,0,106,13,1,0,109,3,2,0,2,298,0,0,0,0,0,0,28,1,1,49,79,0,0,0,0,0,2,0,101,0,0,0,14,9,4,14,0,2,0,76,0,0,44,0,0,2,0,14,0,0,1,0,0,0,2,0,0,1,1,0,0,2,1,0,2,1,0,1,0,0,9,13,0,0,0,86,3,0,9,0,0,1,13,0,6,0,0,6,1,0,1,10,1,25,3,0,1,0,21,34,0,0,0,0,67,1,5,0,23,0,3,0,519,1,0,0,0,15,1,0,0
2022-04-07,1781,7,0,12,0,0,0,11,4,18,0,2,0,0,3,3,0,13,1,0,111,12,11,1,95,2,0,0,1,288,6,0,0,0,0,0,25,0,1,47,80,0,0,0,0,0,1,0,113,0,2,0,6,12,2,10,0,2,0,91,0,0,31,0,0,0,0,9,0,0,1,0,1,0,1,1,0,2,1,1,1,3,1,0,1,0,0,0,0,0,4,9,0,0,0,79,5,0,5,0,0,1,4,0,8,0,0,11,0,0,0,9,0,20,4,0,0,0,21,27,0,0,0,0,70,0,8,0,21,0,3,0,409,0,1,0,0,13,2,0,0
2022-04-08,1779,9,0,10,0,0,0,8,10,12,0,0,0,2,8,2,0,20,2,0,73,9,4,0,124,1,0,0,3,310,1,0,0,1,0,1,37,1,1,55,77,0,0,0,0,0,2,0,120,0,1,0,5,5,0,9,0,4,0,80,0,1,34,0,0,1,0,15,0,0,0,0,0,0,1,2,0,1,1,1,0,2,1,1,1,0,0,0,0,0,2,10,0,0,0,86,2,0,5,0,0,1,5,1,6,0,0,9,0,0,0,10,0,29,1,0,0,0,12,16,0,0,0,0,74,1,8,0,21,0,2,0,387,0,0,0,0,18,3,1,0
2022-04-09,1605,4,0,4,0,0,0,10,11,11,1,8,0,0,7,0,2,24,2,0,66,13,7,0,131,6,1,0,1,234,0,0,1,0,0,1,26,1,1,36,53,0,0,0,0,0,1,1,129,0,4,3,8,0,1,18,0,2,0,87,0,1,29,0,0,0,0,9,0,0,0,1,0,0,2,2,0,1,1,2,1,0,1,0,1,0,0,0,0,0,7,3,0,0,0,71,1,0,2,1,0,3,6,1,6,0,0,10,1,0,0,6,1,22,5,0,0,0,18,25,0,3,0,0,49,0,9,0,15,1,4,0,349,0,0,0,0,16,2,1,0
2022-04-10,1715,7,0,1,0,0,0,13,9,8,0,3,0,0,5,3,0,19,2,0,93,6,4,0,115,2,0,0,2,283,4,0,0,0,0,0,24,0,2,73,53,0,0,0,0,0,1,1,107,0,1,2,3,5,4,22,0,1,0,87,0,0,35,0,0,1,0,8,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,7,18,0,0,0,66,3,0,3,0,0,2,5,1,7,0,1,8,0,0,0,6,2,33,5,0,0,1,34,30,1,0,0,0,50,1,11,0,25,0,3,0,361,0,0,0,0,14,0,1,1
