bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BJ,BM,BN,BO,BR,BW,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GN,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,ME,MK,MM,MN,MO,MQ,MU,MW,MX,MY,MZ,NA,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SN,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-08-01,1479,11,0,4,0,1,0,15,4,11,0,0,0,1,6,1,0,0,0,0,0,14,0,0,0,54,7,0,6,0,95,6,0,0,0,0,0,165,6,1,0,0,0,1,20,1,0,51,89,0,1,0,4,0,27,0,1,1,4,7,1,14,1,2,44,0,1,11,1,0,0,16,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,1,1,0,0,7,11,0,0,0,0,95,1,0,5,0,0,0,0,0,7,0,5,0,0,5,0,1,0,9,2,20,1,0,0,7,26,1,1,0,0,30,0,6,29,0,2,0,487,0,1,1,5,0,0,0
2022-08-02,1320,12,0,2,0,0,0,12,3,11,0,1,0,4,5,0,1,0,0,0,0,16,0,0,0,55,2,0,4,1,95,4,0,0,0,0,4,173,3,1,2,1,0,0,19,0,0,44,52,0,0,0,2,0,32,0,0,2,4,3,1,22,0,0,53,0,0,22,4,0,0,17,0,1,1,0,0,0,3,1,0,0,2,0,0,1,0,0,1,0,0,0,11,8,0,0,2,0,60,1,0,4,0,0,1,0,0,11,2,5,0,0,4,1,0,1,6,0,23,1,0,0,9,23,0,0,0,1,30,0,4,18,0,3,0,378,1,1,1,9,1,0,1
2022-08-03,1287,14,0,4,0,1,0,12,5,11,0,0,0,0,3,1,0,0,0,1,0,17,0,0,0,59,6,0,4,1,95,2,0,0,0,0,1,131,2,1,0,1,0,2,13,1,0,45,53,0,0,0,4,0,26,0,0,2,5,21,3,15,0,0,55,0,0,14,2,0,1,19,0,0,0,0,0,0,4,1,1,0,0,1,1,1,0,0,0,0,1,0,7,2,0,0,0,0,65,1,0,5,0,0,1,0,0,4,1,7,0,0,6,0,0,0,5,0,19,2,1,0,10,34,0,0,0,0,36,0,6,28,0,3,0,372,0,0,0,8,1,0,0
2022-08-04,1436,12,0,1,0,0,0,16,4,9,2,0,0,2,6,1,0,0,0,0,1,14,0,1,0,55,11,0,1,0,91,5,0,0,3,0,3,146,6,3,1,0,0,2,18,0,4,55,76,0,1,0,2,0,63,0,0,2,6,15,3,22,0,0,52,0,0,9,1,0,0,20,1,1,1,0,0,0,2,1,1,0,3,1,0,1,0,0,0,0,0,0,3,7,0,0,0,0,73,1,0,3,0,0,1,0,0,4,2,6,0,0,5,0,0,0,4,0,23,0,0,1,9,41,0,1,0,0,40,0,4,25,0,2,0,407,2,1,0,12,1,0,1
2022-08-05,1375,9,0,7,0,1,0,10,3,12,0,0,0,0,5,2,0,0,0,0,0,11,0,0,0,43,7,0,7,0,78,4,0,0,0,0,2,142,7,1,0,1,0,2,18,0,4,51,48,0,0,0,3,0,78,0,0,1,3,14,1,9,0,2,44,0,0,12,3,1,1,22,0,0,0,0,0,0,8,1,0,1,2,0,0,1,0,0,0,0,0,0,7,8,0,0,1,0,83,0,0,5,0,0,0,0,0,6,1,3,0,0,6,1,0,0,5,0,14,1,0,0,12,18,0,0,0,0,38,0,7,33,0,1,0,439,0,0,0,3,1,0,0
2022-08-06,1388,14,0,4,0,0,0,15,3,12,1,0,0,0,3,0,1,0,0,0,2,14,0,0,0,40,4,0,1,1,62,4,0,0,0,0,0,142,1,0,0,1,0,2,17,0,1,45,64,0,0,0,2,0,140,0,1,3,3,8,1,15,0,1,55,0,1,15,1,0,2,23,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,1,1,7,7,0,0,1,0,72,0,1,2,0,0,1,0,0,7,2,4,0,0,2,0,0,0,3,1,14,2,0,0,12,27,0,0,0,1,44,0,5,25,0,2,0,399,1,0,0,10,2,0,0
2022-08-07,1447,11,0,1,1,0,0,12,2,11,0,0,0,2,4,0,0,0,0,0,0,13,0,1,0,39,8,0,5,1,74,5,0,0,0,0,2,150,5,0,1,0,0,1,18,0,6,43,65,0,0,0,2,0,37,0,1,3,7,19,1,15,0,2,65,0,0,17,1,1,2,27,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,5,0,0,0,10,5,0,1,0,0,63,3,1,9,1,0,1,0,0,4,2,4,0,0,5,0,0,0,5,0,15,2,0,0,19,24,0,1,0,0,33,0,7,25,0,3,1,494,0,0,0,13,5,0,0
2022-08-08,1368,17,0,1,1,0,0,13,2,13,0,0,1,2,4,1,0,0,0,0,0,16,0,0,0,60,4,0,0,0,74,6,0,0,0,0,0,151,7,1,1,1,0,1,16,0,3,59,61,0,0,0,2,0,22,0,0,1,12,4,2,13,0,1,59,0,0,13,2,0,1,18,0,0,0,0,0,0,4,1,0,0,2,0,1,1,0,1,3,0,0,0,7,6,0,0,0,0,86,4,0,5,0,0,2,0,0,11,1,5,0,0,4,0,0,0,2,0,11,1,1,1,9,34,0,0,0,0,35,0,2,36,0,7,0,403,0,1,0,12,3,0,0
2022-08-09,1524,13,1,5,0,0,0,16,2,6,0,1,0,2,5,0,0,0,0,0,2,16,0,1,0,64,5,0,1,2,65,6,0,0,0,0,1,183,1,1,2,2,0,0,19,0,2,51,77,0,0,0,1,0,35,0,1,0,7,21,3,27,0,1,42,0,0,17,1,0,2,18,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,5,5,0,0,0,0,59,3,0,14,0,0,1,0,0,8,1,10,1,0,5,0,0,0,6,0,15,3,1,0,5,31,0,3,1,1,41,1,7,33,0,4,0,501,1,1,0,14,4,0,0
2022-08-10,1590,10,1,3,1,0,0,20,4,11,1,0,0,3,5,1,0,0,0,0,0,18,0,2,0,68,9,0,1,0,61,5,1,1,1,0,1,157,2,1,0,0,0,1,18,1,3,62,74,0,0,0,2,0,30,0,0,1,12,21,1,19,0,0,60,0,0,5,1,1,1,20,0,0,1,1,0,1,7,0,0,0,0,1,0,1,0,0,2,0,0,0,7,5,0,0,1,1,79,2,0,7,0,0,0,0,0,10,1,6,0,1,4,0,0,0,4,0,17,1,0,0,9,42,0,2,0,0,52,0,5,30,0,2,0,551,1,0,0,10,5,0,0
