bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BJ,BN,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MC,MD,MK,MM,MN,MO,MR,MT,MU,MV,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SO,SV,SY,TG,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-01,1148,13,1,0,0,0,8,4,4,0,0,0,1,7,0,0,0,0,0,14,0,0,61,5,0,3,0,67,2,0,1,0,0,163,2,0,0,0,0,0,25,0,4,54,59,0,0,0,3,0,33,0,0,0,0,5,1,0,15,0,1,0,60,0,24,0,0,0,19,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,72,1,0,1,0,1,4,0,8,0,0,5,1,0,4,1,18,1,0,0,17,15,1,0,0,0,0,0,41,0,1,9,0,24,0,1,0,245,0,0,0,7,2,0,0
2023-04-02,1504,14,0,0,0,0,4,1,2,0,0,0,1,12,0,0,0,0,0,21,0,0,87,5,0,4,0,70,2,0,0,0,1,192,2,0,0,0,0,0,19,0,3,88,63,0,0,0,1,0,19,0,0,0,2,6,1,3,19,0,4,0,76,0,41,0,0,0,14,0,1,0,0,1,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,7,8,0,0,0,1,0,79,2,0,0,0,0,5,1,6,0,0,8,0,0,6,1,19,0,3,1,20,22,0,0,0,0,0,0,38,0,0,2,0,20,0,2,0,461,0,0,1,5,1,0,0
2023-04-03,1501,21,2,0,0,0,3,2,7,0,1,0,1,8,0,0,0,0,0,7,0,0,64,7,0,6,0,65,0,0,2,0,5,186,1,1,0,0,0,1,20,1,2,70,87,0,0,0,0,0,36,0,0,0,2,3,0,1,15,0,4,0,72,0,31,0,0,1,21,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,1,0,0,0,1,0,0,6,6,0,0,0,1,0,72,5,0,5,0,0,7,3,8,0,0,8,1,1,5,1,27,2,3,0,21,22,0,0,0,0,0,0,42,0,0,8,0,22,0,5,0,446,0,0,0,8,2,0,0
2023-04-04,1412,16,2,1,0,0,8,2,8,0,0,0,2,3,3,0,0,1,0,16,2,0,81,6,0,2,0,78,5,0,0,0,2,142,1,1,1,0,0,0,16,0,2,63,86,0,0,0,2,1,30,0,1,0,0,10,0,0,18,0,11,0,62,0,32,0,1,4,23,0,0,1,0,0,0,2,1,1,0,0,0,0,3,0,1,1,0,0,0,0,0,7,7,0,0,0,0,0,70,3,0,10,0,1,8,2,5,0,0,7,1,0,7,1,27,1,1,0,19,26,1,0,0,0,0,0,42,0,0,6,0,20,0,2,0,365,0,1,1,11,3,0,2
2023-04-05,1302,17,1,1,0,0,2,5,5,0,0,1,2,4,1,0,0,0,0,14,5,1,72,5,0,4,1,43,0,0,0,0,1,136,6,2,0,0,0,0,16,0,3,61,78,0,0,0,2,0,30,0,0,0,0,4,3,0,11,0,2,0,51,0,27,0,0,2,25,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,11,0,0,0,0,0,65,2,0,9,1,0,8,2,7,0,0,3,2,0,10,1,21,3,3,0,14,28,1,1,0,0,1,0,35,0,1,8,0,32,1,7,0,365,1,0,0,5,1,0,0
2023-04-06,1456,9,6,0,0,0,5,4,6,0,0,0,2,6,1,0,0,0,2,11,0,0,75,10,1,2,0,68,4,0,0,0,1,141,5,1,1,1,0,0,18,0,4,68,81,0,0,0,3,0,85,0,0,1,1,5,1,1,16,0,0,1,65,0,53,0,0,2,17,2,0,1,0,0,0,1,1,1,0,1,0,0,2,0,1,2,0,0,0,0,0,2,6,0,0,0,0,0,75,0,0,5,0,0,6,0,7,1,1,6,0,0,4,0,23,0,1,0,13,16,1,0,0,0,0,0,42,0,0,3,0,25,0,5,0,408,0,1,1,5,2,1,0
2023-04-07,1345,17,2,0,0,0,6,2,12,0,0,0,2,9,0,0,0,0,0,14,0,0,87,6,0,4,0,76,1,0,0,0,2,152,2,1,0,1,0,1,17,1,2,61,72,0,0,0,1,0,19,0,0,0,2,7,0,0,11,0,2,0,70,0,22,0,0,1,15,0,0,0,0,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,66,0,1,2,0,1,3,2,7,0,0,6,0,0,3,1,19,1,0,0,12,11,2,0,0,0,0,0,40,0,0,9,0,23,0,6,0,405,0,0,0,3,1,0,0
2023-04-08,1292,12,1,0,0,0,9,6,11,0,3,0,3,5,0,0,1,0,0,15,0,0,67,9,0,4,2,63,3,0,0,0,7,143,1,0,0,0,0,0,15,1,2,58,87,0,0,0,2,0,25,0,0,0,2,6,1,0,17,0,1,0,70,0,21,1,0,0,14,0,0,0,0,0,0,1,2,0,0,0,1,0,3,0,1,0,0,0,0,0,0,4,8,0,0,0,0,0,78,0,0,0,0,2,7,1,8,0,0,6,0,0,4,1,9,0,0,0,12,11,0,0,0,0,0,0,36,0,0,9,0,28,0,4,0,361,0,1,0,1,5,0,0
2023-04-09,1447,19,1,0,0,0,11,2,6,1,0,0,2,6,1,0,0,0,0,29,0,0,70,7,0,7,1,97,9,0,0,0,2,127,2,1,0,0,0,1,14,2,2,53,64,0,0,1,1,0,59,0,0,0,1,12,1,1,24,0,3,0,61,0,43,0,0,0,16,0,0,1,1,0,0,1,2,1,0,1,0,1,3,0,1,1,0,0,1,0,0,4,8,0,1,0,3,0,67,4,0,0,0,0,11,2,9,0,0,5,0,0,7,1,25,0,1,0,15,40,1,0,0,0,0,0,30,0,0,9,0,31,0,6,1,377,1,1,1,10,2,0,0
2023-04-10,1272,19,0,0,0,0,11,2,7,0,0,0,4,11,1,0,0,0,0,12,2,0,52,6,0,2,0,87,7,1,0,0,6,140,3,1,0,0,0,0,15,0,2,82,66,0,0,0,3,2,21,0,0,0,1,5,0,0,12,0,1,0,59,0,15,0,0,0,19,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,7,6,0,0,0,0,0,83,1,0,4,0,0,3,0,6,0,0,4,0,0,2,1,19,0,0,0,18,24,0,1,0,0,0,0,40,0,0,8,0,22,0,6,0,328,0,0,0,2,3,0,1
2023-04-11,1647,22,3,0,0,0,7,3,14,1,0,0,1,3,1,0,0,0,0,25,0,0,70,8,0,1,0,75,13,0,0,1,0,172,5,1,1,0,0,0,27,0,2,77,61,0,0,0,1,0,27,0,0,0,1,2,1,1,19,0,3,0,50,1,44,0,0,4,18,0,0,1,0,0,0,3,0,2,0,2,0,0,1,0,0,2,0,0,0,0,0,2,6,0,0,0,0,0,81,3,0,6,0,1,8,0,5,1,0,5,0,1,9,1,25,3,0,0,15,24,1,0,0,1,0,0,41,0,0,6,0,22,0,5,0,586,0,0,0,8,3,1,0
2023-04-12,1324,13,3,0,0,0,7,5,7,0,0,0,0,6,1,0,0,0,0,14,1,0,67,4,0,7,1,76,7,0,0,0,5,159,2,1,1,0,0,0,15,0,1,71,89,1,0,0,1,0,19,0,0,0,0,5,4,0,9,0,1,0,53,0,23,0,0,2,14,0,0,0,1,0,0,3,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,3,11,0,0,0,0,0,58,4,0,13,0,0,11,1,9,0,0,6,0,1,5,1,13,2,1,0,13,23,0,1,0,0,0,0,33,0,0,6,0,21,0,3,0,375,0,0,0,5,2,0,0
2023-04-13,1413,18,7,0,0,0,6,4,7,0,0,0,1,8,0,0,0,0,0,7,5,0,90,5,0,7,0,83,8,0,0,0,3,178,3,1,0,0,0,0,19,0,2,75,85,3,0,0,0,0,34,0,0,0,0,2,0,0,14,0,2,0,65,0,25,0,0,5,13,0,0,1,1,0,0,2,0,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,7,1,0,0,1,0,82,2,1,5,0,0,3,1,7,0,0,5,0,1,6,0,22,0,0,0,8,30,1,0,0,0,0,0,41,0,0,9,0,27,0,5,0,340,1,1,0,7,2,1,0
2023-04-14,1261,13,1,0,0,0,5,4,6,0,0,0,0,4,1,0,0,0,1,6,1,0,80,9,0,1,0,70,7,0,0,0,1,178,3,1,0,0,0,0,20,0,1,71,77,2,0,0,0,0,21,0,0,0,0,4,5,0,10,0,3,0,65,0,21,0,1,2,19,0,0,2,0,1,0,2,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,70,2,0,5,2,0,5,1,13,0,0,4,1,0,5,1,22,0,0,0,10,19,0,0,0,0,0,0,40,1,0,7,0,26,0,3,0,280,0,0,1,3,3,0,0
