bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BN,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DM,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MC,MD,MK,MM,MN,MO,MR,MU,MW,MX,MY,NA,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SV,TG,TH,TJ,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-06-01,1514,14,4,0,7,1,8,0,0,1,6,0,0,0,1,17,0,2,79,7,0,4,0,59,6,0,1,164,4,0,1,2,1,2,0,20,0,0,61,84,0,0,0,7,0,48,1,1,7,8,0,11,0,0,0,65,0,36,0,1,60,0,0,0,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,3,8,0,0,0,75,3,4,1,2,4,0,4,0,0,7,0,5,0,16,2,0,1,10,29,0,0,0,0,0,57,0,0,3,23,0,6,0,438,0,0,0,5,1,0,0
2023-06-02,1299,19,1,0,10,6,4,0,0,0,6,2,0,0,1,11,0,3,57,6,0,1,0,90,4,0,0,151,2,0,1,0,0,0,0,15,0,2,46,58,0,0,0,1,0,23,0,2,5,0,3,12,1,3,0,65,0,27,0,3,48,0,0,1,1,1,0,0,1,1,0,3,0,0,1,0,0,2,0,0,0,4,10,0,0,0,80,2,10,0,0,7,0,5,0,0,3,1,6,0,21,1,0,0,8,24,0,0,0,0,0,47,0,0,6,24,0,9,1,318,0,0,1,8,2,0,1
2023-06-03,1503,14,2,0,6,3,14,0,1,2,3,0,0,0,1,14,0,3,53,4,0,1,0,81,3,0,1,118,1,0,0,1,0,0,0,15,0,1,48,61,0,0,0,1,0,37,0,2,9,13,0,18,0,3,0,61,0,47,0,3,52,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,3,0,0,0,8,4,0,0,0,54,4,7,0,0,22,2,7,0,0,4,1,4,0,15,1,0,1,4,25,0,1,1,0,0,61,0,1,5,20,0,7,0,531,0,0,0,6,2,0,0
2023-06-04,1405,20,1,0,8,3,12,0,1,2,4,0,0,0,0,20,0,0,60,6,0,5,0,129,2,0,0,145,0,0,0,0,0,0,2,17,0,2,70,61,2,0,0,0,0,19,0,2,12,9,2,15,0,3,0,76,0,21,1,1,61,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,1,0,0,3,3,0,0,0,50,3,3,0,0,6,2,6,0,0,8,2,4,0,18,0,0,1,8,22,0,0,0,0,0,58,0,1,2,35,0,12,0,342,1,0,2,8,4,0,0
2023-06-05,1547,13,1,0,4,1,12,0,0,1,5,0,0,0,0,14,0,3,65,7,0,3,0,119,1,0,3,186,0,0,1,1,0,0,0,18,0,1,51,81,2,0,0,3,1,5,0,0,2,7,5,21,0,1,0,58,0,36,0,0,68,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,8,3,0,0,1,59,6,1,0,1,7,1,7,0,0,2,0,2,0,19,0,0,1,9,29,0,2,0,1,0,51,0,2,6,19,0,7,0,490,0,1,1,4,1,0,0
2023-06-06,1366,20,1,0,1,3,4,1,1,1,5,1,0,0,0,10,0,2,64,6,0,2,0,115,1,0,6,138,4,0,1,0,0,0,0,22,0,0,53,80,0,0,0,3,0,13,0,0,1,0,2,19,0,2,0,71,0,37,0,0,55,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,4,5,0,0,0,58,5,2,0,0,7,0,9,1,0,5,0,6,0,12,1,0,0,12,20,0,3,0,0,0,40,0,0,8,23,0,9,0,374,0,0,0,8,2,0,1
2023-06-07,1303,18,0,0,6,5,6,1,1,1,5,0,0,0,1,17,0,0,78,10,0,3,0,80,2,0,3,159,5,0,0,1,0,0,0,19,0,5,53,59,0,0,0,5,0,23,1,0,4,1,1,12,0,0,0,65,0,38,0,1,48,0,0,0,0,0,1,0,1,0,0,1,1,0,3,0,0,0,0,0,0,3,11,0,0,0,53,4,2,0,0,8,0,8,0,0,2,0,10,0,13,0,0,1,12,29,0,0,0,0,0,39,0,0,5,20,1,5,0,329,0,1,0,3,0,0,0
2023-06-08,1263,19,1,0,2,3,11,0,0,1,7,0,0,0,0,14,0,2,72,4,0,3,0,80,1,0,0,122,3,0,1,1,0,1,0,16,1,1,46,93,0,0,0,1,0,46,2,1,2,3,3,7,0,2,0,58,0,20,0,0,61,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,5,8,0,0,0,57,3,0,0,0,4,2,4,0,0,5,0,5,0,16,0,0,1,8,28,0,2,0,0,0,49,0,0,5,14,0,5,0,322,0,0,0,2,1,0,1
2023-06-09,1147,14,0,0,4,1,8,0,1,0,2,0,0,0,0,24,0,0,57,6,0,2,0,73,2,0,3,124,0,0,1,0,0,0,2,18,0,2,42,58,0,0,0,2,0,26,2,1,4,1,0,5,1,0,1,61,0,12,0,0,47,0,0,3,0,1,0,3,2,1,0,0,0,0,1,0,0,1,0,0,0,5,7,0,0,1,60,1,3,1,0,4,0,4,0,1,5,0,7,0,21,0,0,1,7,20,0,0,0,0,0,48,0,0,9,25,0,6,0,285,0,0,1,4,1,0,1
2023-06-10,1049,11,0,0,3,4,8,0,3,2,4,1,0,0,0,19,0,2,49,4,0,4,0,72,4,0,1,104,1,0,0,0,2,2,0,14,0,5,43,56,0,0,2,0,0,17,0,1,3,1,1,6,0,1,0,60,0,14,0,0,41,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,4,8,0,0,1,42,3,1,1,1,7,0,8,0,1,6,0,5,0,5,0,0,0,8,13,0,1,0,0,0,53,0,0,6,24,0,8,0,261,0,0,0,5,5,1,0
