bucket,total,--,AE,AL,AM,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BG,BH,BJ,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LT,LU,LV,LY,MA,MD,ME,MK,MM,MN,MR,MT,MU,MX,MY,NE,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SO,SR,SV,SY,SZ,TG,TH,TJ,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-09-01,1339,12,3,0,0,5,5,2,0,0,2,0,0,6,2,0,0,0,14,0,0,54,7,0,1,1,63,4,0,0,0,2,143,3,0,0,1,0,0,12,0,3,56,54,0,0,0,0,0,31,0,3,3,5,17,0,15,1,0,0,45,0,0,41,1,0,0,12,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,2,7,0,1,39,1,0,4,0,1,7,1,7,0,0,3,0,1,0,15,6,0,1,0,12,34,0,0,0,0,0,0,0,0,59,0,0,10,22,1,0,467,0,0,0,4,0,0,0
2023-09-02,1233,18,0,0,0,7,4,7,0,0,2,0,0,3,1,0,0,1,13,0,2,63,7,0,3,0,71,2,1,0,0,3,102,4,0,0,0,0,0,13,0,13,57,52,0,0,0,2,0,52,2,1,3,6,8,1,17,0,3,1,35,0,1,39,1,0,0,15,0,1,0,2,4,0,3,0,1,1,0,1,0,0,0,0,0,3,3,0,1,48,0,0,1,0,0,4,1,11,0,0,5,0,1,1,13,5,1,0,0,7,15,0,4,0,1,0,0,0,0,52,0,0,4,29,2,0,367,1,1,0,2,1,0,0
2023-09-03,1243,14,3,0,0,5,7,5,0,0,3,0,0,3,1,0,0,0,13,0,0,64,6,0,4,1,64,1,0,0,0,1,108,5,0,0,0,0,0,17,0,8,63,39,0,0,0,0,0,24,0,0,4,3,13,6,13,1,1,2,50,0,0,19,0,0,0,21,0,1,0,0,2,2,2,0,1,0,0,1,0,0,0,0,0,4,0,0,1,50,2,0,1,0,0,6,0,11,0,0,5,0,3,0,14,5,0,1,0,12,22,0,0,0,0,1,0,0,0,44,0,0,3,37,5,0,410,0,0,0,4,1,0,0
2023-09-04,1277,15,1,0,0,6,6,4,0,0,0,0,1,3,3,0,0,0,14,0,0,66,6,0,0,1,64,4,0,0,0,4,131,4,0,0,0,0,0,19,0,5,52,77,0,0,0,1,0,17,0,0,4,3,8,0,11,1,2,0,56,0,0,10,1,0,0,16,0,0,0,1,4,2,3,0,2,0,0,2,0,0,0,0,0,4,3,0,1,62,4,1,4,0,0,9,1,19,0,1,6,0,8,0,17,5,0,0,0,12,9,0,0,0,0,1,0,0,0,44,0,0,4,39,3,0,384,0,0,0,2,3,1,0
2023-09-05,1405,18,1,0,0,9,4,5,0,1,2,0,1,8,0,0,0,0,20,0,0,67,4,0,2,0,66,0,0,1,0,1,141,3,0,0,0,0,0,20,0,1,66,66,0,0,0,2,0,15,0,0,1,6,12,0,14,1,1,0,55,0,0,44,1,0,0,23,0,1,0,0,3,0,4,0,2,0,0,1,0,0,0,0,0,2,2,0,1,64,3,0,1,0,1,3,1,14,0,0,6,0,1,1,17,6,0,1,0,17,25,2,0,0,0,0,0,0,0,54,0,0,6,20,3,0,454,0,0,0,4,3,0,0
2023-09-06,1399,11,2,0,0,6,4,2,0,0,1,0,0,6,0,0,0,0,13,0,0,82,10,0,3,1,76,1,0,0,0,0,139,3,0,0,1,1,0,18,0,3,57,65,0,0,0,1,0,16,0,0,1,3,12,1,15,1,3,0,51,0,0,38,0,0,0,7,0,0,0,1,4,1,3,0,1,0,0,1,0,0,0,0,0,5,3,0,0,54,2,0,0,0,0,3,0,14,0,0,4,0,8,0,21,7,0,1,0,10,30,0,1,0,0,0,0,0,0,31,0,1,3,21,1,0,511,0,0,0,2,1,0,0
2023-09-07,1157,11,1,0,0,5,7,5,0,0,0,0,1,4,0,0,0,0,18,0,0,70,7,0,3,0,79,1,1,0,1,2,109,5,0,0,0,0,0,13,0,3,41,79,0,0,0,2,0,39,0,0,0,3,1,0,3,1,2,0,50,0,0,2,0,0,0,14,0,1,0,0,3,0,3,0,1,0,0,1,0,0,0,0,0,4,0,0,1,41,3,0,2,0,0,5,0,13,0,0,3,0,9,0,15,3,0,2,0,10,14,0,1,0,0,0,2,0,0,49,0,0,1,22,2,0,360,0,0,0,2,1,0,0
2023-09-08,1217,11,3,2,0,3,7,8,0,0,1,0,0,4,3,0,0,0,18,0,2,74,4,0,1,0,79,0,0,0,0,1,124,5,0,0,0,0,1,16,1,4,49,61,0,1,0,2,0,29,0,0,5,3,0,1,3,0,3,0,48,0,0,14,1,0,0,19,0,1,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,4,2,0,0,59,3,0,1,3,0,3,1,15,0,0,3,0,6,1,16,1,2,0,0,10,17,0,1,0,0,0,0,0,0,44,0,0,3,21,3,0,379,1,0,0,0,0,0,0
2023-09-09,1064,5,1,0,0,10,4,7,0,0,0,0,1,6,3,0,0,0,17,0,1,72,4,0,6,0,68,0,0,0,0,3,99,1,0,0,0,2,0,17,0,3,41,46,0,0,0,1,0,32,0,0,2,4,1,1,10,1,1,0,37,0,0,5,0,0,0,18,0,1,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,3,2,0,2,44,2,0,1,0,0,5,0,11,0,0,6,0,2,0,22,2,2,0,0,5,6,0,0,0,0,0,0,0,0,58,0,0,8,24,2,0,316,0,0,0,2,0,0,0
2023-09-10,1081,7,1,0,0,5,5,4,0,1,1,0,2,6,2,0,0,0,9,0,0,64,4,0,2,1,57,0,0,0,0,0,104,1,0,0,0,1,2,13,0,4,50,60,0,0,0,1,0,32,0,1,1,2,7,2,6,1,1,0,49,0,0,3,0,0,0,12,0,0,1,0,2,0,1,0,1,0,2,1,0,0,0,0,0,4,3,0,0,44,2,0,1,0,0,6,0,8,0,0,4,0,3,0,14,4,0,0,0,14,12,0,0,0,0,0,0,0,0,37,0,0,8,33,3,0,345,1,0,0,3,0,0,0
2023-09-11,1146,10,1,0,0,13,2,7,0,1,0,0,2,5,5,0,0,0,9,0,0,75,5,0,2,0,44,1,0,0,0,1,137,0,0,0,0,0,0,13,1,2,53,66,0,0,0,2,0,18,0,0,2,1,1,0,8,1,2,0,55,0,0,7,0,0,0,16,0,1,1,1,0,0,3,0,1,0,0,2,0,0,0,0,0,5,0,0,0,47,4,0,5,2,0,1,1,15,0,0,8,0,5,0,15,1,0,2,0,17,11,0,2,0,3,0,0,0,0,51,0,0,6,29,4,0,332,1,0,0,1,1,0,0
2023-09-12,1197,5,2,0,0,11,4,8,0,0,1,2,1,4,3,0,0,1,13,0,1,76,8,0,3,1,70,1,0,0,0,1,123,2,0,0,0,0,0,14,0,1,40,61,0,0,0,1,0,17,0,0,2,0,4,3,4,0,3,0,53,0,0,7,0,0,0,7,0,2,0,1,2,0,2,0,1,0,0,1,0,0,0,0,0,2,4,0,0,54,2,0,1,4,0,5,1,13,0,0,4,0,4,0,9,2,0,1,0,13,16,0,0,0,0,0,0,0,0,23,0,0,11,26,4,0,428,0,0,1,2,0,0,0
2023-09-13,1375,11,3,0,0,5,5,8,0,0,0,1,2,4,1,0,0,0,17,0,1,75,9,0,0,1,79,1,1,0,0,1,147,3,0,0,0,1,0,15,0,1,67,59,0,0,0,3,0,19,0,0,1,3,0,1,10,1,1,0,46,0,0,37,0,0,0,13,0,0,2,0,3,0,3,0,2,0,0,1,0,0,0,0,0,4,6,0,1,51,2,0,0,0,1,4,0,18,0,0,3,0,6,0,19,3,0,0,0,13,28,0,2,0,0,0,0,0,0,37,0,0,1,19,2,0,488,0,0,1,1,1,0,0
2023-09-14,1316,12,4,1,0,5,2,6,0,0,0,0,2,5,2,0,0,0,18,0,1,65,4,0,0,1,86,2,1,0,0,2,120,1,0,0,0,0,0,18,0,1,53,66,1,0,0,2,0,65,0,0,1,3,1,1,13,1,3,0,54,0,0,22,0,0,0,11,0,0,0,1,2,0,1,0,3,0,0,1,1,0,0,0,0,5,3,0,1,53,3,0,0,0,0,6,1,14,0,0,7,0,6,0,17,2,0,0,0,9,11,0,2,1,0,0,1,0,1,58,0,0,8,27,8,0,399,0,0,1,7,0,0,0
2023-09-15,1386,22,2,0,0,5,3,22,0,0,0,0,2,2,2,0,0,0,22,0,0,71,4,1,2,0,126,1,0,0,0,4,123,5,0,0,3,0,1,28,0,0,57,49,0,0,0,3,0,32,0,0,7,4,0,1,15,0,5,0,60,0,0,57,0,0,0,25,0,1,0,1,1,0,0,0,4,0,0,1,0,1,0,0,1,7,7,0,1,48,3,0,4,2,0,13,1,15,0,0,6,2,4,1,20,1,2,1,0,10,27,0,0,0,0,0,0,0,0,43,0,0,6,30,6,1,340,0,2,1,6,0,0,0
2023-09-16,1264,18,1,0,0,4,2,19,0,0,1,0,1,6,3,0,0,0,13,2,1,64,6,0,6,1,100,4,0,0,1,2,98,3,1,0,0,0,1,16,1,4,57,50,0,1,0,0,0,29,0,0,7,3,4,3,22,1,2,0,57,0,0,27,0,0,0,23,0,3,0,1,1,1,3,0,1,0,0,1,0,1,0,0,0,7,6,0,2,51,2,0,1,0,0,6,0,13,0,0,7,0,5,1,21,4,0,0,0,11,16,0,3,0,0,0,0,0,0,44,0,0,3,24,1,0,348,0,0,1,7,3,0,0
2023-09-17,1293,11,2,0,0,4,4,11,0,0,0,0,0,6,3,0,0,0,26,0,5,78,3,1,1,1,96,10,1,0,0,1,115,3,0,1,0,0,0,24,1,2,62,55,1,0,0,2,0,30,0,0,4,2,2,2,14,0,2,0,63,0,1,37,1,0,0,17,0,1,1,2,1,0,2,0,1,1,0,1,1,1,0,0,0,4,8,0,1,60,2,0,2,0,2,6,0,13,0,0,8,0,1,0,23,3,2,0,0,9,18,1,1,0,0,0,0,0,0,57,0,0,4,24,4,0,307,0,1,2,10,3,0,0
2023-09-18,1699,14,2,0,0,12,7,6,0,0,1,1,3,4,1,1,0,0,32,0,0,65,6,0,2,0,125,8,1,2,1,1,162,1,0,0,1,0,0,15,1,2,57,71,0,0,0,2,0,21,0,0,4,8,13,3,24,0,4,0,57,0,0,53,3,0,0,14,0,2,1,1,2,0,2,0,3,0,0,1,0,0,0,0,1,8,7,0,0,50,3,2,1,4,2,6,0,16,0,0,5,1,2,0,24,3,1,2,0,20,36,0,1,0,0,0,0,0,0,56,0,0,12,33,5,1,554,0,0,3,15,1,1,0
2023-09-19,1629,17,2,0,1,11,5,4,1,0,1,0,6,4,4,0,0,0,23,0,1,75,5,0,4,0,98,6,2,0,0,1,163,4,0,0,1,0,0,18,1,5,60,65,0,0,1,1,0,14,0,0,5,6,5,4,23,0,5,0,55,1,0,66,2,0,0,19,1,1,0,1,4,1,0,0,2,0,0,1,0,0,1,0,0,5,11,0,1,59,6,0,2,0,2,2,1,16,0,0,5,1,3,0,33,6,2,1,0,15,31,0,0,0,0,0,0,0,0,37,1,0,11,30,1,0,521,1,1,1,11,4,0,1
2023-09-20,1385,13,0,0,0,7,4,7,0,0,1,0,4,4,5,0,0,0,23,0,0,85,7,1,0,1,124,7,1,0,0,3,115,3,1,0,1,1,0,21,1,2,56,87,0,0,0,0,0,21,0,1,0,3,0,0,19,1,7,0,70,0,0,22,1,0,0,18,0,1,0,0,5,0,1,0,2,1,0,1,0,1,0,0,0,3,6,0,1,51,7,0,2,0,1,7,1,11,0,0,4,1,4,0,21,2,0,1,0,13,25,0,1,1,0,0,0,0,0,53,0,0,1,20,4,0,376,0,0,1,4,3,0,0
2023-09-21,1380,14,3,0,0,8,3,4,0,0,2,0,1,3,1,0,0,0,25,0,2,83,8,0,5,0,105,0,1,0,0,2,114,5,1,0,1,0,0,21,0,2,70,79,1,1,0,4,0,32,0,0,1,4,0,2,14,0,9,0,70,0,0,27,0,0,0,18,2,2,0,1,3,0,1,0,1,1,0,0,0,1,0,0,0,6,5,0,2,42,4,0,0,0,0,3,0,11,0,1,2,0,3,0,19,3,0,0,1,10,26,0,1,0,0,0,0,0,0,52,0,0,6,28,3,0,387,0,1,1,5,0,0,0
2023-09-22,1614,14,3,0,0,4,4,5,0,0,2,0,1,4,6,0,0,0,20,0,0,64,8,1,3,1,102,1,0,0,0,0,161,1,0,0,1,0,1,18,0,1,61,68,0,0,0,1,0,45,0,1,1,3,5,1,17,1,6,0,57,0,0,54,0,1,0,10,0,2,0,1,4,0,3,0,2,0,0,0,0,0,0,0,0,1,6,0,1,59,2,0,4,0,0,3,1,12,0,1,5,0,7,0,20,3,0,1,0,11,28,1,0,0,0,0,0,0,0,42,0,1,10,33,1,0,575,0,1,2,11,2,0,0
2023-09-23,1336,20,3,0,0,8,5,5,0,0,2,0,2,5,0,0,0,0,16,0,0,88,3,1,0,1,137,1,2,0,0,2,109,2,0,0,0,0,0,17,0,3,63,55,1,0,0,0,0,22,0,0,1,4,12,1,12,0,1,0,63,0,0,34,0,0,0,21,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,5,3,0,2,53,3,0,0,0,0,4,0,16,0,1,6,1,6,0,27,4,0,0,0,11,23,1,0,1,0,0,0,0,0,54,0,0,5,26,2,1,341,0,2,2,7,1,0,0
2023-09-24,1388,15,1,0,0,4,3,6,0,0,2,0,3,6,2,0,1,1,21,0,0,75,4,0,4,1,156,1,3,0,0,2,125,2,0,1,0,0,0,20,0,1,54,57,4,1,0,4,2,19,0,0,2,5,1,5,17,1,8,0,68,0,0,34,0,1,0,19,1,1,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,1,56,5,0,3,0,1,5,2,15,0,0,7,0,5,0,24,1,0,0,0,24,13,1,0,0,0,0,0,1,0,47,0,1,3,34,1,0,349,0,0,1,6,2,0,1
