bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,BZ,CA,CD,CH,CI,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GI,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,ME,MK,MM,MN,MO,MV,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,TG,TH,TL,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZM,ZW
2023-12-01,1437,14,2,0,0,0,5,9,3,0,0,0,5,7,4,0,2,11,1,1,0,62,0,8,0,1,2,97,2,0,0,0,3,144,1,0,0,1,3,0,25,0,1,54,61,0,0,0,0,0,34,0,0,1,4,9,0,13,1,2,0,55,0,0,37,0,0,4,21,0,1,0,0,0,3,0,0,1,0,0,0,0,2,0,2,0,0,5,7,0,0,58,2,0,11,0,0,2,2,10,0,5,0,0,11,1,24,3,0,0,0,8,27,0,0,0,46,0,0,9,0,26,0,2,0,445,0,1,0,0,7,6,0,0
2023-12-02,1412,28,1,0,0,0,4,4,4,0,1,0,5,4,5,0,0,11,0,0,0,89,0,9,0,1,2,108,0,1,0,1,4,102,3,0,1,0,1,0,16,0,2,54,53,0,1,1,2,0,31,0,0,0,4,1,0,14,1,2,0,75,0,0,32,1,0,4,19,1,0,1,1,0,0,3,1,2,0,0,0,1,1,0,2,0,0,9,4,0,1,65,2,0,12,0,0,8,1,11,0,7,0,0,10,0,22,3,0,2,0,8,18,0,4,0,49,0,1,7,0,21,0,3,0,412,0,1,0,0,8,7,1,0
2023-12-03,1402,13,0,0,0,0,4,4,4,0,2,0,4,5,10,0,1,14,0,1,0,68,0,11,0,3,0,102,1,0,0,1,5,136,5,1,0,0,2,1,14,0,5,77,57,0,0,0,0,0,15,0,0,0,4,0,1,17,1,2,0,63,0,0,39,0,0,1,12,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,2,0,0,5,8,1,1,59,0,1,10,0,0,8,3,15,0,4,2,0,7,0,27,5,0,2,0,11,16,0,4,0,46,0,0,6,0,23,0,2,0,401,0,1,1,0,11,6,1,0
2023-12-04,1381,14,3,0,0,0,8,5,12,1,2,0,5,3,6,0,0,22,0,0,0,72,0,8,0,0,1,94,6,0,0,1,3,145,2,0,0,0,0,0,7,0,1,52,67,0,0,0,0,0,24,0,1,1,8,0,1,19,1,4,2,71,0,0,29,0,0,2,17,1,1,0,0,0,4,0,0,0,1,1,0,0,0,0,2,0,0,7,5,1,1,67,5,0,15,0,0,6,0,11,0,3,0,0,8,0,31,3,0,1,0,11,15,2,1,0,43,0,0,5,0,22,0,2,0,376,0,0,0,0,7,3,0,0
2023-12-05,1349,21,2,0,0,0,6,9,5,0,1,0,8,5,7,0,1,16,0,1,1,79,0,4,0,2,1,116,1,0,0,0,1,149,3,0,0,0,0,0,12,0,3,50,65,0,0,0,0,1,19,0,0,3,3,4,1,13,1,5,0,55,0,0,36,0,0,2,21,0,1,1,0,0,3,1,0,1,1,0,0,0,0,0,1,0,0,5,6,0,1,50,4,0,3,0,0,1,0,8,0,7,0,1,4,0,27,2,0,0,0,20,14,0,4,1,50,1,0,3,0,26,0,5,0,357,0,0,1,1,5,0,0,0
2023-12-06,1362,16,3,0,0,0,3,7,6,0,2,0,3,4,2,0,0,13,0,0,0,97,0,9,0,2,2,87,3,0,0,0,0,149,2,0,0,0,0,0,13,0,2,57,72,0,0,0,1,0,20,0,0,1,3,7,1,14,1,4,0,47,0,0,36,0,0,0,19,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,4,7,0,3,65,4,1,3,0,2,1,2,11,0,5,2,0,10,0,23,2,0,0,0,13,23,0,3,0,32,0,1,5,0,25,0,3,0,391,0,0,1,0,6,0,0,0
2023-12-07,1426,15,7,0,1,0,7,5,15,0,0,0,7,6,2,1,0,16,0,0,0,83,0,6,0,1,2,70,0,0,0,0,2,143,6,0,0,0,0,0,14,0,4,61,84,0,0,0,1,1,34,0,0,1,3,12,4,12,0,6,0,53,0,0,27,0,0,1,24,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,3,4,0,0,54,2,0,9,0,1,7,0,16,0,7,0,0,8,0,14,1,0,0,0,9,36,0,0,0,40,0,0,4,0,27,0,1,0,425,0,0,0,0,9,3,0,0
2023-12-08,1418,15,1,0,0,0,2,2,4,0,1,0,6,7,5,0,0,8,0,0,0,76,0,11,0,0,1,79,0,1,0,0,4,146,1,2,1,1,4,0,18,0,9,57,57,0,0,0,0,0,34,0,0,0,6,10,1,18,1,3,0,73,0,0,45,0,0,4,19,0,0,2,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,4,6,0,1,56,5,0,7,0,0,2,1,13,0,3,1,0,4,0,21,0,1,0,0,7,26,0,0,0,57,0,0,3,0,13,1,3,0,427,2,0,1,0,7,3,0,0
2023-12-09,1340,12,1,0,0,0,4,5,8,0,0,0,5,5,3,0,0,8,0,0,0,71,0,6,1,1,1,119,0,0,0,0,3,100,3,0,0,0,0,0,15,0,1,55,64,0,0,0,2,0,26,0,1,2,3,0,1,14,2,7,0,70,0,1,43,0,0,1,23,0,0,4,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,7,4,0,0,58,2,0,9,0,0,7,0,13,0,5,1,0,6,0,24,4,0,0,0,15,16,0,0,0,47,0,1,4,0,25,2,2,0,371,0,0,0,0,14,5,0,0
2023-12-10,1412,9,2,0,0,0,4,4,8,0,2,0,6,7,4,0,1,13,0,0,0,86,0,4,0,1,0,123,0,0,0,0,1,126,7,0,1,0,3,0,16,1,3,65,70,0,0,0,1,0,21,0,1,2,7,5,2,8,1,6,0,67,0,0,25,0,0,2,13,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,6,8,0,0,57,5,1,11,0,0,4,3,9,0,4,0,0,4,2,24,2,0,0,0,15,13,0,4,0,57,0,0,6,0,29,0,3,0,388,0,1,0,0,13,8,0,0
2023-12-11,1464,19,1,0,0,0,6,2,8,0,0,0,3,4,4,0,0,9,0,0,0,88,0,6,0,0,0,84,5,0,0,0,1,160,2,0,1,0,0,1,10,0,1,62,78,0,0,0,2,0,19,0,2,1,4,0,1,16,0,7,0,52,0,0,45,0,0,2,17,0,1,2,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,3,4,0,1,75,4,0,14,0,0,9,0,11,0,6,0,0,4,0,42,3,0,0,0,12,30,0,1,0,62,0,0,5,0,16,1,0,0,413,0,0,2,0,6,7,1,0
2023-12-12,1332,15,1,0,0,0,0,4,8,0,0,0,4,4,6,0,2,9,0,0,0,84,0,9,0,0,0,100,2,0,0,1,2,157,3,1,0,0,3,0,18,0,3,40,69,0,0,0,1,1,16,0,2,1,2,1,1,6,1,5,0,58,0,0,44,0,0,4,19,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,3,0,1,4,6,0,0,63,4,0,15,0,0,6,0,11,0,5,0,0,5,1,20,6,0,0,0,20,11,0,0,0,62,0,0,3,0,19,0,2,0,335,0,1,1,0,12,4,0,0
2023-12-13,1589,11,3,0,0,0,7,3,6,0,1,0,7,8,5,1,0,13,0,1,0,84,0,10,1,3,0,119,4,0,0,0,5,168,3,0,1,0,0,0,17,0,0,54,69,0,0,0,1,0,15,0,0,1,6,3,0,19,1,7,0,52,0,0,70,0,0,5,27,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,4,1,0,0,51,1,0,12,0,2,10,1,11,0,6,0,0,7,0,25,3,0,0,0,8,41,0,0,0,56,0,0,3,0,18,1,2,0,492,0,0,2,0,12,2,0,1
2023-12-14,1494,15,3,0,0,0,4,4,9,0,2,0,5,4,5,0,0,11,0,0,0,87,0,5,0,2,0,143,3,0,0,0,3,145,4,0,2,0,0,0,17,0,3,57,71,0,0,0,0,1,26,0,1,0,5,7,0,7,0,7,0,51,0,0,35,0,0,1,13,0,0,2,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,1,5,0,1,51,1,0,4,0,0,6,0,13,0,5,0,0,5,1,30,1,0,0,0,19,29,0,1,0,45,0,0,4,0,20,0,2,0,476,0,0,1,0,6,1,0,0
2023-12-15,1403,8,2,0,0,0,5,2,5,0,3,0,6,3,6,0,0,17,0,0,1,64,0,5,0,2,0,113,1,0,0,0,4,140,5,0,1,0,0,0,19,1,3,56,60,0,1,0,0,0,15,0,0,0,10,11,0,10,1,5,0,46,0,0,43,0,0,1,7,0,1,0,1,0,2,0,0,0,0,2,0,0,1,0,1,0,0,5,3,0,2,58,2,0,1,0,1,5,1,14,0,4,0,0,5,0,26,2,0,0,0,14,22,0,2,0,48,0,0,6,0,31,1,1,1,445,0,0,1,0,10,2,0,0
2023-12-16,1354,16,2,0,0,0,4,5,7,0,3,0,1,7,1,0,1,13,0,0,0,90,0,6,0,2,0,82,0,0,0,0,1,139,1,0,0,0,0,0,14,0,3,57,57,0,0,0,2,0,26,1,0,1,5,5,4,12,2,8,0,54,0,0,36,0,0,0,11,0,1,0,2,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,4,0,0,64,2,1,1,0,1,3,0,17,0,8,0,0,6,0,19,4,0,0,0,14,10,0,1,0,54,0,0,5,0,24,0,1,0,418,0,0,1,0,5,3,0,0
2023-12-17,1277,15,1,0,0,0,0,2,12,0,3,0,3,6,7,0,0,10,0,0,0,76,0,11,1,2,1,113,2,0,0,0,1,137,6,1,1,0,0,0,19,0,4,69,56,2,0,0,1,0,12,0,0,1,6,0,3,8,1,6,0,70,0,0,27,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,10,0,1,59,2,0,3,0,1,4,0,11,0,7,0,0,8,0,19,4,0,0,0,12,9,0,4,0,43,0,1,4,0,21,0,3,0,327,0,1,0,0,8,2,0,0
2023-12-18,1391,11,1,0,0,0,5,4,7,1,0,0,3,4,8,0,0,12,0,1,0,91,0,9,2,1,0,110,4,2,0,0,2,156,4,1,0,1,0,0,14,0,4,57,68,0,0,0,0,0,25,0,0,0,8,0,1,7,1,10,0,57,0,0,21,0,0,3,21,0,1,0,0,0,2,0,1,1,0,1,2,1,2,2,1,0,0,4,3,0,0,52,1,0,11,0,0,11,0,11,0,2,0,0,10,1,23,3,0,0,0,13,22,0,0,0,48,0,0,7,0,25,0,1,0,370,0,1,2,0,11,8,0,0
2023-12-19,1383,13,2,0,0,0,0,8,7,0,1,0,4,3,7,0,0,13,0,1,0,89,0,4,1,2,0,104,2,1,0,0,2,173,7,0,1,0,2,0,18,0,1,52,56,0,0,0,2,0,20,0,0,0,6,1,0,8,0,5,0,63,0,0,26,0,0,5,12,0,1,2,1,0,1,0,1,0,0,0,0,1,1,1,2,0,0,2,7,0,0,55,2,0,6,0,1,10,1,15,0,4,0,0,9,1,24,3,0,0,0,20,14,0,0,0,50,0,0,3,0,14,0,0,1,390,0,0,2,0,11,5,0,0
2023-12-20,1320,13,2,0,0,0,2,9,9,0,0,0,4,6,8,0,0,24,0,0,0,84,0,6,1,0,0,94,1,0,0,1,0,145,5,0,0,0,0,0,15,0,1,51,61,0,0,0,2,0,22,0,2,0,6,0,1,10,1,0,0,52,0,0,36,0,0,1,14,0,0,3,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,3,4,0,0,65,2,0,10,0,0,6,1,15,1,6,0,0,5,0,19,4,0,0,0,18,24,0,3,0,56,0,1,0,0,26,0,1,0,333,0,1,0,0,12,6,0,0
2023-12-21,1345,17,6,0,0,1,4,2,9,0,0,0,4,4,10,1,0,17,0,0,0,66,0,2,0,2,0,107,0,1,0,0,0,144,1,0,1,0,0,0,12,0,2,64,65,0,0,0,0,0,36,0,0,5,4,2,1,6,1,1,0,52,0,0,20,0,1,3,18,0,0,4,0,0,1,0,0,1,0,0,0,1,0,0,2,0,1,1,5,0,0,52,3,0,11,0,0,10,1,11,0,8,0,0,8,0,23,2,0,0,0,10,27,0,1,0,70,0,0,3,0,24,0,1,0,365,1,1,0,0,4,1,0,0
2023-12-22,1305,12,3,0,0,0,0,4,6,0,0,1,1,3,7,0,0,10,0,0,0,80,0,3,0,3,0,105,0,1,0,0,1,145,5,0,0,2,0,0,20,0,1,58,57,0,0,0,1,1,16,0,0,0,3,6,1,10,1,5,0,58,0,0,20,0,0,3,19,0,0,3,0,0,4,1,0,0,0,2,0,0,0,0,1,0,0,3,5,0,0,63,1,0,12,0,0,7,0,13,0,5,0,0,4,0,21,5,0,0,0,9,22,0,1,0,39,0,0,4,0,28,0,1,0,363,0,0,1,0,9,6,0,0
2023-12-23,1320,13,4,0,1,1,2,4,8,0,1,1,4,8,8,1,1,12,0,0,0,79,0,6,0,2,0,91,2,0,0,0,1,130,1,0,0,0,0,0,14,0,3,49,62,0,1,0,1,0,29,0,0,0,4,2,0,11,0,6,0,62,0,0,26,0,1,0,21,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,4,2,0,1,48,2,1,5,0,0,7,0,10,0,5,1,0,6,0,22,3,0,0,0,9,19,0,0,0,58,0,0,4,0,24,0,2,0,392,0,0,0,0,8,6,0,0
2023-12-24,1225,16,1,0,0,0,2,1,6,0,0,0,4,5,7,0,1,9,0,2,0,77,0,9,0,2,0,121,1,0,0,0,1,97,2,0,0,1,1,0,9,1,1,40,62,0,0,0,1,0,26,1,0,0,7,1,1,9,1,8,0,56,0,0,27,0,0,3,20,0,1,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,1,3,0,1,48,2,0,9,0,2,5,0,10,0,3,1,0,7,1,22,2,1,0,0,5,17,1,0,0,42,0,0,4,0,23,0,1,0,353,0,1,0,0,6,6,0,0
2023-12-25,1205,19,2,0,0,0,1,2,5,0,0,0,2,6,6,0,1,11,0,0,0,56,0,6,0,0,0,82,1,0,1,0,0,116,3,0,0,1,1,1,13,0,3,54,52,0,1,0,0,0,27,1,0,1,4,0,0,12,1,5,0,66,0,0,22,0,0,3,14,0,0,1,0,0,3,2,2,0,0,0,0,0,1,1,1,0,0,3,3,0,4,44,0,0,6,0,1,5,2,12,0,5,0,0,9,0,27,2,0,1,0,8,26,1,0,0,50,0,1,4,1,27,0,1,0,334,0,0,0,0,10,5,0,0
2023-12-26,1249,19,1,0,0,0,6,1,4,0,1,0,1,9,4,0,1,11,0,0,0,72,1,8,0,2,0,90,0,0,0,0,2,122,5,1,0,0,0,0,16,0,1,43,49,0,0,0,1,0,31,1,1,1,4,2,3,6,1,2,0,64,1,0,40,1,0,1,14,1,1,1,0,0,3,0,0,1,1,0,0,0,1,1,2,0,0,1,3,0,2,44,1,0,14,0,1,8,1,13,0,6,0,0,11,0,25,1,0,0,1,14,23,0,0,0,48,0,1,6,0,30,0,1,0,324,0,0,1,0,9,4,0,0
2023-12-27,1354,12,4,1,0,0,0,5,2,0,0,0,2,6,6,0,0,12,0,0,0,77,0,5,0,2,1,118,2,0,0,0,1,140,3,0,0,0,1,0,14,0,2,54,67,0,0,0,0,0,22,1,0,0,5,0,0,11,0,3,0,68,0,0,25,1,1,5,18,0,1,3,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,1,57,0,0,9,0,2,8,1,7,0,7,1,0,5,0,22,6,0,0,0,11,18,0,1,0,51,0,0,3,0,22,0,1,0,395,0,0,1,0,10,4,0,0
2023-12-28,1403,12,1,0,0,0,7,5,7,0,0,0,1,8,5,0,1,10,0,0,0,82,0,10,0,2,1,95,6,0,0,1,3,120,2,0,1,0,0,0,16,0,2,67,76,0,1,0,0,0,37,1,1,1,7,1,0,13,1,6,0,59,0,0,34,0,0,1,26,0,1,2,0,0,4,0,1,0,0,0,0,1,1,1,2,0,0,3,5,0,2,54,2,0,12,0,0,8,0,13,0,8,0,0,7,1,19,8,0,0,0,24,29,0,1,0,55,0,0,6,0,17,0,3,0,363,2,1,0,0,15,2,0,0
2023-12-29,1549,15,1,0,0,0,7,8,0,0,0,0,5,6,4,1,0,13,1,0,0,77,0,5,0,0,0,94,1,0,0,0,1,152,4,0,0,1,2,0,17,0,1,63,67,0,0,0,0,0,26,0,0,0,6,20,2,17,1,10,0,46,0,0,55,0,1,6,16,0,1,3,0,1,2,1,0,1,0,0,0,0,1,0,3,0,0,2,2,1,5,66,3,1,11,0,0,6,1,13,0,4,1,0,13,1,23,3,0,1,0,7,29,0,0,0,53,0,0,6,0,14,0,2,0,495,1,0,0,0,16,4,0,0
2023-12-30,1460,22,2,1,0,0,5,6,4,0,0,1,1,5,4,0,4,15,0,0,0,66,0,6,0,0,0,112,3,1,1,0,2,139,6,1,0,0,0,1,21,0,2,55,71,0,0,0,1,0,30,1,0,0,8,6,1,24,1,8,0,70,0,0,46,0,0,2,24,0,1,2,1,0,3,1,1,1,0,0,0,0,1,0,1,0,0,1,4,0,0,61,3,1,5,1,0,4,3,15,0,8,0,0,12,0,31,4,0,0,1,11,35,0,1,0,48,0,0,8,0,32,0,2,0,370,0,0,0,0,7,1,0,0
