bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GQ,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MM,MN,MO,MT,MU,MV,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PM,PR,PS,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SN,SY,TH,TL,TN,TR,TW,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZM,ZW
2024-01-01,1555,14,2,0,6,6,12,0,0,1,2,6,3,0,1,17,0,0,75,8,1,2,0,107,3,0,0,0,2,141,3,0,0,2,0,0,21,0,1,57,74,0,0,0,0,0,0,15,0,0,0,7,3,0,14,0,6,0,50,0,0,57,0,2,1,20,0,1,2,0,0,3,0,1,0,0,0,0,2,0,2,0,0,0,2,5,0,1,63,4,0,8,0,0,6,1,21,0,0,0,6,0,12,1,34,3,1,0,17,30,0,0,0,0,55,0,1,4,12,5,0,488,1,0,0,0,14,6,1,0
2024-01-02,1420,15,1,0,6,7,5,0,0,1,1,6,2,0,1,13,0,0,80,9,0,1,1,102,1,0,1,0,1,159,2,1,1,0,0,0,16,0,2,64,65,0,0,0,0,0,0,14,0,0,0,3,11,0,20,0,3,1,52,0,0,36,0,0,3,17,0,2,2,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,2,5,1,0,59,2,0,8,0,1,4,0,11,0,0,0,6,0,10,2,30,4,2,0,12,20,0,0,0,0,40,0,0,4,16,1,0,433,0,0,0,0,9,4,0,0
2024-01-03,1428,16,1,0,10,6,3,0,0,0,1,9,2,0,3,21,0,1,77,9,0,5,0,116,2,0,0,1,1,143,0,0,1,0,0,1,13,0,1,59,79,0,0,0,0,1,0,24,0,0,1,3,6,1,10,2,5,0,53,0,0,39,0,0,3,10,1,1,2,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,65,3,0,7,0,0,9,3,10,0,0,0,4,0,7,1,34,0,0,0,17,18,0,2,0,0,63,0,1,7,16,1,0,390,0,0,0,0,10,5,0,0
2024-01-04,1575,17,2,0,7,12,4,0,1,1,1,7,5,0,1,11,0,0,86,6,0,4,0,107,1,0,0,1,2,153,2,0,0,0,0,0,19,0,6,64,83,0,0,1,0,2,0,30,0,1,2,3,9,0,18,1,6,0,61,0,0,53,0,0,3,12,0,1,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,4,10,1,1,52,1,0,4,0,0,6,1,13,0,0,0,6,0,11,0,29,4,0,0,6,36,1,0,0,0,54,0,0,7,9,2,0,492,0,1,0,0,9,2,0,0
2024-01-05,1322,15,1,0,7,8,4,0,2,1,0,7,4,0,0,15,0,0,77,5,0,8,1,78,1,0,0,0,2,139,4,0,0,0,3,0,23,0,1,64,72,0,0,0,0,0,0,16,0,1,0,3,1,2,12,1,1,0,58,0,0,38,2,0,2,7,0,1,1,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,4,3,0,0,63,3,0,1,0,1,3,1,14,0,0,0,3,0,6,0,17,2,0,1,15,24,0,0,0,0,48,0,1,5,29,3,0,373,0,0,1,0,6,1,0,0
2024-01-06,1407,14,3,0,5,8,11,0,1,1,1,8,3,0,0,14,0,4,93,12,0,6,1,111,2,0,0,0,4,157,5,0,0,0,0,0,20,0,1,72,54,0,1,0,0,2,1,25,0,0,0,4,2,3,11,0,4,0,73,0,0,30,1,0,1,19,0,0,1,0,0,3,0,0,2,0,3,0,1,0,0,1,0,0,2,1,0,1,65,2,0,1,0,0,5,1,12,0,0,0,5,0,12,1,24,2,0,0,15,23,1,1,0,0,51,0,1,6,19,5,0,345,0,0,0,0,7,0,0,0
2024-01-07,1373,14,3,0,4,4,3,0,1,2,0,3,5,0,2,17,0,1,98,14,0,3,1,111,3,0,0,1,3,164,3,0,1,0,3,0,16,0,3,63,63,0,0,0,0,1,0,16,0,0,0,1,0,2,5,1,4,0,67,0,1,27,0,0,1,9,0,0,0,0,0,4,1,3,1,0,0,1,0,0,0,0,1,0,6,2,0,0,65,4,2,1,0,0,2,1,10,1,0,0,3,0,10,1,18,1,1,0,19,25,1,0,0,0,63,1,0,6,16,5,0,345,1,0,0,0,5,3,0,0
2024-01-08,1303,16,1,0,3,10,4,0,1,2,1,7,3,0,0,11,1,1,82,9,0,3,1,60,3,1,0,1,2,137,2,0,0,0,0,0,18,0,3,51,61,0,0,0,1,0,0,7,1,0,0,2,0,1,15,0,6,0,64,0,0,34,0,0,1,9,1,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,3,3,0,0,58,6,0,6,0,0,5,1,14,0,0,0,5,1,12,0,28,2,0,1,18,23,2,0,0,0,71,0,0,5,16,2,0,366,0,1,0,1,9,1,0,0
2024-01-09,1298,13,2,0,5,7,3,0,1,0,1,7,3,0,1,14,1,0,76,13,0,3,1,93,1,0,0,0,1,174,1,0,1,0,0,0,19,1,1,59,65,0,0,0,0,0,0,16,0,1,2,7,3,2,9,1,3,0,55,0,0,22,0,0,1,10,0,1,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,3,7,1,1,51,6,0,6,0,0,5,1,9,0,0,0,4,0,11,0,20,2,1,0,9,22,0,0,0,0,67,0,0,10,22,2,0,323,0,0,0,0,7,2,0,0
2024-01-10,1312,14,0,0,4,6,3,0,1,0,3,3,4,0,0,16,0,0,75,11,1,3,0,100,0,0,0,0,0,167,2,0,0,0,0,0,21,0,2,57,60,0,0,0,0,0,0,20,0,0,0,3,1,1,9,1,1,0,44,0,0,15,0,0,2,14,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,3,4,0,1,57,9,0,9,0,1,7,1,10,0,0,0,7,0,12,3,19,5,0,0,18,26,0,0,0,0,62,0,0,2,19,1,0,360,0,0,0,0,2,3,0,0
2024-01-11,1575,19,2,0,4,7,5,0,1,1,0,8,3,0,0,13,0,0,81,8,0,2,0,79,1,0,0,0,0,176,4,0,1,0,0,0,23,0,0,74,77,0,0,0,0,0,0,59,0,0,1,6,21,1,16,2,4,0,66,0,0,38,0,0,3,17,0,2,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,4,7,1,0,49,4,0,11,0,1,3,0,11,0,0,0,2,0,9,0,24,2,1,0,18,37,0,0,0,0,68,0,0,5,17,2,0,459,0,0,0,0,7,2,0,0
2024-01-12,1454,12,1,0,4,6,3,0,0,2,0,2,6,0,1,15,0,1,70,10,0,1,1,76,1,0,0,0,1,171,1,1,2,2,2,0,26,1,3,67,59,0,0,0,0,1,0,23,0,1,0,3,2,0,10,1,6,0,61,0,0,24,0,0,3,17,0,1,1,1,0,3,1,1,0,0,0,0,1,0,2,0,0,0,6,4,1,0,66,4,0,8,0,1,7,1,14,0,0,0,1,0,11,0,31,0,1,0,16,22,0,0,0,1,76,0,0,6,20,6,0,424,0,1,0,0,10,5,0,0
2024-01-13,1456,18,1,0,4,6,7,0,0,0,3,6,6,1,0,5,0,0,90,8,0,1,0,87,3,0,1,1,1,162,2,0,2,0,0,0,22,0,3,64,60,0,0,0,0,0,0,31,0,0,0,3,1,0,9,1,0,0,49,0,0,17,0,1,4,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,6,3,1,1,55,3,0,11,0,0,5,0,10,0,0,0,6,0,17,0,27,3,1,0,21,26,0,0,0,0,82,0,0,8,21,5,0,434,0,0,0,0,8,6,1,0
2024-01-14,1476,9,1,0,1,4,6,0,1,0,0,5,3,0,0,21,0,0,84,8,0,0,0,105,2,0,0,1,3,161,4,0,1,0,4,1,29,0,6,83,64,0,0,0,0,1,1,16,0,1,0,5,1,2,5,1,5,0,81,0,0,28,0,0,3,18,1,1,1,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,3,6,1,0,69,1,0,12,0,0,6,1,9,0,0,0,7,0,15,0,25,3,1,0,21,21,0,0,0,0,50,0,0,5,28,3,0,389,0,1,0,0,12,3,0,0
2024-01-15,1410,11,0,0,5,5,7,0,0,0,2,6,3,0,0,14,0,1,80,9,0,2,1,90,4,0,0,1,0,158,3,0,0,0,0,0,14,0,0,61,51,0,0,0,0,3,0,18,0,0,0,4,4,2,9,1,2,0,52,0,0,25,0,0,1,16,0,2,0,0,0,3,1,0,1,0,2,0,1,0,1,0,1,0,2,1,1,2,64,2,0,16,1,0,6,1,10,0,0,0,5,1,14,0,31,2,1,0,25,24,1,0,0,0,62,0,0,4,12,4,0,421,1,0,1,1,9,8,0,0
2024-01-16,1396,13,3,0,9,4,5,0,0,0,2,6,2,0,1,21,0,2,73,8,0,4,1,92,1,0,0,1,1,150,1,1,0,0,0,0,13,1,2,64,52,0,0,0,0,1,1,15,0,0,0,5,21,0,35,1,3,0,53,0,1,46,0,0,2,14,0,1,1,0,0,2,1,0,2,0,0,0,1,0,2,0,0,0,2,9,1,1,44,3,0,11,0,0,2,2,7,0,0,0,4,1,17,0,24,4,0,0,9,26,0,0,0,0,53,0,0,8,19,1,0,395,0,0,0,0,8,4,0,0
2024-01-17,1500,22,0,1,3,8,6,0,0,0,1,6,2,0,0,13,0,0,78,10,0,3,0,127,1,0,0,1,0,199,1,0,1,0,0,0,13,0,1,61,75,1,1,0,0,1,0,22,0,0,0,7,3,3,10,1,2,0,61,0,0,32,0,0,2,12,0,2,1,0,0,5,1,0,1,0,0,1,1,0,3,0,0,0,3,6,1,0,70,5,0,12,0,0,9,1,6,0,0,0,4,0,8,1,26,2,1,0,17,29,0,0,0,0,38,0,0,6,17,1,0,417,0,0,2,0,8,4,0,0
2024-01-18,1493,19,0,0,5,6,6,0,0,0,0,6,4,0,0,18,0,0,75,10,1,1,0,155,4,0,0,0,1,180,2,0,1,0,0,0,21,1,2,58,90,1,0,0,0,1,0,31,0,0,0,2,0,0,6,1,3,0,68,0,1,25,1,0,2,11,0,1,0,0,0,4,0,1,0,0,1,1,1,1,2,0,0,0,8,7,1,0,52,6,0,13,0,0,7,1,6,0,0,1,6,0,8,0,25,0,1,0,11,35,1,0,0,0,37,0,1,5,15,2,0,391,0,0,1,0,12,9,0,0
2024-01-19,1347,18,1,0,6,6,6,0,0,0,1,4,4,0,0,15,0,1,69,11,0,2,0,68,1,0,0,0,1,164,4,0,1,0,1,0,22,1,1,68,61,0,0,0,0,0,1,17,0,1,0,6,2,1,12,0,4,0,65,0,0,19,0,0,0,13,1,1,2,0,0,4,0,2,0,0,1,0,0,0,2,0,0,0,6,6,1,0,59,5,0,6,0,2,4,2,10,0,0,0,6,0,10,0,34,4,1,0,5,25,0,0,0,0,51,0,1,10,17,2,0,373,1,1,1,0,11,2,0,0
2024-01-20,1251,10,1,0,2,7,8,0,0,0,2,11,0,1,0,11,0,0,90,6,0,2,1,94,0,0,0,0,1,123,3,0,0,1,2,0,15,0,1,62,59,0,0,0,0,1,0,27,0,0,0,5,0,0,12,0,2,0,60,0,0,18,0,0,2,8,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,4,4,1,0,66,3,0,5,0,0,2,1,8,0,0,0,6,0,9,0,29,1,1,0,11,17,2,1,0,0,53,0,0,7,18,1,0,339,1,0,0,0,6,2,0,0
2024-01-21,1437,13,3,0,2,8,10,0,0,1,0,5,5,2,1,15,0,2,87,8,0,1,0,78,5,1,0,0,2,153,6,0,1,1,0,0,16,1,1,71,60,0,0,0,0,1,0,14,0,0,2,5,18,1,14,1,1,0,72,0,0,53,0,0,0,14,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,3,4,1,1,60,3,1,1,0,1,4,2,11,0,1,0,6,0,14,1,17,1,1,1,16,35,1,0,0,0,37,0,0,2,19,4,0,408,0,0,1,0,6,13,0,0
2024-01-22,1348,17,1,0,5,8,4,0,0,0,1,4,4,0,2,12,0,0,79,13,0,2,1,90,4,0,0,1,0,161,4,0,2,0,0,0,13,0,0,63,67,1,0,0,0,1,0,16,0,1,2,4,2,0,11,1,2,0,62,0,1,21,0,0,1,11,0,0,1,0,0,2,0,2,1,0,2,0,1,0,1,0,0,0,5,2,1,0,72,2,0,8,0,0,4,2,9,0,0,0,13,0,14,0,27,4,1,0,20,22,2,1,0,0,46,0,0,5,14,2,0,355,0,0,1,0,6,5,0,0
2024-01-23,1392,10,1,0,4,6,3,0,0,0,0,7,4,0,3,14,0,0,69,12,0,1,0,102,0,1,0,0,0,157,1,0,1,0,0,0,12,0,4,52,74,0,0,0,0,0,0,22,0,0,1,8,3,1,7,1,0,0,68,0,0,53,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,7,1,0,61,6,0,8,0,1,6,0,7,0,0,0,6,1,12,0,23,6,1,0,19,18,1,0,0,0,52,0,0,3,27,2,1,383,0,1,3,0,5,6,0,1
2024-01-24,1392,16,0,2,7,7,5,0,1,0,0,6,4,1,4,13,0,0,77,9,0,2,0,83,1,0,0,0,1,155,0,0,1,0,0,0,19,0,0,46,68,1,0,0,0,1,0,18,0,0,2,4,5,4,15,0,1,0,58,0,1,46,0,1,4,9,0,0,0,0,0,2,0,1,1,0,0,1,1,0,2,0,0,0,9,5,1,2,59,2,0,13,0,1,8,1,4,0,0,0,2,0,11,0,15,4,0,0,26,34,0,0,0,0,46,0,0,4,18,0,2,398,0,0,1,0,9,11,0,0
2024-01-25,1626,12,2,0,3,6,7,0,0,1,2,4,5,0,0,9,0,2,79,7,0,0,1,89,0,0,0,0,1,162,3,0,0,0,0,0,15,0,3,61,84,0,0,0,0,0,0,33,0,0,1,4,9,0,19,2,1,0,68,0,1,64,0,0,0,13,1,1,2,0,1,5,0,1,2,0,0,0,3,0,1,0,2,0,6,13,1,0,61,7,0,9,0,0,6,0,11,0,0,0,4,0,13,0,19,2,1,0,13,31,0,0,1,0,35,0,1,5,19,1,0,569,0,0,0,0,4,2,0,0
2024-01-26,1516,15,1,0,2,7,6,0,0,0,0,6,6,0,0,12,0,1,75,9,1,5,0,107,4,0,0,1,2,153,2,0,0,0,1,0,18,0,2,65,76,2,0,0,0,1,0,35,0,3,1,3,1,1,8,2,0,0,70,0,0,21,0,0,1,6,0,1,0,0,0,3,1,1,1,0,0,0,0,0,2,0,0,0,4,8,0,1,72,11,0,15,0,0,5,0,7,0,0,0,4,0,10,0,21,1,2,0,15,15,0,0,0,0,43,0,0,3,11,2,0,509,0,0,0,0,6,9,0,1
2024-01-27,1377,15,1,0,3,5,6,0,0,0,0,6,4,0,0,16,0,1,72,7,0,0,0,107,1,1,0,0,0,124,1,0,1,1,1,0,17,1,2,63,67,0,0,0,0,0,0,23,0,0,0,1,0,1,10,0,1,0,78,0,0,29,0,0,0,7,0,1,0,0,0,5,0,0,0,1,1,1,1,0,2,0,0,0,4,2,1,1,62,10,0,7,0,0,5,1,7,0,0,0,6,0,10,0,23,1,2,0,17,23,0,0,0,0,57,0,0,7,28,2,0,404,0,0,0,0,7,5,0,0
2024-01-28,1428,12,1,1,13,3,4,0,1,0,1,4,5,0,0,21,0,1,82,8,0,0,0,101,2,0,0,0,2,148,3,0,0,0,2,0,18,2,0,79,57,0,0,0,0,1,0,23,0,0,2,2,22,3,12,0,3,0,69,1,0,24,0,0,0,15,0,0,1,0,0,6,0,1,1,1,0,0,1,0,2,0,0,0,5,5,1,0,51,6,2,9,0,1,4,1,12,0,0,0,5,2,16,0,30,1,0,0,24,9,0,1,0,0,40,0,0,3,15,5,1,409,0,0,0,0,5,4,0,0
2024-01-29,1392,13,0,0,8,7,6,0,1,0,2,5,5,0,0,13,0,2,73,5,0,1,0,93,0,0,0,1,1,170,7,0,3,0,0,0,16,0,1,44,62,1,0,0,0,1,2,16,0,1,1,5,2,2,14,1,4,1,70,0,0,21,0,0,2,11,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,1,63,8,1,7,0,1,8,1,9,0,0,0,7,3,14,0,26,3,2,0,21,20,0,1,0,0,36,0,1,5,8,1,0,427,0,0,1,0,8,3,0,0
2024-01-30,1380,12,2,2,3,6,6,0,0,0,1,8,4,0,1,15,0,0,78,7,0,2,0,85,4,0,0,0,1,138,3,0,1,0,0,0,16,0,1,61,76,0,0,0,0,0,0,16,0,0,0,4,1,0,13,1,2,0,60,0,0,44,0,0,1,9,0,1,1,0,0,3,0,0,1,1,1,0,1,1,1,0,0,0,4,7,1,1,51,6,0,11,0,1,6,1,7,0,0,0,2,0,9,0,24,3,1,0,13,18,0,1,0,0,53,0,0,7,17,3,0,426,0,0,1,0,8,3,0,0
2024-01-31,1390,12,1,0,6,9,7,1,0,0,1,5,2,0,0,18,0,0,77,8,0,4,0,114,2,0,0,1,0,156,2,0,0,0,0,0,20,0,2,55,71,0,0,0,0,0,0,17,0,0,0,0,0,1,7,0,3,0,66,0,0,23,1,0,0,7,0,1,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,5,11,1,1,58,6,0,8,0,0,10,2,6,0,2,0,2,0,11,0,24,3,0,1,19,26,1,0,0,0,51,0,0,4,14,1,0,401,0,0,1,0,6,6,0,0
