bucket,total,--,AE,AF,AL,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BI,BO,BR,BW,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GA,GB,GE,GH,GM,GP,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,ME,MK,ML,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SO,SV,SY,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZW
2024-02-01,1435,12,10,1,0,0,6,7,5,0,1,1,4,5,3,0,0,0,18,0,0,0,78,6,0,3,0,156,1,0,1,0,148,3,0,0,0,0,0,17,0,1,66,0,93,0,1,0,0,1,20,0,0,1,1,0,0,13,1,3,0,62,0,0,27,0,0,3,9,0,0,0,0,0,0,3,0,2,0,1,2,0,0,0,0,0,1,0,0,0,3,8,0,1,0,48,6,0,12,0,0,6,0,7,0,0,4,0,0,11,0,21,2,0,1,15,28,0,1,0,0,0,0,44,0,3,0,12,0,5,0,385,3,1,0,0,7,4,0
2024-02-02,1370,12,0,0,0,0,5,5,6,0,0,0,1,6,5,0,0,0,18,0,2,0,72,9,0,3,0,107,2,0,0,0,159,2,2,1,0,0,0,20,0,2,55,0,63,0,0,0,0,3,20,0,0,1,2,3,0,9,0,3,0,54,0,0,24,0,0,1,14,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,12,7,0,1,0,59,9,0,7,0,1,2,0,11,0,1,2,0,0,9,0,22,4,0,0,13,16,0,0,0,0,0,0,60,0,7,1,21,0,1,0,401,0,1,0,0,4,1,0
2024-02-03,1272,13,2,0,0,0,0,7,6,0,1,0,1,5,4,0,0,0,15,0,2,0,65,9,0,1,0,80,1,0,0,0,137,3,1,1,2,1,0,22,0,2,45,0,62,0,0,0,0,0,20,0,0,1,3,25,0,11,1,4,1,63,0,1,22,0,0,0,13,0,0,3,1,0,0,5,0,1,0,1,0,0,0,0,0,0,2,0,0,0,6,6,0,1,1,47,3,0,1,0,0,3,0,13,0,0,5,0,0,5,0,28,1,0,0,12,21,0,0,0,0,0,0,46,0,5,0,25,0,2,1,367,0,0,0,0,6,1,0
2024-02-04,1532,11,1,0,0,0,5,6,7,0,0,0,1,6,8,0,0,0,17,0,2,0,74,12,0,0,0,73,3,0,0,1,191,3,1,1,0,3,0,28,0,4,53,0,51,0,0,0,0,1,19,0,0,2,0,24,1,8,0,5,1,69,0,0,45,0,0,0,46,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,5,0,1,1,58,7,0,0,0,1,1,0,11,0,0,4,0,0,5,0,25,1,0,0,21,20,0,0,0,0,0,0,44,0,2,0,29,0,2,0,497,1,0,0,0,1,1,0
2024-02-05,1314,14,1,0,0,0,4,7,8,0,1,0,2,4,9,0,0,0,11,1,1,0,86,9,0,2,0,101,0,0,0,1,165,4,0,1,0,1,0,14,0,5,50,0,70,1,0,0,0,1,17,0,0,2,5,7,0,3,0,3,0,60,0,0,20,0,0,1,9,1,0,1,1,0,0,2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,7,5,1,1,0,62,8,2,2,0,0,2,1,12,0,0,1,0,0,5,0,27,1,0,0,13,24,0,0,0,0,0,0,45,0,7,0,20,0,4,0,344,0,1,1,0,5,2,0
2024-02-06,1330,14,2,0,0,0,3,6,4,0,3,0,0,6,3,0,0,0,9,0,1,0,94,10,0,3,1,73,2,0,0,0,162,2,0,0,0,1,1,17,0,1,52,0,77,0,0,0,0,0,15,0,2,2,2,3,1,14,1,1,0,56,0,0,18,0,0,0,6,0,0,3,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,5,0,1,1,53,4,0,1,0,0,3,0,13,0,0,5,0,0,10,2,25,2,0,0,21,18,0,0,0,0,0,1,51,0,2,0,18,0,2,0,405,0,0,0,0,4,2,0
2024-02-07,1278,18,1,0,0,1,3,13,3,0,0,0,2,7,6,0,0,1,12,0,0,0,72,10,0,3,0,74,2,0,1,0,154,2,1,1,0,0,0,21,0,2,54,0,54,0,0,0,0,1,18,0,0,3,1,49,1,7,0,3,0,51,0,0,19,0,0,0,17,0,0,1,2,0,0,3,0,2,0,1,0,0,1,0,0,1,0,0,0,0,7,3,0,1,0,60,4,0,2,0,0,3,0,8,0,0,5,0,0,7,0,18,2,0,0,25,20,0,0,0,0,0,0,48,0,0,0,18,0,0,0,341,0,0,0,0,6,1,0
2024-02-08,1524,14,2,0,0,0,7,4,6,0,1,0,2,5,5,3,0,0,4,0,0,0,79,9,0,2,0,78,2,0,1,1,152,2,0,1,0,4,0,22,0,2,60,0,87,0,0,0,0,1,20,0,0,2,5,3,1,5,1,4,0,59,0,0,49,0,0,3,15,0,0,2,0,0,0,3,0,0,0,1,2,0,0,1,2,0,1,0,1,0,7,13,0,1,0,51,4,0,7,0,0,6,1,12,0,0,3,0,0,10,0,24,3,0,0,13,32,0,0,0,1,0,0,65,0,1,0,23,0,2,1,493,1,0,1,0,9,4,0
2024-02-09,1430,12,1,0,0,0,5,2,3,0,0,1,1,6,3,0,0,0,12,0,0,0,86,8,0,3,0,110,3,2,1,0,163,0,1,1,0,0,0,20,0,2,64,0,68,0,0,0,0,2,16,0,0,4,2,4,0,9,0,2,0,57,0,0,24,0,0,3,10,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,7,0,1,1,59,5,1,9,2,1,7,0,10,0,0,3,0,0,10,0,33,1,1,0,13,16,1,0,0,0,0,0,71,0,3,0,13,0,3,0,425,0,0,1,0,6,4,0
2024-02-10,1393,16,0,1,0,0,5,4,8,1,1,1,2,7,9,0,0,0,8,0,0,0,80,7,1,0,1,103,3,0,1,1,135,1,0,2,2,0,1,15,1,1,59,0,57,0,0,0,0,2,20,0,0,0,3,0,1,10,1,2,0,89,0,0,28,0,0,1,23,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,6,1,0,1,0,57,3,0,13,0,2,4,0,8,0,0,5,0,0,6,2,37,2,0,0,14,17,1,0,0,0,0,0,72,0,6,0,21,0,3,0,376,0,1,1,0,7,6,0
