bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BI,BO,BR,BT,BW,BY,BZ,CA,CH,CL,CM,CN,CO,CR,CU,CW,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GA,GB,GE,GH,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KN,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,MK,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PM,PR,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SV,SY,SZ,TG,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2024-03-01,1357,13,0,1,0,0,0,9,3,9,0,0,0,1,6,4,0,1,1,9,0,0,1,0,68,8,4,0,100,0,0,0,0,0,129,3,0,0,1,2,0,16,0,4,54,0,62,0,0,0,2,0,25,0,0,1,4,13,2,14,1,2,0,75,0,12,0,0,3,0,7,2,1,1,0,0,0,1,0,0,3,1,1,0,0,0,0,0,5,3,1,1,1,1,62,4,1,4,0,0,6,0,12,1,0,2,1,0,9,0,19,1,0,0,16,13,2,1,0,0,0,0,0,60,1,1,1,16,6,0,412,0,0,1,7,6,0,0
2024-03-02,1356,11,0,0,1,0,0,4,4,15,0,1,0,1,8,4,0,0,0,7,0,0,2,0,69,10,2,0,120,0,1,0,0,1,108,4,0,0,3,0,0,18,0,5,59,0,50,0,0,0,1,0,36,0,0,1,4,3,2,9,1,0,0,77,0,34,0,0,0,0,3,1,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,46,4,0,6,0,0,6,0,13,0,0,3,0,0,7,0,28,1,0,0,11,12,1,1,0,0,0,0,0,64,1,3,0,17,2,0,429,2,0,0,9,3,0,0
2024-03-03,1456,17,0,2,0,0,0,0,5,10,0,2,0,3,6,6,15,0,0,10,0,0,0,0,81,13,2,0,62,2,0,0,0,0,163,3,0,0,1,2,0,32,0,3,69,0,68,1,0,0,0,0,18,0,0,0,1,7,1,12,1,2,0,78,0,18,0,0,0,0,12,0,2,0,0,1,0,1,0,0,2,1,1,1,1,0,0,0,1,6,0,1,1,0,48,1,0,7,0,0,6,0,12,0,0,4,0,0,8,0,21,4,0,0,27,18,1,0,0,0,0,0,0,43,0,3,0,32,5,0,458,1,0,0,3,7,0,0
2024-03-04,1180,8,0,1,0,0,0,5,6,8,0,2,0,3,5,4,0,0,0,5,0,0,0,0,77,9,0,0,84,0,0,0,0,2,132,6,1,1,0,0,0,17,0,1,52,0,68,1,0,0,1,0,15,0,0,0,0,0,0,8,1,1,1,66,0,14,0,0,1,0,12,0,1,0,0,1,1,0,0,0,1,0,1,0,2,2,0,0,1,0,0,1,0,0,60,2,0,7,0,0,1,0,8,0,0,7,0,0,10,0,18,2,0,0,20,16,0,1,0,0,0,0,0,46,0,5,0,28,0,0,315,0,0,0,4,1,0,0
2024-03-05,1255,10,0,1,0,1,0,1,8,23,0,2,1,4,6,5,0,0,0,8,0,0,0,0,76,7,0,1,109,1,0,0,0,0,150,3,0,0,0,0,0,16,0,0,41,0,78,0,0,0,3,0,14,0,1,1,3,3,0,7,1,0,1,75,0,20,0,0,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,5,11,0,0,1,0,54,7,0,5,0,0,3,1,8,0,0,6,0,0,9,2,18,2,0,0,19,27,0,0,0,0,0,0,0,39,0,3,0,38,1,0,296,0,0,0,5,0,0,0
2024-03-06,1532,6,0,2,0,0,0,7,4,4,1,4,0,2,9,7,0,0,0,8,0,0,0,0,81,8,2,0,137,2,0,0,0,0,187,2,0,1,2,0,0,15,0,2,61,0,75,0,0,0,0,0,14,0,0,1,2,27,0,8,0,2,0,64,0,46,1,0,0,0,5,1,4,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,8,5,0,1,0,0,57,3,0,0,0,0,3,0,9,0,0,3,0,0,8,2,17,1,0,0,24,40,0,1,0,0,0,0,0,42,0,7,0,18,1,0,468,0,0,0,1,3,0,0
2024-03-07,1290,15,0,3,0,0,0,3,0,8,0,0,0,1,5,4,0,0,0,12,0,0,0,0,82,8,0,0,95,0,1,0,0,0,124,2,0,1,0,1,0,19,0,4,58,0,74,0,0,0,1,0,23,0,0,2,6,36,1,2,1,0,0,59,0,20,0,0,2,0,6,1,2,0,0,1,0,2,0,0,8,0,0,0,0,2,0,0,2,5,0,1,0,0,53,4,0,1,0,0,1,1,13,0,0,6,0,0,11,0,18,1,0,1,17,20,0,3,0,0,0,0,0,59,0,2,0,20,2,0,350,0,0,1,3,0,0,0
2024-03-08,1353,13,0,3,0,0,0,4,3,7,0,1,0,0,5,6,0,0,0,17,0,0,0,0,69,10,2,1,117,3,1,0,0,1,138,4,0,1,0,4,2,21,0,1,57,0,68,0,1,0,2,0,35,0,0,2,1,3,0,10,2,4,1,57,0,43,0,0,0,0,21,1,2,0,0,0,3,0,0,0,5,0,0,1,0,3,0,1,3,2,0,1,2,0,60,2,0,2,0,0,3,0,10,0,0,4,0,0,11,1,21,1,0,1,16,18,0,0,0,0,0,0,0,68,0,7,0,31,1,0,325,0,0,0,5,1,0,0
2024-03-09,1448,12,0,0,0,0,0,4,2,12,0,2,0,0,9,5,0,0,1,16,0,0,0,0,91,15,3,1,111,2,0,0,0,1,138,3,0,1,0,0,1,20,0,4,62,0,69,0,0,0,7,0,26,0,0,4,6,1,0,10,0,1,1,77,1,75,1,0,1,0,11,0,1,0,0,2,1,1,1,1,3,1,1,0,1,0,0,0,8,4,0,1,0,0,50,4,0,3,0,1,4,1,10,0,0,5,0,0,7,1,21,0,0,0,11,30,0,1,0,0,0,0,0,39,1,3,0,25,3,0,385,0,1,0,7,2,0,0
2024-03-10,1704,6,0,0,0,0,0,5,4,8,0,1,0,2,9,5,0,0,0,20,0,0,2,0,87,10,1,0,86,3,1,0,0,0,188,7,0,1,0,2,2,24,1,5,54,0,66,0,0,0,1,0,20,0,1,2,6,54,2,11,0,7,1,94,0,94,0,0,2,0,7,1,2,0,1,2,0,1,0,0,2,0,1,0,0,0,0,0,4,4,0,0,2,0,56,6,0,10,0,0,4,1,10,0,0,6,0,0,11,0,17,2,0,0,22,36,0,0,0,0,0,0,0,38,1,3,0,26,3,0,514,0,0,0,10,6,0,0
