bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BD,BE,BG,BJ,BO,BR,BT,BY,BZ,CA,CD,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KG,KH,KN,KR,KZ,LA,LB,LC,LT,LU,LV,MA,MD,MG,MK,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SE,SG,SI,SK,SN,SY,SZ,TH,TL,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2024-04-01,1502,18,1,0,0,4,2,6,1,2,7,5,0,0,9,0,0,0,94,0,5,0,2,1,97,6,0,0,0,1,138,0,0,1,0,0,0,13,0,2,75,66,0,0,0,0,32,0,0,2,5,1,2,21,0,6,65,94,0,0,2,0,25,1,2,1,0,3,0,0,0,0,0,0,0,1,3,1,0,0,4,4,0,0,0,1,0,58,1,0,9,0,1,0,5,2,10,0,8,0,1,7,0,26,1,0,26,27,0,0,0,0,0,42,0,0,6,31,5,1,390,0,1,0,7,4,1,0
2024-04-02,1547,15,1,1,0,7,6,7,1,2,8,5,0,0,18,0,1,1,92,0,5,0,2,1,111,0,0,0,0,0,143,5,0,1,2,0,2,13,1,0,63,79,0,0,1,0,19,0,1,3,5,14,0,15,1,4,71,74,1,0,3,0,32,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,10,6,0,0,0,1,0,58,7,0,13,0,0,3,5,3,6,1,5,0,0,9,0,28,5,0,22,17,0,1,0,0,0,55,0,0,8,37,6,0,383,1,3,0,10,1,0,0
2024-04-03,1382,14,1,0,1,2,3,14,1,4,4,7,0,0,18,0,0,0,71,0,8,0,1,0,109,2,0,0,0,1,142,0,1,0,0,1,1,7,0,1,60,70,0,1,1,0,17,0,1,2,1,4,1,11,0,3,75,41,0,0,1,0,31,2,2,0,0,0,0,2,3,0,1,0,1,1,2,0,0,0,5,2,0,1,0,1,0,63,5,0,8,0,0,1,6,2,10,0,4,1,0,9,0,21,2,1,15,24,0,0,0,0,0,49,0,0,6,26,0,0,354,1,0,0,9,8,0,0
2024-04-04,1643,15,1,0,0,9,4,6,0,1,7,4,0,0,17,0,0,0,85,0,8,0,2,0,110,5,0,1,0,1,142,3,0,1,0,0,0,14,1,0,70,58,0,0,0,1,22,0,0,2,5,30,2,20,0,3,72,95,0,0,3,0,37,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,8,3,2,0,0,0,0,49,7,1,7,0,0,0,7,2,10,0,9,1,0,7,1,22,5,1,16,35,0,1,1,0,0,50,0,0,6,23,5,0,483,3,0,0,11,5,0,0
2024-04-05,1474,14,4,0,0,6,3,23,1,1,7,5,0,1,7,0,2,0,78,0,9,1,4,0,125,2,0,0,0,2,125,0,0,0,0,4,0,11,1,0,71,65,0,0,1,0,24,0,0,1,2,30,3,13,0,3,74,47,0,0,2,0,27,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,3,5,0,1,0,1,1,59,3,0,8,0,0,1,5,1,15,0,4,1,0,7,0,30,3,0,10,30,0,0,0,0,0,53,0,0,6,33,3,0,373,1,1,0,4,6,0,0
2024-04-06,1534,15,2,0,0,1,3,7,1,6,5,5,1,0,13,0,2,0,80,0,6,0,2,0,137,4,0,0,0,0,127,0,0,1,0,4,0,13,0,2,58,57,0,0,3,0,40,1,0,1,5,0,0,14,1,6,63,83,0,0,1,0,31,0,0,0,0,0,0,3,0,0,0,1,2,1,2,0,0,0,6,6,0,0,1,1,0,47,4,0,11,0,0,3,7,2,9,0,4,2,0,8,0,29,4,0,12,25,0,1,0,0,0,57,0,0,6,20,8,0,436,0,0,1,7,7,0,0
2024-04-07,1515,14,1,0,0,3,1,12,3,1,6,6,0,0,16,0,2,0,79,0,8,0,2,1,120,4,0,0,0,0,154,0,0,0,0,5,0,24,0,2,53,51,0,0,1,0,13,0,0,3,5,0,2,14,0,3,71,60,0,0,2,1,25,2,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,6,4,0,0,0,2,0,52,1,0,13,0,0,1,5,0,10,0,5,0,0,11,0,26,3,0,28,21,0,0,0,0,0,43,0,0,4,23,2,0,464,0,0,0,8,7,0,0
2024-04-08,1361,22,2,0,0,11,5,7,0,2,5,4,0,2,15,0,1,0,66,0,9,0,0,0,103,1,0,0,0,0,133,0,0,0,0,0,0,12,0,0,51,58,0,0,2,0,14,0,0,4,1,1,2,11,0,6,66,52,0,0,1,0,19,3,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,4,1,1,0,0,1,0,59,1,0,6,0,0,2,5,2,10,0,5,0,0,12,0,25,3,0,20,23,0,0,1,0,0,50,0,1,6,33,1,1,382,1,0,1,2,4,0,1
2024-04-09,1414,16,0,0,0,5,2,7,0,4,10,3,0,0,18,0,1,0,78,0,8,0,4,2,92,0,2,0,0,1,165,1,1,1,1,2,0,13,0,1,65,65,0,0,0,0,20,0,0,1,2,1,3,18,1,5,63,54,1,1,4,0,32,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,2,3,0,0,0,0,1,42,8,0,4,0,0,0,6,3,7,0,2,2,0,7,0,32,4,0,16,23,0,1,0,0,0,37,0,0,4,23,2,0,386,2,0,0,10,5,0,0
2024-04-10,1296,11,2,0,0,6,8,12,0,1,4,5,0,0,15,0,1,0,66,0,8,0,1,0,104,1,0,0,0,0,154,2,0,0,2,0,3,16,0,3,55,50,1,0,1,0,14,0,0,0,3,1,0,10,1,3,57,31,0,0,1,0,25,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,1,0,1,0,36,7,0,5,0,0,1,5,1,11,1,5,0,0,11,0,26,5,0,11,16,0,1,0,0,0,51,0,0,3,13,4,0,385,0,0,0,4,3,0,0
