bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BW,BY,CA,CG,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KH,KR,KZ,LA,LB,LC,LK,LT,LU,LV,MA,MD,ME,MK,MM,MN,MO,MW,MX,MY,NE,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SY,TH,TM,TN,TR,TW,TZ,UA,US,UZ,VE,VN,ZA,ZM
2024-07-01,1401,13,3,0,0,8,5,10,0,1,1,8,12,0,23,0,0,66,0,2,1,0,2,159,2,0,0,128,0,0,0,1,0,0,14,0,2,50,85,0,0,2,19,0,0,3,1,1,19,0,4,1,57,0,0,48,1,3,12,2,1,0,0,0,2,0,1,0,0,0,1,1,2,0,1,4,14,0,0,57,6,0,11,0,0,3,0,8,1,0,0,5,0,18,1,0,0,8,32,0,0,1,0,32,0,0,9,10,2,2,386,0,0,9,4,0
2024-07-02,1471,11,0,0,0,6,5,11,0,1,3,7,4,2,18,0,1,59,0,2,0,1,2,141,5,0,2,149,1,1,1,1,0,0,17,0,2,56,70,1,0,0,14,0,1,4,15,1,15,1,3,0,70,0,0,51,0,3,15,2,1,0,0,1,3,0,0,0,1,0,0,2,0,4,0,4,10,0,0,48,5,0,6,0,0,10,0,13,2,0,0,8,0,15,2,0,0,10,30,0,0,0,0,35,1,0,5,16,0,1,456,0,0,4,3,0
2024-07-03,1322,15,0,0,0,4,4,5,0,2,2,9,7,1,18,0,0,48,0,4,0,2,0,112,3,0,0,136,2,0,0,1,0,0,13,0,1,61,69,0,0,1,20,2,0,7,2,0,10,0,4,0,69,0,0,18,0,2,12,1,1,0,0,2,4,0,1,0,0,1,1,0,0,2,0,2,6,0,2,56,6,0,8,0,0,6,0,11,9,1,0,5,0,10,3,0,0,8,29,0,0,0,0,50,0,0,5,13,0,2,403,0,0,3,5,0
2024-07-04,1238,13,1,0,2,6,1,12,0,2,2,7,8,0,11,0,1,53,0,6,0,2,0,107,3,0,0,118,6,0,0,0,4,0,20,0,1,42,58,0,0,0,19,0,0,4,1,0,7,0,1,0,57,0,0,24,0,2,14,1,1,2,0,0,4,0,0,0,3,0,1,0,0,1,0,2,13,1,0,47,1,0,7,1,0,6,0,17,4,0,0,8,1,9,4,1,0,8,42,0,0,0,0,47,0,0,3,14,0,4,361,0,0,6,3,0
2024-07-05,1143,3,0,0,3,2,1,4,0,1,0,11,5,0,18,0,0,70,0,2,0,1,0,73,0,0,1,83,0,0,0,0,3,1,16,1,1,45,66,0,0,0,16,0,2,3,1,2,10,0,2,0,41,0,0,28,0,3,6,2,1,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,6,0,0,48,1,0,7,0,3,4,0,11,1,0,1,5,0,17,5,0,0,6,33,1,0,0,0,53,0,1,3,13,0,1,382,1,0,4,1,0
2024-07-06,1055,8,0,0,1,3,3,12,0,1,2,6,6,2,16,0,0,49,0,2,0,1,3,85,0,0,1,82,0,0,1,0,1,0,13,0,2,43,56,0,0,2,27,0,2,5,2,1,14,1,5,0,49,0,1,27,0,0,8,1,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,3,0,0,44,7,0,1,0,0,4,0,6,1,0,0,8,0,12,2,0,1,5,18,0,0,0,0,37,0,0,3,8,0,1,337,0,0,6,1,0
2024-07-07,1194,12,0,0,1,3,2,10,0,2,2,6,7,0,9,1,0,50,0,5,0,1,2,92,1,1,0,111,2,1,0,0,1,1,17,0,2,44,52,0,0,0,15,0,3,2,1,3,16,0,2,1,56,0,0,36,0,1,5,3,0,0,0,0,3,5,0,0,0,1,1,0,1,0,0,0,5,0,0,50,0,0,2,0,2,2,0,7,8,1,0,8,0,18,2,1,0,7,19,0,0,0,0,40,0,1,5,15,1,4,399,0,0,4,0,0
2024-07-08,1227,10,1,0,0,5,3,10,0,1,1,9,4,1,15,0,0,52,1,7,1,1,0,126,0,0,1,110,0,0,0,0,0,0,14,0,6,47,58,0,0,3,15,0,1,6,1,2,15,1,2,1,56,0,0,40,1,2,14,1,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,2,6,0,0,53,2,0,6,0,0,6,0,10,13,1,0,9,0,13,3,2,0,11,38,0,0,0,0,27,0,0,13,11,0,0,349,0,0,0,1,0
2024-07-09,1204,12,0,0,1,1,3,8,0,0,2,4,8,1,10,0,0,67,0,3,0,0,2,86,0,0,2,98,0,0,0,0,0,0,17,0,1,53,56,0,1,1,18,0,2,1,1,2,19,0,1,0,44,0,0,21,0,2,9,1,1,0,0,1,2,0,1,1,1,0,0,1,1,1,0,5,9,0,0,39,5,0,10,0,0,4,1,11,8,0,1,7,2,12,9,1,0,7,36,0,1,0,0,32,0,0,5,9,0,2,407,0,0,7,5,1
2024-07-10,1336,22,2,1,1,7,1,7,0,1,1,8,6,0,17,0,0,56,0,5,0,0,1,92,0,0,1,136,3,0,0,1,2,1,18,1,0,46,53,0,1,4,25,0,2,5,1,1,13,0,3,0,52,0,0,36,0,4,17,2,1,0,2,0,2,0,0,1,0,1,1,1,1,0,0,4,2,0,0,40,5,0,16,0,0,3,1,16,5,0,0,3,0,23,2,0,0,7,32,0,0,1,1,39,0,0,6,13,0,0,438,0,1,5,7,0
2024-07-11,1393,21,0,0,0,7,4,7,1,2,3,12,6,0,19,0,1,69,0,2,0,0,0,97,1,0,2,124,0,0,0,0,0,0,21,0,0,49,75,0,0,4,45,1,3,2,3,0,12,0,4,1,50,1,0,39,1,3,13,2,1,0,0,0,2,0,0,0,1,1,1,0,1,2,0,5,8,0,0,49,5,2,8,0,0,5,1,16,1,0,0,4,0,18,4,0,0,7,25,2,0,0,0,54,0,1,6,15,0,2,431,0,0,5,3,0
2024-07-12,661,12,0,0,0,0,1,5,0,0,2,3,3,0,9,0,0,34,0,3,0,0,0,56,0,0,0,39,0,1,0,0,0,0,5,1,0,19,8,0,0,0,15,1,2,2,1,0,7,0,1,0,15,0,0,25,0,3,7,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,6,6,0,0,15,2,0,6,0,0,4,3,7,0,0,0,5,0,10,3,0,0,1,25,0,0,0,0,12,0,1,2,7,0,1,254,0,0,3,3,0
