bucket,total,--,AD,AE,AR,AT,AU,BA,BB,BE,BN,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IS,IT,JP,KR,KZ,LC,LK,MD,MK,MM,MO,MT,MX,MY,MZ,NA,NC,NL,NO,NZ,PA,PE,PH,PL,PT,RO,RU,SE,SG,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-09-12T00,79,0,0,0,0,0,7,0,0,0,0,1,0,10,1,1,2,0,0,6,0,0,0,0,0,2,7,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,1,1,0,1,0,12,0,14,0,0,0
2021-09-12T01,68,0,0,0,2,0,10,0,0,0,0,3,0,7,1,1,1,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,3,0,1,0,8,0,16,0,0,0
2021-09-12T02,51,0,0,0,2,0,5,0,0,0,0,1,0,7,1,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,2,0,7,0,11,0,0,0
2021-09-12T03,54,0,0,0,1,0,15,0,0,0,0,0,0,7,1,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,8,0,0,0
2021-09-12T04,55,0,0,0,0,0,14,0,0,0,0,1,0,6,1,0,3,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,7,0,6,0,8,0,0,0
2021-09-12T05,63,0,0,0,0,0,20,0,0,0,0,0,0,5,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,1,0,16,0,8,0,0,0
2021-09-12T06,90,0,0,0,1,0,27,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,0,0,3,0,0,0,0,1,1,0,13,0,20,0,5,0,0,0
2021-09-12T07,72,0,0,0,0,0,7,0,0,1,0,0,0,2,2,0,2,0,0,6,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3,0,0,4,1,0,0,0,2,1,0,4,0,18,0,2,0,0,0
2021-09-12T08,80,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,14,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,2,0,0,2,0,0,0,1,5,2,0,8,0,17,0,3,0,0,0
2021-09-12T09,89,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,3,0,0,15,0,0,0,1,1,4,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,7,0,3,0,0,3,0,0,0,1,3,1,0,13,0,13,0,2,0,0,0
2021-09-12T10,81,1,0,0,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,18,0,0,0,2,0,3,9,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,5,0,1,0,0,5,0,0,11,0,5,0,4,0,0,0
2021-09-12T11,108,0,0,0,0,0,6,0,0,1,0,2,0,0,3,0,0,0,0,18,0,0,0,4,2,1,6,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,5,1,1,0,1,2,1,0,16,0,19,0,2,0,0,0
2021-09-12T12,104,1,0,0,0,0,2,1,0,2,0,0,0,0,2,0,1,0,0,17,0,0,0,3,0,3,6,1,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,4,0,0,0,2,2,2,0,14,0,16,0,1,0,0,0
2021-09-12T13,112,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,18,0,0,0,2,0,8,10,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,3,0,0,0,2,2,2,0,21,0,21,0,2,0,0,0
2021-09-12T14,151,0,0,1,1,0,2,0,0,1,0,0,0,3,2,1,2,0,0,19,1,0,0,2,0,6,15,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,15,0,0,0,0,4,0,1,4,3,13,0,0,21,0,15,0,8,0,0,0
2021-09-12T15,137,1,0,2,0,0,1,1,0,1,0,0,0,1,2,0,4,0,0,34,0,0,0,0,0,5,13,1,0,0,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,1,3,4,1,0,19,0,9,0,10,0,0,0
2021-09-12T16,149,0,0,1,4,0,1,1,0,1,0,0,0,2,3,1,2,0,0,25,0,0,0,7,0,6,26,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,7,0,0,0,0,1,1,1,0,4,7,1,0,11,1,8,0,13,0,0,0
2021-09-12T17,138,0,0,0,1,0,1,1,0,2,0,0,1,3,2,0,3,0,0,33,0,0,0,9,1,6,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14,0,0,0,0,1,1,2,2,0,13,0,1,11,0,7,0,10,0,0,0
2021-09-12T18,149,0,1,1,0,1,1,0,0,1,0,2,0,7,1,1,0,0,0,38,0,0,0,4,2,8,13,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1,2,0,1,0,0,5,0,1,11,0,8,0,13,0,0,0
2021-09-12T19,145,0,0,0,1,1,1,1,0,1,0,1,0,7,2,0,1,0,0,28,0,0,0,3,0,7,18,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,1,0,0,0,3,0,0,7,1,6,0,12,0,0,0
2021-09-12T20,115,0,0,0,1,0,1,1,0,0,0,3,0,3,4,0,0,0,0,22,0,0,0,3,0,8,11,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,3,0,1,4,0,0,3,0,5,0,13,0,0,0
2021-09-12T21,94,0,0,0,0,0,1,1,0,0,0,1,0,4,2,0,1,0,1,16,0,0,0,1,0,4,10,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,1,0,0,2,1,3,0,18,0,0,0
2021-09-12T22,83,0,0,0,0,0,1,0,0,0,0,1,0,6,1,1,1,0,0,8,0,0,0,0,0,3,9,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,32,0,0,0
2021-09-12T23,56,0,0,0,1,0,1,0,0,0,0,1,0,4,1,1,0,0,0,6,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3,0,22,0,0,0
