bucket,--,AD,AE,AR,AT,AU,BA,BB,BE,BN,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GR,GY,HK,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JP,KH,KR,KZ,LA,LK,MK,MM,MO,MT,MX,MY,NA,NL,NO,NZ,PE,PH,PL,PT,RO,RS,RU,SE,SG,SI,SK,TH,TR,TW,UA,US,VN,ZA
2021-09-19T00,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,4,0,10,0,8,0,0
2021-09-19T01,0,0,0,0,0,5,0,0,1,0,0,0,8,0,0,1,0,0,4,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,4,0,12,0,0
2021-09-19T02,1,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,25,0,0
2021-09-19T03,0,0,0,0,0,8,0,0,0,0,1,0,13,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,8,0,16,0,0
2021-09-19T04,0,0,0,0,0,11,0,0,0,0,1,0,4,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,4,0,5,0,11,0,0
2021-09-19T05,0,0,0,1,0,15,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,5,0,9,0,8,0,0
2021-09-19T06,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,1,2,0,0,4,0,12,0,4,0,0
2021-09-19T07,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,2,0,0,8,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,2,0,0,0,0,0,1,1,0,0,11,0,11,0,4,0,0
2021-09-19T08,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,14,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,2,3,0,0,0,6,0,7,0,3,0,0
2021-09-19T09,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,3,0,3,6,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,0,0,0,0,5,1,0,0,10,1,8,0,3,0,0
2021-09-19T10,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,16,0,0,0,1,0,3,12,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,1,0,0,0,2,0,0,0,7,1,4,1,4,0,0
2021-09-19T11,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,15,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11,0,0,0,1,0,0,0,0,0,3,1,0,0,14,1,10,1,4,0,0
