bucket,--,AE,AR,AT,AU,BA,BB,BE,BG,BN,BR,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IT,JP,KR,KY,LK,MD,MK,MO,MT,MX,MY,NA,NL,NO,NZ,PE,PH,PL,PT,RO,RU,SE,SG,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-09-26T00,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,1,0,0,0,1,3,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,2,0,0,5,1,9,0,11,0,0,0
2021-09-26T01,0,0,0,0,4,0,0,0,0,0,0,8,0,0,1,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,1,0,7,0,6,0,12,0,0,0
2021-09-26T02,0,0,2,0,4,0,0,0,0,0,2,10,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,7,0,15,0,0,0
2021-09-26T03,0,0,0,0,4,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,1,0,0,1,0,0,6,0,8,0,11,0,0,0
2021-09-26T04,0,0,0,0,6,0,0,0,0,0,0,4,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0,8,0,9,0,0,0
2021-09-26T05,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,3,0,1,0,1,0,3,0,0,0,0,2,4,0,7,0,13,0,5,0,0,0
2021-09-26T06,0,1,0,0,10,0,0,1,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,1,3,0,3,0,19,0,5,0,0,0
2021-09-26T07,0,0,0,0,10,0,0,1,0,0,0,2,1,0,2,0,0,0,8,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,2,0,0,1,1,3,2,0,5,0,16,0,1,0,0,0
2021-09-26T08,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,17,0,0,0,3,0,6,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,6,0,4,0,0,0,3,1,0,0,0,13,7,0,4,0,15,0,1,0,0,0
2021-09-26T09,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,4,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,10,0,0,0,2,0,1,0,1,3,2,0,7,0,11,0,3,0,0,0
2021-09-26T10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,1,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,8,0,0,0,2,0,0,1,1,5,3,0,5,0,8,0,3,0,0,0
2021-09-26T11,0,0,1,0,2,0,0,3,0,0,1,0,4,0,2,0,0,0,17,0,0,0,1,0,5,3,0,1,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,1,1,0,0,0,3,2,0,6,0,12,0,2,0,0,0
2021-09-26T12,0,0,0,0,1,1,0,0,0,0,1,2,1,0,2,0,0,0,17,0,0,0,2,1,9,8,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,5,0,8,0,0,0,2,0,0,0,1,1,1,0,11,0,12,0,2,0,0,2
2021-09-26T13,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,15,0,0,0,2,0,7,13,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,1,0,0,4,5,3,0,13,0,14,0,1,0,0,0
2021-09-26T14,0,0,0,0,1,1,0,2,0,0,1,3,1,0,5,0,0,0,18,0,0,0,2,0,9,14,0,1,0,1,0,1,0,8,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,3,0,3,0,0,12,3,0,17,0,13,0,2,0,0,0
2021-09-26T15,0,0,0,0,0,0,0,0,0,0,1,3,1,0,3,0,0,0,18,0,0,0,6,0,15,16,0,4,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,2,1,0,1,15,1,0,11,1,12,0,5,0,0,0
2021-09-26T16,0,0,1,0,0,0,0,1,0,0,1,4,0,1,0,0,0,0,29,0,0,0,8,0,15,16,1,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,2,3,2,1,0,11,0,0,15,0,7,0,10,0,0,0
2021-09-26T17,0,0,1,0,0,1,0,1,0,0,2,5,1,0,0,0,0,0,35,0,0,0,7,0,8,10,0,1,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,1,2,1,2,0,10,1,0,8,0,5,0,9,0,0,0
2021-09-26T18,0,0,1,0,0,1,0,2,0,0,1,5,3,1,0,0,0,0,31,0,0,0,6,1,6,14,0,1,1,0,3,0,0,14,0,0,0,0,0,2,0,0,0,0,0,18,0,0,2,1,1,1,2,0,7,1,0,12,1,3,0,16,0,0,0
2021-09-26T19,0,0,0,0,0,0,0,2,0,0,2,4,1,0,0,0,0,0,21,0,0,0,4,0,8,15,0,0,0,0,1,0,0,17,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,1,0,1,1,2,3,0,0,6,1,2,0,10,0,0,0
2021-09-26T20,0,0,0,1,0,0,0,1,0,0,0,5,2,0,0,0,0,0,26,0,0,0,2,0,7,14,0,0,0,1,0,1,0,13,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,5,0,0,0
2021-09-26T21,0,0,2,0,1,0,0,0,0,0,1,6,0,1,1,0,0,0,8,0,0,0,1,0,5,7,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,22,0,0,2
2021-09-26T22,1,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,8,0,0,0,0,0,2,11,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,21,0,0,0
2021-09-26T23,0,0,0,0,1,0,0,0,0,0,2,10,0,0,0,0,0,0,5,0,0,0,0,0,1,5,0,1,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0
