bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BR,CA,CH,CL,CN,DE,DK,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IS,IT,JP,KR,LK,MD,MK,MO,MX,MY,NL,NO,NZ,PA,PH,PL,PT,RO,RS,RU,SE,SG,SK,SV,TH,TR,TW,UA,US,VN
2021-10-03T00,71,0,0,1,0,4,0,0,0,0,7,0,2,0,7,0,0,0,0,5,8,0,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,6,0,11,0
2021-10-03T01,62,0,0,0,0,3,0,0,0,1,8,0,1,0,5,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,5,0,7,0,18,0
2021-10-03T02,65,0,0,1,0,6,0,0,0,1,7,0,2,0,4,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,1,0,0,0,0,2,0,0,9,0,4,0,17,0
2021-10-03T03,71,1,0,0,0,10,0,0,0,0,8,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,1,0,0,0,8,0,0,6,0,7,0,17,0
2021-10-03T04,74,0,0,0,0,11,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,0,0,0,12,0,0,5,0,10,0,11,0
2021-10-03T05,78,0,0,0,0,15,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,8,0,0,7,0,25,0,5,0
2021-10-03T06,59,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,5,0,0,8,0,25,0,3,0
2021-10-03T07,59,0,0,0,0,1,0,0,1,0,1,1,0,0,9,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,5,0,0,4,0,16,1,3,0
2021-10-03T08,78,0,0,0,0,3,0,0,1,0,0,1,0,0,16,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,5,7,0,0,0,2,0,0,0,0,0,0,5,0,0,4,1,10,1,3,0
2021-10-03T09,95,0,0,0,0,2,0,0,2,0,0,1,0,0,18,0,1,3,1,6,10,0,1,0,0,0,0,0,0,0,11,1,2,0,0,0,1,0,2,11,0,0,0,1,1,0,0,0,1,1,3,0,0,4,0,9,0,2,0
