bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EE,EG,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LT,LU,LV,MD,MG,MM,MN,MO,MQ,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SA,SE,SG,SK,SY,TH,TR,TT,TW,UA,US,UY,VN,VU,ZA
2021-10-31T00,138,1,0,1,0,2,1,0,0,0,0,3,0,9,0,1,0,9,1,0,0,7,0,0,0,0,0,1,0,4,6,0,0,2,0,0,0,2,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,11,0,0,8,0,0,1,0,47,0,1,0,0
2021-10-31T01,86,0,0,1,1,0,0,0,0,0,0,3,0,7,0,1,0,8,0,0,0,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,7,0,0,4,0,0,0,0,32,0,1,0,0
2021-10-31T02,96,2,0,1,0,0,0,0,0,0,0,1,0,11,0,1,0,9,0,0,0,3,0,0,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,6,0,0,4,0,0,0,0,40,0,0,0,0
2021-10-31T03,90,1,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,8,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,7,0,0,7,0,0,2,0,35,0,0,0,0
2021-10-31T04,103,1,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,11,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,2,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,5,0,0,1,0,35,0,0,0,0
2021-10-31T05,89,1,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,8,0,0,4,0,26,0,1,0,0
2021-10-31T06,102,2,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,10,0,0,0,7,0,0,0,0,0,1,0,2,2,0,0,3,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,2,0,0,0,0,1,0,1,0,1,1,8,0,0,11,0,0,6,0,26,0,0,0,0
2021-10-31T07,77,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,6,0,0,6,0,0,3,0,19,0,0,0,0
2021-10-31T08,127,0,0,1,1,2,0,0,0,0,0,1,0,2,1,0,0,15,0,0,0,8,0,0,0,0,0,1,0,1,2,0,0,3,0,1,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,2,0,1,0,1,1,0,5,0,0,2,12,0,0,7,1,0,1,0,42,0,0,0,0
2021-10-31T09,108,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,9,0,0,0,19,0,0,0,0,0,3,0,3,4,0,0,0,0,0,1,0,0,0,0,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,10,0,0,6,2,0,1,0,17,0,1,0,0
