bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BO,BR,CA,CH,CL,CM,CN,CU,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IS,IT,JM,JP,KE,KR,KZ,LT,LU,MM,MO,MX,MY,NG,NL,NO,NP,NZ,PH,PL,PT,RO,RS,RU,SE,SG,SI,SK,TH,TR,TT,TW,UA,US,VN,ZA
2021-11-21T00,114,2,0,0,0,0,0,2,1,0,0,9,0,0,0,2,0,0,12,0,0,0,3,0,6,6,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,2,13,0,0,0,0,0,2,0,39,0,0
2021-11-21T01,104,2,0,0,0,1,0,0,1,0,2,9,1,0,0,3,0,0,3,0,0,0,3,0,3,5,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,2,3,15,0,0,1,0,0,4,0,31,0,0
2021-11-21T02,96,2,0,0,0,1,0,0,0,0,1,8,0,0,0,2,0,0,5,0,0,0,2,0,5,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,2,0,2,0,0,2,17,0,0,3,0,0,4,0,26,1,0
2021-11-21T03,99,3,0,0,0,4,0,0,0,0,1,10,0,0,1,5,0,0,5,0,0,0,2,0,2,3,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,1,0,3,0,0,0,1,1,1,2,0,1,2,14,0,0,0,0,0,1,1,28,0,0
2021-11-21T04,100,1,0,1,0,1,0,0,0,0,0,6,0,0,0,7,0,0,3,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,1,3,19,0,0,2,0,0,1,0,37,6,0
2021-11-21T05,85,1,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,4,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,5,2,17,0,0,3,1,0,2,1,21,5,0
2021-11-21T06,78,3,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,4,0,0,0,1,0,1,2,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,2,10,0,0,3,1,0,1,1,23,0,0
2021-11-21T07,83,1,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,6,0,0,0,1,0,1,2,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,3,17,0,0,3,0,0,0,0,24,0,0
2021-11-21T08,110,2,0,0,1,0,0,0,1,0,1,2,0,0,0,4,0,0,18,0,0,0,3,0,1,3,0,1,0,0,0,0,0,0,0,2,0,6,0,1,0,0,0,2,0,0,1,0,1,0,0,0,3,0,0,0,0,1,3,23,0,0,1,0,0,2,0,27,0,0
2021-11-21T09,119,1,0,1,1,0,0,0,1,0,0,2,0,0,0,5,0,0,36,0,0,1,1,0,2,5,1,2,0,0,0,3,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,3,4,11,0,0,5,1,0,0,0,14,0,0
2021-11-21T10,129,1,0,0,2,0,0,0,0,0,0,3,0,0,0,5,0,0,29,0,0,3,8,0,4,10,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,1,0,0,1,1,0,9,0,0,0,2,0,1,0,0,1,2,9,0,0,3,0,0,5,0,16,0,1
2021-11-21T11,147,3,0,0,1,0,0,0,2,0,0,1,2,0,0,8,0,0,28,1,0,1,5,0,5,6,0,3,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,1,0,15,0,0,0,1,2,1,1,0,1,3,12,0,0,9,0,0,5,2,15,0,1
2021-11-21T12,166,1,0,0,0,0,0,0,2,1,1,2,3,0,0,8,0,0,34,0,0,0,6,2,7,5,0,2,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0,0,2,0,16,0,0,0,4,1,4,1,0,2,2,11,0,0,16,0,0,7,0,16,1,1
2021-11-21T13,202,1,0,0,1,0,0,0,2,0,2,3,5,1,0,7,0,1,49,0,0,0,1,1,10,9,0,2,0,0,0,0,1,1,0,6,0,4,0,0,0,1,0,0,0,1,8,0,13,0,0,0,5,1,1,0,0,4,2,11,0,0,16,1,0,7,1,22,1,0
2021-11-21T14,202,2,0,0,0,0,0,0,1,0,2,1,3,1,0,5,0,0,44,0,0,0,3,0,8,15,0,4,0,0,0,0,0,1,0,7,0,1,0,0,0,1,0,0,0,0,9,0,20,0,0,0,4,1,2,0,0,3,7,12,0,0,19,0,0,5,1,20,0,0
2021-11-21T15,225,2,0,0,0,0,0,0,1,0,2,4,1,1,0,5,0,0,65,0,0,0,2,0,13,10,0,2,0,0,0,0,0,0,0,10,0,3,1,1,0,1,1,0,0,0,8,0,24,1,0,0,1,1,1,1,0,4,10,9,0,0,13,1,0,3,1,21,1,0
2021-11-21T16,235,1,0,0,2,1,0,0,1,0,2,8,3,0,0,2,0,0,69,0,0,0,6,0,13,17,1,0,0,0,0,0,1,0,0,14,0,3,0,0,0,0,0,0,0,0,1,0,19,0,0,0,2,2,2,1,0,4,5,10,0,1,11,0,0,3,4,26,0,0
2021-11-21T17,221,1,0,0,1,0,0,0,0,0,1,2,1,0,0,5,0,0,74,0,1,0,8,0,25,11,0,1,0,0,0,0,1,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1,1,1,0,0,5,4,10,0,0,7,0,0,2,0,28,0,0
2021-11-21T18,246,3,0,0,1,0,0,0,1,0,1,5,2,1,0,3,0,0,80,0,0,0,11,0,12,13,2,1,1,0,0,0,0,1,0,15,0,3,0,0,0,0,1,0,0,0,0,0,25,0,0,0,1,1,2,1,0,4,6,10,0,0,3,0,0,3,0,33,0,0
2021-11-21T19,269,1,0,0,0,0,0,0,2,0,4,11,4,1,0,4,0,1,57,1,1,0,9,1,9,17,2,2,0,0,0,0,0,0,0,11,0,5,0,1,0,2,0,0,0,0,1,0,45,0,0,0,1,2,1,2,0,2,10,10,1,0,6,0,0,4,0,36,2,0
2021-11-21T20,219,1,0,0,0,0,0,0,1,0,3,17,4,0,0,2,0,0,53,0,1,0,3,0,9,16,0,1,0,0,1,0,0,0,0,16,0,3,0,0,0,1,1,0,0,0,0,1,25,1,0,0,1,3,1,2,0,1,4,6,0,0,7,0,0,3,0,31,0,0
2021-11-21T21,198,2,0,1,2,0,1,0,1,0,2,8,2,1,0,4,0,0,38,0,0,0,2,0,7,8,0,1,0,0,0,3,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,2,3,0,0,3,3,11,0,0,4,0,0,2,0,43,0,0
2021-11-21T22,146,2,0,0,1,0,1,0,1,0,1,10,2,2,0,2,0,1,23,0,0,0,1,0,3,9,1,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,1,0,0,0,3,8,0,0,2,0,0,2,0,44,0,0
2021-11-21T23,153,4,0,2,0,0,0,0,1,0,3,16,0,0,0,3,0,0,22,0,0,0,2,0,4,12,2,0,0,0,0,3,0,0,0,15,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,1,2,0,0,1,4,11,0,0,2,0,0,2,0,30,0,0
2021-11-22T00,139,3,0,0,0,2,0,0,0,0,0,16,0,0,0,3,0,0,9,0,0,0,4,0,3,8,1,1,0,0,0,0,0,0,0,3,0,6,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,2,0,1,0,2,1,11,0,0,0,0,0,2,1,50,0,0
2021-11-22T01,117,3,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,6,0,0,0,2,0,4,3,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,2,0,54,0,0
2021-11-22T02,97,2,0,0,0,1,0,0,1,0,0,10,0,0,0,7,0,0,7,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,1,1,13,0,0,1,0,0,3,0,36,1,0
2021-11-22T03,91,4,0,0,0,2,0,0,0,0,0,7,0,0,0,4,0,0,3,0,0,0,2,0,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,1,9,0,0,6,0,0,2,1,33,1,0
2021-11-22T04,81,2,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,2,0,0,1,0,1,1,7,0,0,0,0,0,2,1,37,0,0
2021-11-22T05,76,3,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,7,0,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,8,0,0,1,0,0,2,1,31,0,0
2021-11-22T06,95,0,0,0,0,0,0,0,0,0,1,4,2,0,0,3,0,0,4,0,0,0,2,0,2,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,2,1,0,0,1,0,2,1,12,0,0,1,1,0,2,2,42,0,0
2021-11-22T07,87,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,1,0,1,2,0,0,2,0,2,0,12,0,0,3,0,0,2,2,30,0,0
2021-11-22T08,95,0,0,0,3,0,0,0,1,0,1,1,0,0,0,5,0,0,12,0,0,0,1,0,5,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0,0,0,3,0,9,0,0,5,1,0,2,0,27,6,0
2021-11-22T09,105,0,1,0,2,2,0,0,0,0,0,0,1,0,0,4,0,0,14,0,0,0,1,1,6,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,3,1,0,0,0,4,0,9,0,0,6,1,0,2,1,29,1,0
2021-11-22T10,121,0,0,0,2,2,0,0,0,0,0,1,0,0,0,8,0,0,19,0,0,0,2,2,6,3,0,0,3,0,1,0,0,1,0,4,0,1,0,0,0,1,1,0,0,0,0,0,5,0,0,0,3,1,0,0,0,2,0,10,0,0,7,3,0,1,1,30,0,1
2021-11-22T11,136,0,0,0,1,2,0,0,0,0,0,1,0,0,0,8,0,0,23,0,0,0,3,0,2,6,1,0,1,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,1,0,0,0,10,0,0,8,0,0,7,2,38,0,1
2021-11-22T12,148,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,22,0,0,0,2,0,7,6,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,5,0,10,0,0,0,3,0,0,0,0,2,2,14,0,0,15,0,0,5,3,33,1,1
2021-11-22T13,133,0,0,0,0,1,0,0,0,0,1,2,1,1,0,6,0,0,15,0,0,0,1,0,5,5,0,2,0,0,0,0,0,0,0,6,0,1,0,0,2,0,1,0,0,0,6,0,10,1,0,0,2,0,0,0,0,1,1,9,0,0,20,0,0,6,4,23,0,0
2021-11-22T14,155,0,0,0,1,0,0,0,0,0,1,6,1,1,0,5,0,0,28,0,0,0,2,0,5,5,0,2,0,0,0,0,0,0,0,9,0,3,0,0,0,1,0,0,0,1,1,0,14,0,0,0,3,0,0,1,0,7,1,11,0,0,16,0,0,3,0,26,1,0
2021-11-22T15,202,0,0,0,2,1,0,0,2,0,1,8,0,1,0,8,2,0,42,0,0,0,3,0,5,12,1,2,0,0,0,0,1,0,0,11,0,2,0,0,0,1,0,0,0,0,0,0,16,0,0,0,2,0,0,0,1,6,4,10,0,0,15,0,1,4,1,36,1,0
2021-11-22T16,238,0,0,0,5,0,0,0,2,0,0,6,2,1,0,6,2,1,57,0,0,0,5,0,8,15,0,2,0,0,0,1,0,0,0,18,1,3,0,0,0,1,1,0,0,0,1,0,21,0,0,0,3,0,0,0,0,5,4,10,0,0,17,0,0,4,1,34,1,0
2021-11-22T17,264,0,0,1,4,1,0,0,0,0,0,4,3,1,0,5,2,0,92,1,0,0,8,0,14,14,0,2,0,0,0,1,0,1,1,21,0,1,0,0,0,1,0,0,0,0,0,0,19,1,0,0,1,1,0,2,0,1,5,9,0,0,6,0,0,4,1,35,1,0
2021-11-22T18,217,0,0,0,6,0,0,0,3,0,0,3,2,0,0,4,2,0,82,0,0,0,4,0,7,9,1,1,0,1,0,0,0,0,1,6,0,1,0,0,0,1,0,0,0,0,0,0,26,0,0,0,2,0,0,3,0,0,5,7,0,0,9,0,0,0,0,30,1,0
