bucket,total,--,AE,AR,AT,AU,BE,BG,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,EC,EE,EG,ES,FI,FR,GB,GR,HK,ID,IE,IL,IN,IT,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,MD,MK,ML,MO,MV,MX,MY,NL,NO,NZ,PA,PH,PK,PL,PT,PY,RO,RS,RU,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-12-12T00,143,0,0,0,0,0,1,0,1,0,9,0,0,13,0,0,12,0,0,0,0,2,0,8,12,1,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,0,2,1,0,0,0,1,0,12,0,0,0,0,0,1,46,1,1,0
2021-12-12T01,119,1,0,2,1,3,0,0,0,0,10,1,0,6,0,0,9,0,0,0,0,1,0,5,9,0,1,0,0,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,0,1,1,0,0,0,2,0,6,0,0,1,1,0,2,39,1,1,1
2021-12-12T02,126,1,0,0,0,2,1,1,0,0,9,1,0,11,0,0,6,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,1,0,0,1,0,1,0,3,0,10,0,0,5,0,0,2,49,0,1,0
2021-12-12T03,93,1,0,1,0,5,0,0,1,0,9,0,0,8,0,0,3,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,4,0,9,0,0,3,0,0,1,31,0,1,0
2021-12-12T04,95,0,0,0,0,1,0,0,0,0,6,0,0,10,0,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,5,0,0,1,1,0,0,0,0,0,0,4,0,9,0,0,1,0,0,0,40,0,2,0
2021-12-12T05,90,1,0,0,0,0,0,0,0,0,3,0,0,11,0,0,3,0,0,0,0,0,0,3,6,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,1,0,0,0,0,0,0,2,0,6,0,0,4,0,1,0,35,0,2,0
2021-12-12T06,96,0,0,0,0,1,0,0,0,0,4,0,0,15,0,2,5,0,0,0,0,0,0,4,5,0,1,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,1,0,0,0,0,0,0,2,0,6,0,0,6,0,7,0,23,0,1,0
2021-12-12T07,95,0,0,0,0,1,0,0,0,0,1,0,0,14,0,0,6,0,0,0,0,0,0,2,6,0,1,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,4,0,0,0,0,0,0,3,1,11,0,0,5,0,3,2,22,0,1,0
2021-12-12T08,87,0,0,0,0,0,3,0,1,0,1,0,0,10,0,0,5,0,0,0,0,0,0,0,6,0,1,0,0,0,0,5,7,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,5,0,0,0,2,0,2,0,0,1,0,3,1,5,0,0,3,0,1,0,19,0,1,0
2021-12-12T09,116,1,0,0,1,0,5,0,0,0,2,1,0,13,0,0,19,0,0,1,0,0,0,6,6,0,1,1,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,2,0,1,0,0,0,0,5,1,5,1,0,0,0,1,0,17,0,1,0
