bucket,total,--,AD,AE,AR,AT,AU,BB,BD,BE,BG,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,EE,ES,FI,FR,GB,GE,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,MD,MK,ML,MO,MT,MX,MY,MZ,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,SC,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,VE,VN,YE,ZA
2021-12-19T00,164,0,0,0,1,1,3,0,0,2,0,0,11,1,0,0,11,0,0,21,0,0,0,1,0,5,5,0,0,1,0,0,0,0,4,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,0,0,0,1,0,1,2,0,0,2,0,3,9,0,0,2,0,0,2,0,44,0,0,6,0,0
2021-12-19T01,153,1,0,0,0,1,3,0,0,1,0,0,13,1,0,0,12,0,0,12,0,0,0,2,0,4,7,0,0,1,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,0,0,1,0,2,7,0,0,0,0,1,6,0,50,0,1,3,0,0
2021-12-19T02,116,0,0,0,0,0,4,0,0,0,0,1,12,0,0,0,8,1,0,8,0,0,0,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,3,0,1,5,0,0,1,0,0,6,1,43,0,0,0,0,0
2021-12-19T03,101,0,0,0,0,0,6,0,0,0,0,1,16,0,0,0,10,0,0,4,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,2,0,1,8,0,0,0,0,0,6,0,30,0,0,0,0,0
2021-12-19T04,98,0,0,0,0,0,5,0,0,0,0,3,12,0,1,0,15,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,2,0,1,7,0,0,1,0,0,1,2,28,0,0,0,0,0
2021-12-19T05,80,0,0,0,2,1,3,0,0,0,0,0,7,0,0,0,7,0,0,5,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,4,0,1,6,0,0,0,0,0,3,0,22,0,0,0,0,0
2021-12-19T06,97,0,0,0,2,1,2,0,0,1,0,0,6,0,0,0,13,0,0,3,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,0,0,0,7,0,25,0,0,0,0,1
2021-12-19T07,80,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,8,0,0,3,0,0,0,0,0,3,2,0,0,0,0,1,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,0,0,1,3,0,23,0,0,0,0,0
2021-12-19T08,102,0,0,0,0,0,3,0,0,3,1,0,1,0,0,0,7,0,0,13,0,0,0,1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,5,8,0,0,2,0,1,4,1,17,0,0,0,0,0
2021-12-19T09,146,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,7,0,0,48,0,0,0,0,0,4,2,0,0,0,0,2,2,0,0,0,0,0,6,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,1,0,0,0,3,0,5,7,0,0,2,0,0,4,0,18,0,0,1,0,0
2021-12-19T10,180,1,0,3,0,0,1,0,0,2,0,0,0,1,0,0,8,0,0,51,0,0,0,6,0,9,9,0,0,0,0,0,1,0,0,0,0,1,12,7,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,27,1,0,0,1,0,2,0,2,0,1,0,3,8,0,0,0,0,0,4,1,13,0,0,1,0,0
2021-12-19T11,144,2,0,2,0,1,0,0,0,2,0,1,0,1,0,0,10,0,0,33,0,0,0,3,0,9,7,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,2,0,2,1,0,0,3,0,3,5,0,1,3,0,0,3,0,12,0,0,0,0,0
2021-12-19T12,174,1,0,3,0,0,0,0,0,1,0,0,1,3,0,0,13,0,0,27,0,0,0,3,0,6,15,0,0,0,0,5,0,0,0,0,1,0,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,1,0,0,2,0,3,0,2,0,3,0,2,10,0,0,10,0,0,4,0,16,0,0,0,0,0
2021-12-19T13,195,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,13,0,0,44,1,0,0,4,0,9,8,0,0,0,0,4,0,0,0,1,1,0,12,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,28,0,0,0,2,0,2,0,0,0,4,0,1,12,0,0,10,0,0,7,0,14,0,0,2,0,1
2021-12-19T14,206,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,13,0,0,53,1,0,0,3,0,7,13,0,0,0,0,2,1,0,0,1,0,0,13,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,1,1,1,0,2,0,2,6,0,0,10,0,1,5,2,16,0,0,2,0,0
2021-12-19T15,228,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,10,0,0,61,2,0,0,2,0,10,14,0,0,0,0,0,1,0,0,0,0,0,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,34,0,0,0,1,0,1,1,1,1,6,0,3,13,0,0,10,0,0,5,0,18,0,0,0,0,0
2021-12-19T16,252,2,0,1,0,2,0,0,0,0,0,3,10,1,1,0,5,0,0,66,2,0,1,8,0,15,15,0,0,0,0,2,0,0,0,1,0,0,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,33,0,2,0,1,0,3,1,2,0,4,0,4,11,0,0,9,0,0,4,1,22,0,0,0,0,0
