bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MD,ME,MK,ML,MO,MX,MY,MZ,NG,NL,NO,NZ,PH,PL,PR,PT,RO,RS,RU,RW,SC,SE,SG,SK,TH,TN,TR,TW,UA,US,UY,VN,ZA
2021-12-26T00,107,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,9,0,0,11,0,0,0,0,2,0,5,11,1,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,5,0,0,4,6,0,1,0,0,2,0,23,0,0,0
2021-12-26T01,96,1,0,0,1,2,0,0,1,0,0,0,0,7,0,0,0,6,0,0,9,0,0,0,0,0,0,4,6,1,1,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,1,6,0,1,0,0,3,1,26,0,0,0
2021-12-26T02,84,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,8,0,0,10,0,0,0,0,1,0,3,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,5,0,0,1,7,0,1,0,0,2,0,27,0,0,0
2021-12-26T03,82,0,0,0,0,2,0,0,1,0,0,1,0,11,0,1,0,12,0,0,6,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,3,0,0,0,7,0,0,0,0,2,0,20,0,1,0
2021-12-26T04,65,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,8,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,3,0,0,1,7,0,0,0,0,2,1,22,0,0,0
2021-12-26T05,72,2,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,7,0,0,6,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,1,5,0,3,0,0,3,0,19,0,6,0
2021-12-26T06,74,1,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,6,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,8,0,7,0,0,1,0,22,0,0,0
2021-12-26T07,76,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,10,0,0,0,0,1,0,3,2,0,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,3,0,0,1,8,0,4,0,0,5,0,15,0,0,0
2021-12-26T08,75,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,2,0,3,4,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,1,10,0,3,0,0,2,1,15,0,0,0
2021-12-26T09,101,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,23,1,0,0,0,3,0,4,5,0,2,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,0,0,2,0,0,0,0,0,3,0,0,2,7,0,2,0,0,4,0,14,0,0,0
