bucket,total,--,AE,AL,AR,AT,AU,BA,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,LA,LT,LU,LV,LY,MD,MK,ML,MO,MU,MV,MX,MY,NL,NO,NP,NZ,PE,PH,PL,PT,PY,RO,RU,RW,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN
2022-01-02T00,147,1,0,0,1,0,3,0,1,0,0,0,0,17,1,0,1,1,0,0,14,0,0,0,3,0,6,12,0,1,0,0,0,0,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,3,2,0,0,3,0,2,6,0,0,3,0,1,0,40,0,0
2022-01-02T01,112,1,0,0,1,0,0,0,1,0,0,0,0,19,0,0,5,0,0,0,4,0,0,0,1,0,4,5,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,1,0,0,3,0,2,7,0,0,1,1,0,0,38,0,0
2022-01-02T02,98,3,0,0,0,0,1,0,0,0,0,3,0,19,0,0,5,0,0,0,3,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,29,0,0
2022-01-02T03,102,2,0,0,1,0,1,0,1,0,0,0,0,23,0,0,5,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,3,0,3,7,0,0,1,0,0,0,35,0,0
2022-01-02T04,88,2,0,0,0,0,5,0,0,0,0,1,0,14,0,2,8,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,4,0,2,5,0,0,1,0,0,0,29,0,0
2022-01-02T05,92,1,0,0,0,0,6,0,0,0,0,0,0,4,0,2,7,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,5,0,3,5,0,0,1,0,1,0,36,0,0
2022-01-02T06,88,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,7,0,1,0,3,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,1,3,0,2,5,0,0,2,0,6,0,35,0,0
2022-01-02T07,75,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,11,0,0,0,2,0,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,2,8,0,0,2,0,1,0,23,0,0
2022-01-02T08,100,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,7,0,0,0,18,0,0,0,0,0,3,4,0,0,1,0,0,1,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,4,0,2,9,0,0,5,0,0,2,23,0,0
2022-01-02T09,117,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13,0,0,0,19,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,1,0,5,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,0,0,0,6,0,3,9,0,0,8,0,2,3,12,0,0
