bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BG,BM,BR,CA,CH,CL,CM,CN,CZ,DE,DK,EC,ES,FI,FR,GB,HK,ID,IE,IL,IN,IT,JP,KE,KR,LA,LT,LU,LY,ML,MX,MY,NG,NL,NO,PA,PH,PL,PT,RO,RU,RW,SE,SG,SK,TH,TR,TT,TW,UA,US,UY,VN,ZA
2022-01-09T00,165,1,0,0,1,0,0,1,1,0,0,0,19,0,0,0,5,0,20,0,0,0,0,9,14,1,1,1,0,0,10,2,0,2,1,1,0,0,0,0,0,0,10,0,0,1,0,1,0,3,0,3,6,0,4,0,0,2,1,44,0,0,0
2022-01-09T01,148,2,0,0,0,1,0,0,0,0,0,0,19,1,0,0,3,0,22,0,0,1,0,7,10,0,1,1,0,0,6,2,0,0,1,0,0,0,0,0,1,0,7,0,0,1,0,0,0,2,1,4,7,0,2,0,0,2,0,43,0,1,0
2022-01-09T02,156,1,0,2,0,5,0,0,0,0,0,2,20,1,0,0,8,0,10,0,0,0,0,5,6,1,1,0,0,2,3,8,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,1,2,6,0,2,0,0,4,1,56,0,0,0
2022-01-09T03,124,0,0,2,0,5,0,0,0,0,0,0,14,1,0,0,6,0,4,0,0,0,0,11,5,1,1,0,0,2,1,4,0,0,1,0,0,0,0,0,1,0,5,0,0,1,0,0,0,4,1,2,6,0,1,0,0,3,0,41,1,0,0
2022-01-09T04,146,2,0,1,1,6,0,0,0,0,0,1,7,0,0,0,8,0,5,0,0,0,0,12,3,1,1,0,0,1,2,4,0,0,1,0,0,0,0,0,1,0,3,1,0,1,0,0,0,4,0,2,8,0,4,0,0,1,0,65,0,0,0
2022-01-09T05,102,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,12,0,4,0,0,0,0,6,4,2,1,0,0,0,2,3,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,2,6,0,8,0,0,2,0,23,0,0,0
2022-01-09T06,104,2,0,1,0,3,0,0,0,0,0,1,9,0,0,0,11,0,4,0,0,0,0,6,6,2,1,0,1,0,1,1,0,0,1,2,0,0,0,0,2,1,3,0,0,0,0,0,0,4,0,1,7,0,5,0,0,6,0,23,0,0,0
2022-01-09T07,93,3,0,0,1,2,0,0,1,1,0,0,7,0,0,0,10,0,5,0,0,1,0,4,5,1,1,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,1,6,0,5,0,0,5,0,17,0,0,0
2022-01-09T08,128,2,0,0,0,4,0,0,2,0,0,2,3,0,0,0,9,0,14,0,0,1,0,5,4,2,2,0,0,4,6,2,0,1,1,1,0,0,0,0,1,0,9,0,0,0,0,0,0,2,0,1,5,0,3,1,0,2,1,33,0,5,0
2022-01-09T09,157,1,0,0,0,2,0,0,0,0,0,0,3,2,1,0,8,0,35,0,0,1,0,7,3,2,1,0,1,0,9,8,0,0,1,1,0,0,0,0,1,0,28,0,0,0,0,0,0,5,0,4,6,0,3,1,0,7,0,16,0,0,0
2022-01-09T10,160,2,0,0,1,1,0,0,0,0,0,1,4,0,0,0,13,0,37,0,0,3,1,8,7,1,1,0,2,0,12,1,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,1,0,4,0,8,5,0,4,0,0,4,1,17,0,0,0
2022-01-09T11,193,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,13,0,53,0,0,9,1,10,7,1,1,0,1,1,9,1,1,0,1,0,0,1,0,0,1,0,35,0,0,2,1,3,0,5,0,6,7,0,4,0,0,4,0,9,0,0,0
2022-01-09T12,204,2,0,0,1,0,0,0,0,0,0,1,3,3,0,0,8,0,49,0,0,3,1,14,10,4,1,0,1,0,12,1,0,0,1,0,0,0,0,0,1,0,33,0,0,4,0,1,1,6,0,7,6,0,7,0,0,6,0,17,0,0,0
2022-01-09T13,208,3,0,0,1,0,0,0,0,0,0,0,3,0,1,0,9,3,54,0,0,2,0,11,7,1,1,0,0,0,12,1,0,0,1,1,0,0,0,0,1,0,42,0,0,2,0,0,0,5,0,1,7,0,12,1,0,5,1,20,0,0,0
2022-01-09T14,284,2,0,0,0,0,0,0,0,0,0,1,6,3,1,0,11,3,55,2,0,5,0,14,15,1,1,0,0,1,15,1,0,0,1,0,0,0,0,0,2,0,43,0,0,2,0,0,2,3,0,6,9,0,9,0,0,7,0,63,0,0,0
2022-01-09T15,282,2,1,0,1,0,1,0,2,0,0,0,7,1,0,0,11,4,65,2,0,3,0,10,14,0,1,0,0,1,16,1,0,0,1,0,0,0,0,1,0,0,38,1,0,1,0,1,2,6,0,14,9,0,5,0,0,2,0,57,0,1,0
2022-01-09T16,292,2,0,1,1,0,1,0,1,0,0,3,14,1,0,1,8,3,83,0,0,4,0,16,22,2,1,2,0,0,26,2,0,0,1,0,0,0,0,0,0,0,34,1,0,1,1,4,0,7,1,10,6,0,2,0,0,2,1,27,0,0,0
2022-01-09T17,339,1,0,0,2,0,0,0,1,0,0,0,11,4,1,0,8,1,110,1,0,4,0,25,23,1,1,2,2,0,39,2,0,0,1,0,0,0,0,0,0,0,19,0,0,0,1,3,1,3,0,10,5,0,7,1,0,2,0,47,0,0,0
2022-01-09T18,364,3,0,1,2,0,0,0,2,0,0,0,16,3,1,0,13,2,124,0,0,10,1,18,21,2,1,5,0,0,23,1,0,1,2,0,0,0,0,0,0,0,39,0,0,2,3,1,2,1,1,8,7,0,4,2,0,2,0,40,0,0,0
2022-01-09T19,358,2,0,0,1,0,0,0,3,0,0,1,14,2,0,0,11,1,94,0,0,9,0,14,24,1,1,2,0,0,19,2,0,0,1,2,0,0,0,0,0,0,79,0,0,1,2,5,2,4,0,6,5,0,2,2,0,2,0,44,0,0,0
2022-01-09T20,294,1,0,0,2,0,0,0,1,0,0,0,22,1,0,0,9,0,64,0,0,5,0,13,24,0,1,1,0,1,20,2,0,0,1,1,0,0,0,0,0,0,40,1,0,0,2,4,1,5,0,3,7,0,1,0,0,3,0,58,0,0,0
2022-01-09T21,257,2,0,1,0,1,0,0,1,0,0,2,26,3,0,0,9,0,49,0,0,1,0,10,19,0,1,2,0,0,24,4,0,0,1,1,0,0,0,0,0,0,29,1,0,0,3,2,0,3,0,3,7,0,0,2,0,2,0,47,1,0,0
2022-01-09T22,209,2,0,0,1,1,0,0,0,1,1,0,18,2,0,0,14,0,35,0,0,0,0,8,16,0,1,5,0,1,17,1,0,0,1,0,0,0,1,1,0,0,20,0,0,0,1,1,0,3,0,3,9,0,0,0,0,2,0,42,0,1,0
2022-01-09T23,176,1,0,0,2,1,0,0,0,1,0,3,15,0,1,0,12,0,14,1,0,2,0,15,12,0,1,0,0,1,8,4,0,0,1,1,0,0,0,0,0,0,8,0,0,0,2,2,0,2,0,1,6,0,0,0,1,3,1,53,1,0,0
2022-01-10T00,166,2,0,2,0,0,0,0,0,0,0,3,23,1,1,0,18,0,15,1,0,0,0,6,8,0,1,0,0,0,7,1,0,0,1,3,0,0,0,0,0,0,5,0,0,1,0,0,1,4,0,1,13,0,0,0,0,3,0,44,1,0,0
2022-01-10T01,204,1,0,0,0,4,0,0,0,1,0,0,18,2,0,1,10,1,11,1,1,0,0,10,11,0,2,1,1,5,3,3,0,1,1,0,1,0,0,0,0,0,7,0,1,0,0,0,1,8,0,6,7,1,2,0,0,4,0,69,1,5,2
