bucket,total,--,AE,AR,AT,AU,BA,BE,BH,BR,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IT,JP,KE,KR,KZ,LK,LT,LU,ML,MO,MX,MY,NL,NO,NP,NZ,PH,PK,PL,PT,RO,RU,SE,SG,TH,TR,TT,TW,UA,US,UY,VN,ZA
2022-01-16T00,171,2,0,0,0,0,0,0,0,1,22,0,0,21,1,1,0,18,0,1,2,0,5,7,0,1,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1,0,0,4,5,5,0,0,0,3,0,43,0,0,0
2022-01-16T01,188,2,0,0,0,1,0,0,0,0,36,1,0,17,1,0,0,13,0,0,1,0,3,11,0,2,0,0,1,0,0,10,2,0,0,0,0,1,1,0,1,0,2,10,0,0,0,2,0,0,0,0,2,1,8,0,0,1,1,0,57,0,0,0
2022-01-16T02,145,1,0,0,0,1,1,0,0,0,25,0,0,17,1,0,0,9,0,1,1,0,6,4,0,1,0,0,1,0,1,3,1,0,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,3,1,6,1,0,0,1,0,48,0,0,0
2022-01-16T03,154,2,3,0,0,3,0,0,0,0,19,1,0,15,1,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,2,3,12,0,0,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0,0,0,2,1,6,0,1,0,5,0,60,0,0,0
2022-01-16T04,129,1,7,2,0,4,0,0,0,0,19,0,0,12,1,0,0,3,0,0,0,0,1,2,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,2,4,0,0,0,1,0,0,0,0,3,1,7,0,0,0,4,0,47,0,1,0
2022-01-16T05,108,2,1,0,0,5,0,0,0,0,7,0,0,11,1,0,0,3,0,0,0,0,5,2,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,1,2,2,8,1,1,0,2,1,39,0,0,0
2022-01-16T06,86,2,0,0,1,3,0,0,0,1,4,1,0,9,0,0,0,2,0,0,1,0,4,1,0,2,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,3,1,6,0,0,0,9,0,23,0,0,0
2022-01-16T07,100,1,0,0,0,3,0,1,1,1,4,0,0,15,0,0,0,7,0,0,0,1,1,2,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,6,1,6,2,0,0,5,0,30,0,0,0
2022-01-16T08,142,2,0,0,0,0,0,2,3,0,3,0,0,15,0,0,0,23,0,0,0,3,2,3,0,1,0,1,2,0,4,4,1,0,1,0,0,1,0,0,0,0,0,10,0,0,0,1,0,0,0,1,3,5,7,7,0,0,5,0,31,0,0,1
2022-01-16T09,198,3,0,0,0,0,0,5,0,0,6,1,0,13,0,0,2,59,0,1,4,1,5,10,0,2,0,0,2,0,1,5,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,1,0,0,2,9,7,3,1,0,3,1,24,0,5,0
2022-01-16T10,214,2,0,0,0,1,0,2,0,0,5,0,0,17,0,0,0,71,0,0,5,1,14,13,0,2,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,2,12,0,0,0,1,0,0,0,0,3,9,8,4,1,0,2,1,30,0,0,0
2022-01-16T11,214,2,0,0,0,4,0,0,0,0,3,3,0,13,0,0,2,61,0,0,4,3,5,15,1,4,2,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,1,0,0,2,8,13,0,0,0,8,0,27,0,0,0
2022-01-16T12,210,1,0,0,0,2,0,2,0,1,3,1,0,11,0,0,0,47,1,0,2,7,8,13,0,1,0,0,4,0,2,6,1,1,0,0,0,0,0,0,0,0,0,28,0,0,0,3,0,1,0,0,4,5,9,10,0,0,7,2,24,0,1,2
2022-01-16T13,243,2,0,0,1,0,0,4,0,2,6,1,1,15,0,0,0,71,1,0,3,1,12,5,0,2,0,0,0,1,2,10,1,0,3,0,0,0,0,0,0,1,1,33,0,0,0,3,0,2,0,1,2,5,9,11,0,0,9,0,21,0,1,0
2022-01-16T14,289,1,1,0,1,0,0,1,0,2,10,2,0,10,0,0,0,102,0,0,2,0,4,11,0,2,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,1,1,34,0,0,0,2,0,1,0,0,4,10,5,18,0,0,9,0,41,0,0,0
2022-01-16T15,356,0,1,0,2,0,0,1,0,1,23,2,1,12,1,0,0,114,0,0,2,1,7,15,0,2,0,0,0,0,2,19,17,1,0,0,0,0,0,0,0,0,1,36,0,0,0,2,0,1,0,1,5,20,7,12,0,0,7,0,40,0,0,0
2022-01-16T16,365,1,0,0,1,0,0,0,0,0,30,3,2,13,0,0,0,119,1,0,6,1,15,27,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,1,0,23,0,0,0,1,0,1,1,1,8,13,5,8,0,0,10,1,45,0,0,0
2022-01-16T17,375,3,0,0,0,0,0,1,0,0,29,2,1,13,1,0,0,121,0,1,15,1,21,23,0,2,0,0,1,0,1,35,1,0,0,0,0,0,0,1,1,0,0,15,0,0,0,1,0,1,1,2,7,12,5,6,1,0,4,0,44,0,2,0
2022-01-16T18,383,2,3,0,0,0,0,1,0,1,25,3,1,16,0,0,0,137,0,0,18,2,15,18,0,1,1,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,2,1,0,8,16,6,7,2,0,2,1,48,0,0,1
2022-01-16T19,345,3,1,0,1,0,0,4,0,0,22,3,1,12,0,0,0,104,0,0,10,3,9,20,0,0,0,0,3,0,1,15,1,0,1,0,0,1,0,0,0,0,0,43,1,0,0,1,0,2,1,3,6,13,5,5,0,0,1,1,48,0,0,0
2022-01-16T20,306,3,0,1,1,0,0,2,0,2,34,3,0,14,0,0,0,78,0,0,6,1,8,21,0,1,0,0,0,0,2,23,8,0,1,0,0,0,0,0,0,1,0,24,1,0,0,1,0,2,2,1,6,7,7,5,0,0,1,1,38,0,0,0
