bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KH,KM,KR,KZ,LA,LB,LK,LT,LU,LV,MK,MM,MN,MO,MT,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SN,SY,TH,TN,TR,TT,TW,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-01-23T00,160,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,13,2,1,0,12,0,0,0,19,0,0,0,1,0,1,0,7,9,0,0,1,0,0,1,1,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,2,0,1,0,1,0,2,0,0,0,2,5,0,0,0,0,0,0,0,3,0,47,0,0,0,0,0,0,0
2022-01-23T01,140,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,15,0,0,0,10,0,0,0,13,0,0,0,0,0,2,0,7,9,0,0,1,0,0,1,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,2,11,0,0,0,0,0,0,0,5,0,41,0,0,0,0,0,0,0
2022-01-23T02,117,2,1,1,0,2,0,0,0,0,0,0,0,0,1,0,11,0,0,0,10,0,0,0,9,0,0,0,0,0,1,0,4,4,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,3,5,0,0,0,0,0,0,0,5,0,40,1,0,0,0,0,0,0
2022-01-23T03,102,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,9,0,0,0,7,0,0,0,2,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,1,0,0,0,1,0,36,2,0,0,0,0,0,0
2022-01-23T04,119,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,0,0,0,9,0,0,0,0,0,0,0,6,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,3,6,0,0,0,5,0,0,0,3,0,35,0,0,0,0,0,0,0
2022-01-23T05,117,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,7,0,0,0,15,0,0,0,8,0,0,0,0,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,3,9,0,0,0,3,0,0,0,3,1,40,0,0,0,0,0,0,0
2022-01-23T06,111,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,6,0,0,0,0,0,0,0,5,2,0,0,3,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,3,7,0,0,0,5,0,0,0,7,0,31,0,0,0,0,0,0,0
2022-01-23T07,118,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,5,0,0,0,16,0,0,0,9,0,0,0,0,0,0,0,5,2,0,0,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,5,0,0,0,4,6,0,0,0,4,0,0,0,5,0,31,0,0,0,0,0,0,0
2022-01-23T08,124,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,16,1,0,0,22,0,0,0,0,0,0,0,7,1,0,0,3,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,1,0,0,0,1,0,6,0,0,0,2,5,0,0,0,4,0,0,0,5,1,23,0,0,0,0,0,0,0
2022-01-23T09,185,0,1,0,1,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,14,0,0,1,53,1,0,0,0,0,4,0,8,3,0,0,1,0,1,1,2,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,3,7,0,0,0,7,0,1,0,8,0,31,0,0,0,0,0,0,0
2022-01-23T10,193,0,1,0,0,2,0,0,0,0,4,0,0,0,1,0,2,1,0,0,15,0,0,1,54,0,0,0,0,0,3,1,8,3,0,0,2,0,0,0,1,0,0,0,0,15,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,6,0,2,0,0,0,0,0,5,0,0,0,3,7,0,0,0,3,0,0,0,7,0,23,0,0,0,1,0,0,0
2022-01-23T11,206,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,14,0,0,2,68,0,0,0,0,0,2,1,11,10,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,7,0,4,0,0,0,1,0,2,0,0,0,8,7,0,0,0,4,0,0,0,7,0,27,0,0,0,0,0,0,0
