bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BR,CA,CH,CL,CM,CN,CO,DE,DK,DO,ES,FI,FR,GB,GR,HK,HU,ID,IE,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LV,MN,MO,MU,MX,MY,NL,NO,NP,NZ,PH,PK,PL,PT,PY,RE,RO,RU,SE,SG,SK,TH,TN,TR,TW,UA,US,VN
2022-02-13T00,165,1,0,0,1,1,0,1,0,0,0,1,18,1,0,0,9,1,18,0,0,1,0,7,10,0,2,0,0,1,1,1,12,4,0,1,2,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,4,2,7,0,0,0,0,3,3,43,1
2022-02-13T01,147,1,0,1,0,0,0,0,0,0,0,3,13,0,0,0,17,1,18,0,0,1,0,4,3,0,1,0,2,1,1,0,3,6,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,1,0,0,1,3,1,5,0,1,0,0,1,1,47,2
2022-02-13T02,131,1,0,3,0,1,0,1,0,0,0,1,7,0,0,0,22,1,9,0,0,1,0,2,2,0,7,1,1,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,1,1,0,1,0,1,0,0,2,1,5,0,0,0,0,1,1,45,0
2022-02-13T03,105,1,3,1,1,3,0,0,0,0,0,2,9,0,0,0,12,1,7,0,0,1,0,1,1,0,0,1,0,0,1,0,1,4,0,0,5,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,2,0,32,0
2022-02-13T04,124,1,0,1,0,1,0,0,0,0,0,1,10,0,0,0,15,0,5,0,0,0,0,2,1,0,5,0,1,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,6,0,8,0,2,0,0,0,0,50,1
2022-02-13T05,107,1,1,0,0,1,0,0,0,0,0,1,8,0,0,0,12,0,8,0,0,0,0,4,1,0,5,0,1,0,1,0,1,7,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,6,0,3,0,0,0,1,38,1
2022-02-13T06,107,2,0,0,1,4,0,0,0,0,0,1,5,1,0,0,19,0,7,0,1,0,0,1,4,0,5,0,0,0,2,0,1,3,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,5,1,5,0,2,0,0,0,1,27,0
2022-02-13T07,118,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,19,0,11,0,0,0,0,2,3,0,3,0,0,0,0,1,3,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,0,0,4,0,7,0,7,1,0,3,2,26,7
2022-02-13T08,137,1,1,0,1,1,0,0,0,1,0,0,5,0,0,0,14,1,23,0,0,0,0,1,3,0,5,0,1,0,1,0,6,13,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,2,0,1,0,0,0,1,6,1,8,0,9,0,0,4,0,21,1
2022-02-13T09,181,9,1,0,0,2,0,0,0,0,1,0,2,0,1,1,24,0,42,0,0,1,0,10,5,0,4,0,1,2,0,1,7,5,0,0,2,1,0,0,0,0,0,0,0,0,8,0,0,0,1,1,1,0,0,0,1,6,3,5,0,4,0,0,0,2,25,2
2022-02-13T10,189,2,0,0,0,0,0,0,0,0,0,3,3,1,0,0,22,1,41,0,0,2,0,4,5,0,7,0,2,1,3,0,18,4,2,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,1,1,0,0,0,0,1,5,3,6,0,4,0,3,2,0,30,0
2022-02-13T11,183,1,0,0,1,0,0,0,0,0,0,2,2,1,0,0,20,1,31,0,0,4,0,10,9,0,3,0,0,0,3,0,11,5,0,0,3,0,0,0,0,0,0,0,1,1,9,1,0,0,3,0,1,0,0,0,1,8,6,9,1,6,0,1,1,1,25,1
2022-02-13T12,176,1,0,0,1,0,0,0,0,0,0,1,4,0,0,0,20,1,26,0,0,2,1,6,7,0,8,0,0,0,1,0,6,4,0,0,1,0,0,0,0,1,0,0,0,0,23,1,0,0,1,0,1,1,0,0,1,4,5,13,0,9,0,0,2,1,22,1
2022-02-13T13,197,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,17,0,38,0,0,1,0,10,17,0,10,0,0,0,1,0,5,2,0,0,1,0,0,0,0,1,0,0,0,0,16,1,0,0,2,0,1,2,0,0,0,4,2,13,1,19,0,0,1,0,24,1
2022-02-13T14,207,1,0,0,0,0,1,0,0,3,0,1,7,0,0,0,18,0,39,0,0,1,0,9,15,0,9,1,0,1,0,0,12,2,0,0,0,0,0,1,0,0,0,0,0,1,21,1,0,0,1,0,0,0,0,0,1,8,4,11,0,10,0,1,2,2,23,0
2022-02-13T15,224,0,0,0,2,0,0,0,0,2,1,1,10,0,1,0,18,0,48,1,0,1,0,14,12,0,7,1,0,1,2,0,13,2,0,1,0,0,0,1,0,0,0,0,0,2,23,2,0,0,1,0,1,2,1,0,0,4,10,9,0,5,0,1,2,1,21,0
2022-02-13T16,285,3,0,1,2,0,0,1,1,2,0,3,13,2,1,0,14,0,65,1,0,3,0,17,19,0,8,0,0,0,2,0,24,2,0,0,2,0,0,0,0,1,0,0,0,3,15,0,0,0,2,0,1,0,1,0,3,9,6,7,0,6,0,1,2,0,42,0
2022-02-13T17,315,1,0,1,2,0,0,0,0,1,0,3,11,2,0,0,14,0,83,0,0,12,0,18,22,0,5,0,0,0,0,0,29,2,0,0,3,0,0,0,0,0,0,1,0,1,19,1,1,0,0,0,2,1,0,0,1,6,11,6,0,8,0,1,2,0,45,0
2022-02-13T18,234,2,0,1,4,0,0,0,0,1,0,0,17,1,0,0,11,0,56,0,0,6,0,14,11,1,0,0,0,3,1,0,19,4,0,1,1,0,0,0,1,0,1,0,0,0,15,0,0,0,0,0,1,2,0,0,2,6,10,7,0,4,0,2,0,0,27,2
