bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BM,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LT,LU,MA,MD,MK,MN,MO,MT,MU,MW,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SA,SE,SG,SK,SL,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2022-02-27T00,159,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,18,0,0,0,12,0,0,15,1,0,0,0,0,0,1,0,5,10,0,1,0,3,0,0,0,0,0,0,0,0,0,12,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,6,0,0,1,0,0,1,2,46,0,0,0,0,1,0
2022-02-27T01,153,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,18,1,2,0,10,0,0,17,0,0,0,0,0,0,1,0,3,5,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,0,0,1,0,0,0,0,53,0,0,0,0,1,0
2022-02-27T02,152,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,19,1,1,0,13,0,0,13,0,0,0,0,0,0,0,0,4,5,0,0,0,2,0,0,0,0,3,0,2,0,0,5,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,1,6,0,0,3,0,0,0,0,46,0,0,0,1,1,0
2022-02-27T03,116,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,13,0,0,6,0,0,0,0,0,0,1,0,3,4,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,2,5,0,0,1,0,0,2,0,33,0,0,0,1,1,0
2022-02-27T04,94,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,0,0,6,0,0,0,0,0,0,0,0,4,2,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,6,0,0,0,0,0,1,0,31,0,0,0,0,0,0
2022-02-27T05,120,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,17,0,0,5,0,0,0,0,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,8,0,0,4,0,0,3,2,42,0,0,0,0,0,0
2022-02-27T06,125,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,14,0,1,14,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,1,5,0,0,1,0,0,7,2,34,0,0,0,0,0,0
2022-02-27T07,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,16,0,0,8,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,0,0,1,0,0,2,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,1,5,0,0,4,0,0,8,0,33,0,0,0,2,0,0
2022-02-27T08,146,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,12,0,0,25,0,0,0,0,0,0,0,0,4,3,0,0,0,6,0,0,0,1,0,0,0,1,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,6,0,0,7,0,0,5,1,43,0,0,0,2,0,0
2022-02-27T09,146,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,13,0,0,28,0,0,0,0,0,0,1,0,10,4,0,0,0,5,0,0,0,0,0,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,5,0,0,6,0,0,5,1,34,0,0,0,1,0,0
2022-02-27T10,131,1,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,1,9,0,0,36,0,0,0,0,0,0,3,0,3,1,0,0,0,6,0,0,1,0,1,0,0,0,0,10,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,2,5,0,0,2,0,1,4,0,18,0,0,0,0,0,0
2022-02-27T11,149,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,2,0,0,11,0,0,33,0,0,0,0,0,0,5,0,5,3,0,1,0,2,1,0,1,0,0,0,3,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,2,0,5,1,0,0,3,0,7,1,0,3,5,0,0,5,0,1,4,1,16,0,0,0,0,0,0
2022-02-27T12,147,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,18,0,0,28,0,0,0,0,0,0,5,0,4,4,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,1,0,5,0,0,0,2,0,3,0,0,2,8,0,0,3,0,2,4,0,22,0,0,0,2,0,0
2022-02-27T13,143,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,10,0,0,25,0,0,0,0,0,0,1,0,6,4,0,0,0,9,0,0,1,0,0,0,2,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,0,0,0,0,0,0,3,1,1,1,0,0,1,0,5,0,0,2,9,0,0,7,0,1,5,1,20,0,0,0,0,0,0
2022-02-27T14,212,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,3,1,0,12,0,0,47,0,0,0,0,0,0,0,0,7,5,0,0,0,21,0,0,0,2,0,0,3,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,0,0,3,6,0,0,16,0,3,10,0,27,0,0,0,1,0,0
2022-02-27T15,237,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,4,2,0,0,11,0,0,63,0,0,0,0,0,0,1,0,15,6,0,0,0,16,0,0,0,2,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,9,5,0,0,5,0,4,9,1,36,0,0,0,0,0,0
2022-02-27T16,275,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,2,0,0,20,0,0,71,1,0,0,0,0,0,3,0,14,10,0,0,0,5,0,0,1,2,0,0,2,0,0,28,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,12,6,0,0,3,0,3,5,1,35,0,0,0,4,0,0
2022-02-27T17,263,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,10,0,0,0,17,0,0,61,0,0,0,0,0,0,5,0,20,18,0,0,0,3,1,0,0,4,0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,17,1,0,0,0,0,0,0,0,3,1,0,0,0,0,7,0,0,3,5,0,0,7,0,5,3,2,29,0,0,0,1,0,0
2022-02-27T18,321,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,16,2,0,0,18,0,0,80,0,0,0,0,0,0,7,0,22,23,0,1,0,6,0,0,1,5,0,0,2,0,0,27,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,1,4,5,0,0,5,0,3,3,0,54,0,0,0,1,1,0
2022-02-27T19,287,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,15,4,0,0,14,0,0,78,0,0,0,0,0,0,6,0,14,20,0,0,0,3,0,0,0,1,0,0,0,0,0,13,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,6,0,0,6,0,1,1,1,52,0,0,0,1,0,0
2022-02-27T20,221,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,17,3,0,0,11,0,0,51,0,0,0,0,0,0,6,0,13,13,0,0,0,1,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,0,0,3,0,7,0,0,2,7,0,0,8,0,1,1,1,39,0,0,0,1,0,0
2022-02-27T21,217,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,19,3,0,0,11,0,0,42,0,0,0,0,0,0,5,0,10,12,0,0,0,1,0,0,0,1,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,6,0,0,4,0,0,0,1,59,0,0,0,1,0,0
2022-02-27T22,190,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,11,2,0,0,11,0,0,32,0,0,0,0,0,0,5,0,9,12,0,0,0,2,0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,5,0,0,4,0,0,0,0,64,0,0,0,0,0,0
2022-02-27T23,188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,12,0,0,20,0,0,0,0,0,0,3,0,7,13,0,0,0,0,0,0,1,0,0,0,2,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,7,0,0,0,0,0,0,0,81,0,0,0,1,0,0
2022-02-28T00,143,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,13,0,0,15,0,0,0,0,0,0,2,0,3,9,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,4,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,7,0,0,0,0,0,1,0,50,0,0,0,4,0,0
2022-02-28T01,138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,27,2,0,0,13,0,0,14,0,0,0,0,0,0,2,0,3,7,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,5,0,0,1,0,0,1,1,41,0,0,0,0,0,0
2022-02-28T02,134,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,0,13,0,0,14,0,0,0,0,0,0,2,0,4,5,0,0,0,4,0,0,0,0,1,0,3,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,5,0,0,0,0,0,1,1,42,0,0,0,0,0,0
