bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BM,BR,BY,CA,CG,CH,CL,CN,CO,CZ,DE,DK,EC,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,KY,KZ,LU,LV,MD,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SN,TH,TN,TR,TW,TZ,UA,US,VN
2022-03-06T00,151,1,0,2,1,1,0,0,1,0,0,6,0,10,0,1,0,8,0,0,11,0,0,3,0,4,19,0,2,0,0,0,0,0,0,6,1,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2,0,1,5,0,2,0,0,1,0,0,53,1
2022-03-06T01,139,1,0,1,1,1,0,0,1,0,0,2,0,15,0,1,1,16,0,0,11,0,0,3,0,2,10,0,5,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,3,0,0,1,0,0,42,0
2022-03-06T02,119,1,0,0,1,4,0,0,0,0,0,3,0,14,0,0,2,14,0,0,4,0,0,1,0,1,4,0,7,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,9,0,2,0,0,2,0,0,33,0
2022-03-06T03,137,1,0,0,1,8,0,0,0,0,0,2,0,17,0,0,1,10,0,0,5,0,0,3,0,2,3,0,5,0,0,0,0,1,0,1,4,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,3,0,0,9,0,4,0,0,5,0,2,43,0
2022-03-06T04,115,1,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,13,0,0,4,0,0,2,0,3,2,0,6,0,1,0,0,0,0,1,3,1,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,3,0,1,9,0,3,0,0,2,0,0,31,4
2022-03-06T05,147,1,0,1,0,4,0,0,0,0,0,0,1,12,0,1,0,13,0,0,5,0,0,1,0,2,3,0,10,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,0,1,0,2,9,0,6,0,1,2,0,1,61,1
2022-03-06T06,116,1,0,0,0,3,0,0,0,0,0,1,0,7,0,0,0,7,0,0,10,0,0,1,0,2,2,0,12,0,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,2,0,1,10,0,4,0,1,13,0,1,25,1
2022-03-06T07,148,1,0,0,1,3,0,0,0,0,0,2,0,3,0,0,0,2,0,0,10,0,0,1,0,3,3,0,14,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,5,0,0,11,0,5,0,1,4,0,0,61,0
2022-03-06T08,114,1,2,0,1,5,0,0,1,0,0,2,0,1,0,0,0,8,0,0,12,0,0,1,0,3,3,0,19,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,2,0,1,10,0,8,0,0,3,0,0,18,0
2022-03-06T09,149,1,0,1,0,3,0,0,0,0,0,1,0,1,0,1,0,17,0,0,29,0,0,1,0,4,4,0,16,0,0,0,0,1,0,8,5,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,7,0,9,0,0,3,0,1,26,1
