bucket,total,--,AD,AR,AT,AU,BA,BB,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,DE,DO,EE,EG,ES,ET,FI,FR,GB,GR,HK,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LU,MN,MO,MY,NL,NO,NZ,PH,PL,PT,PY,QA,RO,RU,RW,SE,SG,SK,TH,TR,TW,UA,US,VN,ZA
2022-03-13T00,154,2,0,0,1,1,1,1,1,0,0,0,0,16,2,0,10,0,23,1,0,0,6,0,0,4,9,0,2,0,0,1,0,0,5,5,0,2,0,1,0,0,0,8,0,1,0,1,0,0,0,1,6,0,1,6,0,0,1,1,0,34,0,0
2022-03-13T01,150,2,0,1,0,0,1,1,0,0,0,2,0,19,0,0,18,0,13,2,0,0,2,0,0,4,11,0,1,0,0,1,1,1,2,6,0,1,0,1,0,0,0,5,0,0,1,0,0,0,0,0,6,0,0,7,0,0,0,3,0,38,0,0
2022-03-13T02,142,2,0,1,0,1,1,0,0,0,1,1,1,19,0,0,23,1,7,0,0,0,2,0,0,2,2,0,6,2,0,0,3,1,1,5,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,4,0,0,7,0,0,0,3,0,38,0,0
2022-03-13T03,110,4,0,0,0,0,0,0,0,0,1,0,1,15,0,0,12,1,5,0,0,0,1,0,0,2,1,0,10,1,0,0,1,0,1,3,0,0,0,0,0,1,1,7,0,0,0,0,0,0,1,0,5,0,0,7,0,3,0,1,0,25,0,0
2022-03-13T04,120,4,0,1,0,4,0,0,0,0,0,0,0,11,0,0,16,0,5,0,0,0,1,0,0,2,3,0,17,2,0,0,1,0,1,3,0,0,0,0,1,0,0,4,0,0,0,1,0,0,1,1,2,0,1,6,0,0,0,2,0,29,1,0
2022-03-13T05,119,2,0,1,0,2,0,0,0,0,0,0,0,7,0,0,16,0,7,0,0,0,1,1,0,2,2,0,14,1,0,0,1,0,1,2,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,4,0,0,6,0,2,0,1,0,40,0,0
2022-03-13T06,140,4,0,1,0,4,0,0,0,0,0,0,0,7,0,1,16,0,8,0,0,0,1,1,0,2,2,1,18,2,2,0,2,0,2,4,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,4,0,2,10,0,3,0,3,0,32,0,0
2022-03-13T07,152,3,0,1,0,3,0,0,0,0,0,0,0,9,1,1,11,0,10,0,0,1,2,0,0,3,4,1,19,1,1,0,3,0,1,4,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,11,1,2,0,6,1,38,0,1
2022-03-13T08,148,1,0,1,0,1,0,0,0,0,0,1,0,3,0,0,8,0,17,0,0,0,1,0,0,8,4,1,33,0,0,0,1,0,1,3,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,8,1,1,7,0,4,0,4,0,28,5,0
2022-03-13T09,153,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,12,0,34,0,0,0,5,0,0,9,4,0,23,0,0,1,0,0,2,3,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,7,0,1,9,0,4,0,1,0,21,2,0
2022-03-13T10,186,2,1,0,0,1,0,0,0,1,0,0,0,3,1,0,16,0,35,0,0,0,13,0,0,15,6,0,10,0,0,1,1,0,5,3,0,0,0,0,0,0,0,13,0,0,2,2,0,1,0,2,6,1,1,9,0,4,0,1,0,28,0,2
2022-03-13T11,188,1,1,0,1,1,0,0,0,0,0,1,1,4,1,0,12,0,30,0,0,0,9,0,1,11,8,0,10,2,0,1,1,0,4,2,1,0,1,0,0,0,0,10,1,0,3,0,0,0,0,1,7,0,4,10,0,6,2,4,0,35,0,1
2022-03-13T12,136,1,0,0,0,1,0,0,0,0,0,0,0,5,2,0,9,1,22,0,2,0,4,0,0,11,5,0,7,0,0,1,1,0,7,1,1,1,1,0,0,0,0,9,1,0,1,0,1,0,0,0,3,0,1,10,0,3,0,7,0,17,0,0
