bucket,total,--,AD,AE,AF,AM,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GE,GF,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KM,KR,KZ,LK,LT,LU,LV,MC,MD,ME,MK,MN,MO,MX,MY,MZ,NL,NO,NP,NZ,OM,PE,PG,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,SN,TH,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2022-03-20T00,165,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,17,1,0,0,0,23,0,0,14,1,0,0,3,0,3,13,0,0,1,0,2,0,0,0,2,3,0,1,0,0,11,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,0,0,1,7,0,0,0,0,0,1,0,34,0,0,0,2,0,0
2022-03-20T01,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,15,0,0,17,0,0,0,3,0,10,9,0,0,0,0,13,0,0,0,3,1,0,2,0,0,4,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,8,0,0,0,0,0,0,0,55,0,0,0,1,0,0
2022-03-20T02,142,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,0,0,6,0,0,0,1,0,3,4,0,0,0,0,14,0,0,0,3,4,0,1,0,0,1,13,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,7,0,0,0,0,0,1,0,37,0,0,0,1,0,0
2022-03-20T03,182,0,0,1,0,0,1,0,2,0,0,0,0,0,0,4,0,9,0,0,0,0,11,0,0,3,1,0,0,1,0,4,4,0,0,0,0,9,0,0,0,1,0,0,6,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,6,0,0,0,0,1,1,0,101,0,0,0,0,0,0
2022-03-20T04,202,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,13,0,0,4,0,0,0,1,0,8,3,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,6,0,0,0,1,0,0,0,133,0,0,0,0,0,0
2022-03-20T05,129,0,0,0,0,0,1,0,4,0,0,0,0,0,0,3,0,12,0,0,0,0,11,0,0,3,0,0,0,1,0,6,4,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,5,1,3,0,45,0,0,0,0,0,0
2022-03-20T06,133,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,13,0,0,4,0,0,0,1,0,12,3,0,0,0,0,8,0,0,0,4,0,0,1,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,1,6,0,0,0,8,1,4,0,34,0,0,0,0,0,0
2022-03-20T07,125,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,16,0,0,3,0,0,0,1,1,5,5,0,0,0,0,12,0,0,0,4,0,0,1,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,3,0,0,3,9,0,0,0,8,0,3,0,26,0,0,0,0,0,0
2022-03-20T08,111,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,20,0,0,9,0,0,0,1,0,7,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,7,0,0,0,6,0,1,0,25,0,0,0,1,0,1
2022-03-20T09,151,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,4,2,0,0,0,23,0,0,28,0,0,0,2,1,10,7,0,0,0,0,12,0,0,0,0,0,0,4,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,7,0,0,0,8,0,1,0,18,0,0,0,0,1,0
