bucket,total,--,AE,AR,AT,AU,BE,BG,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,ES,FI,FR,GB,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,LU,MD,MM,MX,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SE,SG,TH,TR,TW,UA,US,VN,ZM,ZW
2022-04-10T00,113,0,0,0,0,2,0,1,3,0,12,0,0,8,0,1,11,0,3,0,1,6,0,2,1,0,0,0,0,0,0,6,3,1,0,0,0,0,1,3,1,0,1,0,0,0,1,1,0,3,0,0,9,0,0,3,0,28,1,0,0
2022-04-10T01,114,1,0,0,2,1,0,0,0,1,8,0,0,8,0,0,5,0,2,0,1,3,0,8,1,1,1,0,0,1,0,1,3,0,1,2,0,0,1,4,1,0,0,0,1,0,1,0,0,6,0,0,7,6,0,0,0,34,1,1,0
2022-04-10T02,125,0,0,1,0,0,0,1,0,1,11,0,0,6,0,0,9,1,1,0,1,5,0,12,1,1,1,0,0,0,0,1,4,0,2,0,0,0,0,4,0,2,0,1,1,0,0,0,0,9,1,0,9,1,1,1,0,34,1,1,0
2022-04-10T03,111,0,0,0,0,1,0,0,1,1,5,1,1,13,0,0,7,1,1,0,2,3,0,9,0,1,1,0,0,0,0,1,6,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,4,0,0,8,0,0,1,0,35,1,0,0
2022-04-10T04,116,0,0,0,0,2,0,0,1,0,1,0,0,17,0,0,9,0,1,0,3,2,0,9,0,0,1,0,0,3,0,1,10,0,1,0,0,0,1,5,0,0,0,2,0,0,0,0,0,4,0,0,7,2,0,0,0,34,0,0,0
2022-04-10T05,110,1,0,1,0,1,0,0,1,0,4,0,0,14,1,0,9,0,3,0,4,2,0,10,0,0,0,0,0,3,0,2,4,0,1,0,0,1,2,5,0,0,0,1,0,0,0,0,0,3,0,0,7,3,0,1,1,25,0,0,0
2022-04-10T06,142,1,0,2,0,2,0,1,1,0,5,1,0,14,1,0,12,0,3,0,3,5,1,7,0,0,0,0,1,3,1,0,7,0,3,0,0,0,4,4,0,0,0,3,0,1,0,1,0,3,0,1,8,3,0,10,0,25,5,0,0
2022-04-10T07,123,0,0,3,2,1,1,0,0,0,2,1,0,7,1,0,14,0,3,0,3,5,0,8,0,0,0,0,0,2,0,2,6,0,1,0,0,0,3,5,0,0,0,1,0,2,1,0,0,5,0,2,6,2,0,3,0,29,2,0,0
2022-04-10T08,197,1,0,0,0,1,0,0,0,0,4,0,0,15,0,0,36,0,3,0,4,5,0,11,0,0,0,4,1,4,0,7,8,0,1,1,0,0,2,7,0,0,0,0,0,1,1,0,0,8,0,2,7,1,1,0,0,60,0,0,1
2022-04-10T09,181,1,0,1,1,1,0,0,0,0,4,1,0,10,0,0,25,0,3,1,4,7,0,8,0,0,0,0,0,5,0,8,6,0,1,0,1,0,1,6,0,0,0,0,0,0,1,2,1,4,0,2,6,2,2,4,1,61,0,0,0
2022-04-10T10,137,1,0,0,2,0,0,0,0,0,4,0,0,9,0,0,27,0,4,1,9,4,0,6,0,0,0,0,0,2,0,6,5,0,1,0,0,0,0,8,0,0,0,1,0,0,0,2,2,4,1,0,5,7,1,2,1,22,0,0,0
2022-04-10T11,126,1,0,0,1,1,0,0,0,0,4,0,0,12,0,0,23,0,4,1,9,4,0,7,0,0,0,0,1,2,0,2,1,0,2,0,0,0,0,7,0,0,0,1,0,1,2,1,1,5,0,1,8,4,2,3,1,14,0,0,0
2022-04-10T12,108,0,1,0,1,0,1,0,1,0,3,0,0,11,0,0,13,0,1,0,8,4,0,8,0,0,0,3,0,3,0,5,1,0,0,0,0,0,0,7,0,0,0,1,0,1,2,0,0,3,0,1,6,7,0,3,0,13,0,0,0
