bucket,total,--,AD,AE,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KM,KR,KY,KZ,LB,LK,LT,LU,LV,MA,MC,MD,MK,MN,MS,MT,MV,MX,MY,NA,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PT,QA,RE,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SN,SY,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZW
2022-04-17T00,120,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,12,1,1,0,9,0,0,0,9,0,0,0,0,0,0,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,0,1,8,0,0,0,0,2,0,0,0,2,0,0,0,46,0,0,0,0,1,0,0
2022-04-17T01,103,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,10,0,1,0,12,0,0,0,4,1,0,0,0,2,0,0,1,3,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,0,0,0,0,7,0,0,0,0,3,0,0,0,2,0,1,0,26,0,0,0,0,0,0,0
2022-04-17T02,106,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,9,0,0,0,10,0,0,0,8,1,0,0,0,1,0,0,1,2,0,0,0,0,12,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,30,1,0,0,0,0,0,0
2022-04-17T03,85,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,6,0,0,0,10,1,0,0,3,0,0,0,0,1,0,0,1,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0
2022-04-17T04,90,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,3,0,0,0,5,1,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,2,0,0,0,1,0,0,0,23,1,0,0,0,0,0,0
2022-04-17T05,96,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,1,0,5,0,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,8,0,0,0,0,0,2,0,1,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0
2022-04-17T06,117,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,11,1,0,0,7,0,0,1,0,0,0,0,3,1,0,0,0,0,8,0,1,0,0,0,2,0,1,0,1,0,7,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,0,1,10,0,0,0,0,4,0,0,0,7,0,1,0,25,0,0,0,0,1,0,0
2022-04-17T07,118,1,0,0,1,2,0,1,0,0,0,2,0,0,3,0,7,0,0,0,16,1,0,0,9,0,0,0,0,1,0,0,5,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,7,0,0,0,0,5,0,1,0,1,0,1,0,24,0,0,0,0,1,0,0
2022-04-17T08,335,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,2,1,0,0,12,0,0,0,15,0,0,0,0,1,0,0,6,4,0,0,1,0,11,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,0,0,0,0,6,0,0,0,2,0,0,0,23,0,0,0,0,0,0,0
2022-04-17T09,127,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,1,0,0,14,0,0,0,21,1,0,0,0,4,0,0,5,2,0,0,0,0,10,0,0,0,3,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,3,0,0,0,1,0,0,0,23,0,0,0,0,2,0,0
