bucket,total,--,AE,AR,AT,AU,AZ,BA,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,DE,DK,DO,EG,ES,ET,FI,FR,GB,GM,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,KW,KZ,LK,LT,LU,LV,MD,MK,MM,MT,MU,MX,MY,NL,NO,NP,NZ,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SK,SN,SY,TH,TR,TW,TZ,UA,UG,US,UY,VN
2022-04-24T00,129,0,0,0,1,1,0,0,0,0,0,6,0,9,0,0,8,0,11,0,0,0,1,0,0,7,2,0,4,0,0,0,0,0,0,0,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,3,0,1,8,0,0,0,2,2,4,0,0,0,35,0,2
2022-04-24T01,121,0,0,0,0,2,0,0,0,0,0,2,0,13,0,0,6,0,8,0,0,0,1,0,0,3,8,0,4,0,0,0,0,0,2,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,3,0,1,7,0,0,0,1,0,6,0,0,0,42,0,1
2022-04-24T02,133,0,0,1,0,2,0,0,1,0,0,2,0,9,0,0,8,0,8,0,0,0,2,0,0,2,4,0,5,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,4,0,1,6,0,0,0,0,1,4,0,0,0,64,0,1
2022-04-24T03,114,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,11,0,0,0,1,0,0,1,2,0,7,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,1,7,0,0,0,1,0,12,0,0,0,42,0,2
2022-04-24T04,135,1,0,0,0,2,0,0,0,0,0,0,0,8,0,0,7,0,8,0,0,0,1,0,0,1,2,0,4,0,0,0,4,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5,0,0,9,0,0,0,2,0,2,0,0,0,67,1,2
2022-04-24T05,102,1,1,0,0,2,0,0,0,0,0,0,0,11,0,0,6,0,7,0,0,0,1,0,0,2,5,0,7,0,0,0,0,0,2,0,2,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3,0,0,12,0,0,0,1,0,5,0,0,0,24,0,0
2022-04-24T06,104,1,0,1,0,2,0,0,0,0,0,0,0,11,0,0,7,0,4,0,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,2,0,0,9,1,0,0,3,0,16,0,0,0,27,0,1
2022-04-24T07,113,3,0,1,1,2,0,0,2,0,0,0,0,3,1,0,9,0,8,0,0,0,1,0,0,3,5,0,6,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,4,0,1,7,0,0,0,9,0,9,0,0,0,24,0,0
2022-04-24T08,144,1,0,0,0,2,0,0,1,0,0,1,0,4,2,0,10,0,19,0,0,0,5,1,0,3,5,0,10,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,2,1,0,8,0,0,0,11,0,7,0,1,0,30,0,0
2022-04-24T09,192,1,0,1,0,2,0,0,1,0,0,0,0,5,0,0,20,0,20,0,0,0,8,0,0,7,9,0,12,0,0,0,0,0,4,0,11,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,1,0,0,1,0,3,0,2,8,0,0,0,9,0,2,1,0,0,49,0,1
