bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BN,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LT,LU,MA,MD,MK,MN,MO,MT,MX,MY,MZ,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SD,SE,SG,SK,SN,SY,TH,TN,TR,TW,TZ,UA,US,UY,VN,ZA,ZM,ZW
2022-05-01T00,128,2,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,11,0,0,0,12,0,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,1,0,1,0,1,2,0,0,1,6,0,0,0,1,0,1,1,0,0,42,0,5,0,0,0
2022-05-01T01,130,1,0,0,1,0,0,0,0,0,0,0,2,0,7,0,0,0,19,0,0,0,9,0,0,2,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,6,0,0,2,7,0,0,0,1,0,0,5,0,0,42,0,0,0,0,0
2022-05-01T02,135,1,0,0,0,0,2,0,0,0,0,0,2,0,12,0,0,0,24,0,0,0,11,0,0,2,0,0,0,4,0,0,0,3,0,0,1,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,1,0,0,0,0,0,2,0,0,2,8,0,0,0,1,1,0,4,0,0,37,0,0,0,0,0
2022-05-01T03,125,2,0,0,0,0,2,0,0,0,0,0,1,0,14,0,1,0,19,0,0,0,3,0,0,1,0,0,1,2,0,0,0,3,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,3,0,0,3,6,0,0,0,0,1,0,6,0,0,36,1,4,0,0,0
2022-05-01T04,114,2,0,0,0,0,2,0,0,0,0,0,1,0,8,0,0,0,16,0,0,0,4,0,0,1,0,0,2,3,0,0,0,1,0,0,0,2,0,2,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,1,0,0,3,4,0,0,2,7,0,0,0,1,0,0,5,0,0,34,0,2,0,0,0
2022-05-01T05,120,1,0,1,1,0,5,0,0,0,0,0,2,0,4,0,0,0,14,1,0,0,7,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,2,0,0,2,0,0,0,0,0,3,0,0,2,8,0,0,0,3,0,0,6,0,0,27,0,0,0,0,0
2022-05-01T06,133,1,1,1,1,0,5,0,0,0,0,0,4,0,2,0,0,0,14,0,0,0,8,0,0,3,0,0,5,6,0,0,0,5,0,0,0,0,0,0,0,0,4,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,11,0,0,1,2,0,1,13,0,0,26,0,2,0,0,0
2022-05-01T07,140,3,0,0,0,1,5,0,0,2,0,0,4,1,3,0,0,0,12,0,0,0,13,1,0,2,0,0,1,3,0,0,0,4,0,0,0,0,1,1,0,0,3,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,0,0,0,1,3,0,0,1,10,0,0,1,6,0,2,12,0,0,27,0,1,0,0,0
2022-05-01T08,143,1,0,0,0,1,2,0,0,1,0,0,3,0,3,0,0,0,9,0,0,0,14,0,0,6,1,0,5,3,0,0,0,2,0,1,0,0,1,3,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,3,0,1,0,1,1,2,0,0,2,5,0,0,0,3,0,2,16,0,0,34,0,0,0,0,0
2022-05-01T09,185,1,0,0,1,1,1,0,0,1,0,0,0,0,5,1,0,0,12,0,0,0,26,0,1,5,1,0,15,4,0,0,0,6,0,0,1,2,0,3,0,0,13,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,1,2,0,0,5,0,0,3,8,0,0,0,1,0,1,14,0,0,29,0,2,0,0,0
2022-05-01T10,177,1,0,0,1,0,2,0,0,2,0,0,1,0,4,1,0,0,8,0,0,0,28,0,1,7,0,0,9,6,0,0,0,6,0,0,0,2,0,4,0,0,8,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,7,0,0,0,0,0,2,0,0,0,0,0,4,0,0,3,6,0,0,0,6,0,2,7,0,0,42,0,1,0,0,0
2022-05-01T11,138,2,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,13,0,0,0,23,0,0,6,0,0,4,9,0,0,0,5,0,0,1,0,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,1,0,2,1,0,0,4,0,0,2,6,0,0,0,8,0,1,8,0,0,18,0,1,0,0,0
2022-05-01T12,160,1,0,0,1,0,0,0,0,1,1,0,4,0,3,1,0,0,14,0,0,0,19,0,0,3,0,0,7,9,0,0,0,9,0,0,0,0,0,1,0,0,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,2,0,1,0,0,0,3,0,0,3,6,0,0,0,9,0,0,4,0,0,36,0,1,0,0,0
2022-05-01T13,212,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,26,0,0,2,0,0,8,12,0,0,0,33,0,0,1,0,0,1,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,5,0,1,0,1,1,5,0,0,1,8,0,0,0,14,1,1,5,0,0,36,0,0,0,0,0
2022-05-01T14,229,1,0,0,1,1,0,0,0,2,0,0,1,0,7,0,0,0,15,0,0,0,31,0,0,7,0,0,9,9,0,0,0,21,0,1,0,0,3,1,0,0,18,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,13,0,0,0,0,0,4,0,1,1,0,1,4,0,0,2,7,0,0,0,19,1,1,8,0,0,30,0,2,0,0,0
2022-05-01T15,233,2,0,0,1,2,0,0,0,3,0,0,2,0,8,0,0,0,8,0,0,0,42,0,0,4,0,1,13,15,0,0,0,22,0,0,0,0,1,1,0,0,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,4,0,1,1,0,1,4,0,0,1,7,0,0,0,14,0,1,7,0,1,35,0,0,0,0,0
2022-05-01T16,289,3,0,0,0,2,0,0,0,2,0,0,3,0,9,0,0,0,14,1,0,0,56,0,0,10,0,0,16,13,0,0,0,18,0,2,0,0,2,0,0,0,20,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,11,0,0,0,0,0,1,0,0,0,0,2,4,0,0,10,8,0,0,0,14,0,3,5,0,1,49,0,0,0,0,0
2022-05-01T17,268,3,0,0,0,1,0,1,0,3,0,0,1,0,7,1,0,0,10,0,0,0,64,0,0,9,0,0,12,12,0,0,0,6,0,3,0,0,0,1,0,0,25,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,1,0,0,16,0,2,5,0,0,45,0,5,0,0,0
2022-05-01T18,221,1,0,0,0,1,0,0,0,3,0,0,1,0,5,1,0,0,8,2,0,0,46,0,0,8,0,0,5,14,0,0,0,3,0,1,0,0,0,3,0,0,13,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,24,0,0,0,0,0,0,0,1,0,0,0,4,0,0,5,7,0,0,0,19,0,2,4,0,0,30,0,3,0,0,0
2022-05-01T19,258,2,0,0,1,1,0,0,0,2,0,0,2,0,13,1,0,0,13,1,0,0,50,0,0,14,0,0,10,10,0,0,0,6,0,0,1,0,2,8,1,0,21,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,2,0,0,0,0,0,0,0,0,0,0,2,0,0,4,6,0,0,0,6,0,3,3,0,0,42,0,2,0,0,0
2022-05-01T20,235,3,0,0,1,1,0,0,0,3,0,0,0,0,8,4,0,0,12,0,0,1,37,0,0,6,0,0,5,19,0,0,0,2,0,1,1,0,2,7,0,0,29,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,1,0,1,0,0,0,0,0,0,4,0,0,6,5,0,0,0,3,0,2,1,0,0,44,0,2,0,0,0
2022-05-01T21,187,1,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,16,2,0,0,25,0,0,1,0,0,6,16,0,0,0,3,0,0,0,0,0,2,0,0,19,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,1,0,0,0,8,1,0,5,5,0,0,0,3,0,2,1,0,0,38,0,2,0,0,0
