bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BF,BG,BO,BR,BY,BZ,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EG,ES,FI,FR,GB,GE,GN,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MO,MT,MW,MX,MY,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,SY,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VI,VN,ZA,ZW
2022-05-29T00,115,2,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,8,0,0,27,0,0,0,7,0,0,0,0,0,0,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,7,0,0,0,1,0,0,0,2,0,0,27,0,0,1,0,1,0,0
2022-05-29T01,80,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,12,0,0,0,6,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,7,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,3,0,0
2022-05-29T02,103,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12,0,0,0,3,0,0,0,0,1,0,2,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,5,0,0,0,1,0,0,0,4,0,0,27,0,0,0,0,1,1,0
2022-05-29T03,90,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,1,0,7,1,0,0,2,1,0,0,0,1,0,4,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,1,0,5,0,0,26,0,0,0,0,0,1,0
2022-05-29T04,85,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,1,0,0,2,0,0,0,1,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,1,0,0,0,6,0,0,23,0,0,0,0,0,0,0
2022-05-29T05,90,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14,1,0,0,5,0,0,0,1,1,0,3,3,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,0,1,0,0,0,6,0,0,21,0,0,0,0,0,1,0
2022-05-29T06,101,3,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,3,0,10,0,0,0,10,0,0,0,1,0,0,2,5,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,5,0,0,0,8,0,0,20,0,0,0,0,0,0,0
2022-05-29T07,99,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,14,0,0,0,7,0,0,0,0,1,0,2,5,0,0,0,7,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,6,0,0,0,5,0,0,0,5,0,0,15,0,0,0,0,2,0,0
2022-05-29T08,132,2,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,25,0,0,1,14,1,0,0,0,1,1,4,3,0,0,0,9,0,0,2,0,2,0,1,0,0,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,9,0,0,0,1,0,1,0,6,0,0,17,0,0,0,0,5,0,0
2022-05-29T09,133,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,16,0,1,0,18,0,1,0,0,4,0,6,5,0,0,0,7,0,0,1,0,0,0,1,0,0,4,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,3,0,0,3,8,0,0,0,1,0,2,0,7,0,0,16,0,0,0,0,2,0,0
2022-05-29T10,132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,19,0,0,0,0,2,0,4,3,0,0,0,8,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,0,5,0,1,0,8,0,0,17,0,0,0,0,1,0,0
2022-05-29T11,120,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,19,1,0,0,0,2,0,2,3,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,3,1,0,2,6,0,0,0,8,0,3,0,12,0,1,9,0,0,0,0,0,0,0
2022-05-29T12,145,4,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,1,13,1,0,0,0,0,0,7,6,0,0,0,7,0,0,1,0,0,0,0,0,0,2,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,3,5,0,0,0,9,0,1,0,6,0,1,30,0,0,0,0,2,0,0
2022-05-29T13,189,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,9,0,0,0,22,0,0,0,0,3,0,8,15,0,0,0,13,0,0,1,1,0,0,0,0,0,8,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,6,0,0,7,5,0,0,0,7,0,2,0,15,0,0,26,0,0,0,0,3,0,0
2022-05-29T14,209,4,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,4,1,0,14,0,0,0,24,0,0,0,0,1,0,6,13,0,0,0,22,0,0,0,0,1,0,0,0,0,15,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,3,0,0,0,1,0,0,2,0,4,0,0,12,5,0,0,0,11,0,1,0,19,0,0,16,0,0,0,0,0,0,0
2022-05-29T15,179,4,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,5,2,0,11,0,0,0,25,0,0,0,0,1,0,9,7,0,0,0,15,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,5,5,0,0,0,9,0,2,0,19,0,0,13,0,0,0,0,2,0,0
2022-05-29T16,188,2,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,10,0,0,0,32,0,0,0,0,4,0,10,11,0,0,0,9,0,0,3,0,0,0,1,0,0,11,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,5,0,0,8,6,0,0,0,8,0,1,0,13,0,0,18,0,0,0,0,1,0,0
2022-05-29T17,214,2,0,0,0,3,0,0,1,0,0,2,0,0,0,3,0,0,6,2,0,34,0,0,0,44,0,0,0,0,7,0,4,13,0,0,0,3,0,0,1,0,0,0,1,0,0,15,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,7,5,0,0,0,6,0,1,0,5,0,0,20,0,0,0,0,1,0,0
2022-05-29T18,199,3,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,8,2,0,8,0,0,0,41,1,0,0,0,4,0,8,15,0,0,0,5,0,0,0,0,0,0,1,0,0,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,2,5,0,0,0,6,0,2,0,4,0,0,26,0,0,0,0,0,0,0
2022-05-29T19,199,2,0,0,1,4,0,0,0,0,0,1,0,0,0,1,0,0,3,4,1,8,0,0,0,43,0,0,0,0,6,0,5,13,0,0,0,3,0,0,1,0,1,0,0,0,0,24,0,2,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,16,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,0,0,3,5,0,0,0,4,0,2,0,2,0,1,24,0,0,0,0,1,0,0
2022-05-29T20,172,2,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,10,0,0,0,34,0,0,0,0,1,0,10,11,0,0,0,4,0,0,0,0,1,0,1,0,0,22,0,5,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,1,0,3,5,0,0,0,3,0,0,0,1,0,1,15,0,0,0,0,1,0,0
2022-05-29T21,144,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,16,0,0,0,1,0,0,6,14,0,0,0,1,0,0,0,0,0,0,2,0,0,22,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,5,0,0,0,3,0,3,0,0,0,0,21,0,0,0,0,0,1,0
2022-05-29T22,114,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,8,0,0,0,12,0,0,0,0,2,0,8,10,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,5,6,0,0,0,1,0,1,0,2,0,0,18,0,0,0,0,0,1,0
2022-05-29T23,107,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2,0,9,0,0,0,10,0,0,0,0,2,0,4,7,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,2,5,0,0,0,0,0,0,0,0,0,0,20,1,1,0,0,1,0,0
2022-05-30T00,122,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,30,0,0,0,5,0,0,0,0,0,0,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,3,1,0,2,5,0,0,0,0,0,0,0,2,0,0,28,0,1,0,1,0,0,0
2022-05-30T01,94,2,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,9,0,0,9,0,0,0,4,0,0,0,0,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,5,0,0,0,0,0,0,0,5,0,0,30,0,0,0,0,0,0,0
2022-05-30T02,119,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,13,0,0,11,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,2,7,0,0,0,1,0,0,0,13,0,0,43,0,0,0,0,0,0,0
