bucket,total,--,AE,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CF,CH,CI,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LK,LT,LU,LV,MA,MK,MM,MO,MQ,MU,MX,MY,NA,NG,NL,NO,NP,NZ,OM,PA,PH,PK,PL,PT,PY,QA,RO,RU,RW,SE,SG,SI,SK,SV,SY,TH,TN,TR,TT,TW,TZ,UA,US,UY,VE,VN,ZA,ZM,ZW
2022-06-12T00,116,3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,19,0,0,0,0,7,0,0,0,0,0,1,0,2,8,0,0,0,3,0,0,0,0,1,0,1,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,5,0,0,0,0,0,0,0,0,1,0,0,43,0,0,1,0,0,0
2022-06-12T01,113,2,0,0,2,0,1,0,0,0,0,0,2,0,7,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0,0,1,6,0,0,0,4,0,0,0,2,1,0,0,0,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,0,1,0,0,35,0,0,1,0,0,0
2022-06-12T02,105,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,17,0,1,0,0,3,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,0,2,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,6,0,0,0,0,1,0,0,1,3,0,0,34,0,0,2,0,0,0
2022-06-12T03,99,2,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,11,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,5,0,0,0,0,1,0,0,0,5,0,0,28,0,0,1,0,0,0
2022-06-12T04,107,1,0,0,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,15,0,0,0,0,3,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,6,0,0,0,0,2,0,0,0,4,0,0,46,0,0,0,0,0,0
2022-06-12T05,126,2,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,41,0,0,0,0,4,0,0,0,0,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,3,0,2,6,0,0,0,0,4,0,0,0,5,0,0,22,0,0,1,0,0,0
2022-06-12T06,121,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,25,0,0,0,0,4,1,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,1,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,5,0,0,0,0,1,0,0,0,7,0,0,43,0,0,2,0,0,0
2022-06-12T07,111,2,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,1,0,2,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,4,0,2,6,0,0,0,0,4,0,0,0,4,0,0,28,0,0,0,0,0,0
2022-06-12T08,165,2,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,40,0,0,0,0,11,0,0,0,0,0,2,0,4,4,0,0,0,3,0,0,0,1,0,0,2,0,2,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,1,0,0,0,3,0,2,5,0,0,0,0,5,0,0,0,6,0,0,54,0,0,0,0,0,0
2022-06-12T09,162,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,11,0,0,0,0,0,2,0,4,5,0,0,0,6,0,0,0,1,0,0,1,0,7,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,5,0,2,0,0,0,0,3,0,2,6,0,0,0,0,6,0,1,0,4,0,0,52,0,0,0,0,0,0
2022-06-12T10,141,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,15,0,0,0,0,20,1,0,0,0,0,2,0,4,5,0,0,0,7,0,0,0,1,1,0,2,0,4,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,6,0,1,0,0,0,1,3,1,3,5,0,0,0,0,4,0,0,0,6,0,0,23,0,0,0,1,0,0
2022-06-12T11,138,1,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,1,0,19,0,0,0,0,16,0,0,0,0,0,2,0,3,8,0,0,0,4,0,0,0,0,0,0,0,1,1,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,2,0,2,1,0,0,0,4,1,2,6,0,0,0,0,5,0,2,0,2,0,1,16,0,0,5,0,0,0
