bucket,total,--,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CY,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GR,GY,HK,HU,ID,IE,IL,IN,IR,IT,JM,JP,KR,KZ,LA,LT,MK,MO,MQ,MX,MY,NL,NO,NZ,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SE,SG,SK,SY,TH,TR,TW,UA,US,UY,VN,ZA,ZW
2022-06-19T00,90,1,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,0,7,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,4,0,2,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,1,5,1,0,0,0,3,0,25,0,0,0,0
2022-06-19T01,96,1,1,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,11,0,0,6,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,1,6,0,0,2,0,4,1,37,1,0,0,0
2022-06-19T02,124,1,0,0,2,0,0,0,0,0,0,0,1,0,9,0,0,0,15,0,0,3,0,0,0,0,0,1,0,0,1,4,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,4,0,1,5,0,0,2,0,4,1,57,0,0,0,0
2022-06-19T03,99,2,0,0,2,0,0,0,0,0,0,0,2,0,7,0,0,0,13,1,0,2,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,3,0,1,6,0,0,1,0,5,0,37,0,0,0,0
2022-06-19T04,96,2,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,13,1,0,2,0,0,0,0,0,1,0,0,1,2,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,3,0,1,7,0,0,2,0,5,0,32,0,0,0,0
2022-06-19T05,105,1,0,0,6,0,0,0,0,0,0,0,1,0,6,0,0,0,16,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,5,0,1,7,0,0,1,0,7,0,34,0,1,0,0
2022-06-19T06,110,1,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,5,0,0,0,0,0,1,0,0,3,4,0,0,2,0,0,0,0,2,0,1,0,1,2,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,6,0,2,5,0,0,2,0,13,2,23,0,2,0,0
2022-06-19T07,95,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,11,0,0,7,1,0,0,0,0,1,0,0,3,3,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,4,0,1,6,1,0,1,0,3,1,28,0,1,0,0
2022-06-19T08,117,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,15,0,0,14,0,0,0,0,0,2,0,0,2,5,0,0,7,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,6,0,2,7,0,0,1,0,7,1,31,0,1,0,0
2022-06-19T09,128,1,0,1,3,0,0,0,0,2,0,0,1,0,1,1,0,1,14,0,0,11,0,0,0,0,0,3,0,0,6,4,0,0,4,0,1,2,0,1,0,4,0,1,2,0,0,0,0,0,0,1,0,4,0,2,2,0,0,1,2,0,0,0,0,5,0,1,10,1,0,3,1,6,0,24,0,1,0,0
2022-06-19T10,112,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,15,0,1,15,0,0,0,0,0,2,0,0,7,6,0,0,4,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,1,0,7,0,0,2,0,0,1,0,0,0,0,0,3,0,3,5,0,0,2,0,7,0,19,0,1,0,0
2022-06-19T11,120,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,12,0,0,0,0,0,2,0,0,4,8,0,0,3,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,7,0,0,2,0,1,0,0,1,0,0,0,3,0,4,6,0,0,1,2,16,0,24,0,0,0,0
2022-06-19T12,148,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,29,1,0,0,0,0,1,0,0,7,4,0,0,6,0,1,0,0,0,0,3,1,1,3,0,0,0,0,0,0,1,1,5,0,0,2,0,1,0,1,1,0,0,0,6,0,1,8,0,0,6,1,18,1,18,0,0,0,1
2022-06-19T13,145,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,9,0,0,18,0,0,0,0,0,2,0,0,8,8,0,1,6,0,1,0,0,0,0,6,0,5,3,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,3,1,2,0,2,10,0,0,5,3,21,0,17,0,0,0,0
2022-06-19T14,165,2,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,14,0,0,22,0,0,0,1,0,3,0,0,8,8,0,0,9,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,2,8,0,0,2,0,0,0,1,0,0,0,0,4,0,1,12,1,0,8,1,13,0,25,0,3,0,0
2022-06-19T15,171,3,0,2,0,0,0,0,0,1,0,0,1,0,3,1,0,0,19,1,0,22,0,0,0,0,0,3,0,0,6,7,1,0,6,1,0,0,0,0,0,15,0,2,1,1,0,0,0,0,0,1,2,6,0,1,2,1,2,0,2,0,0,0,0,3,1,2,7,0,0,7,0,9,0,28,0,1,0,0
2022-06-19T16,196,3,0,3,1,0,0,0,0,1,0,0,1,0,6,1,0,0,7,1,0,37,0,0,0,0,0,8,0,0,5,10,0,0,7,1,0,0,0,1,0,17,0,0,0,1,0,0,2,0,0,1,1,5,1,0,2,0,0,0,1,0,0,0,0,4,1,2,6,0,0,4,1,11,0,43,0,0,0,0
