bucket,total,--,AE,AR,AT,AU,BE,BG,BJ,BM,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JM,JP,KE,KR,KZ,LA,LT,LU,LV,MA,MK,MN,MW,MX,MY,NA,NG,NI,NL,NO,NP,NZ,OM,PE,PF,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SE,SG,SI,SK,SY,TH,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA
2022-08-14T00,93,1,0,1,0,1,0,0,0,0,0,1,0,0,9,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,1,0,34,0,0,1,1
2022-08-14T01,93,1,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,14,0,0,0,8,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,0,5,0,0,28,0,0,0,0
2022-08-14T02,74,1,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,5,0,0,0,1,0,0,2,0,0,26,1,0,2,1
2022-08-14T03,111,2,0,1,0,3,0,0,0,0,0,1,0,0,5,1,0,0,0,13,0,0,0,5,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,1,1,0,0,5,0,0,47,0,0,2,1
2022-08-14T04,90,1,0,0,0,2,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,9,0,0,0,1,0,0,3,0,0,32,0,0,2,1
2022-08-14T05,78,3,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,0,1,2,0,0,5,0,0,22,1,0,0,1
2022-08-14T06,82,4,0,1,0,4,1,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,3,0,1,3,0,0,28,1,0,0,0
2022-08-14T07,78,2,0,1,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,1,0,2,2,0,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,2,0,0,8,1,0,17,0,0,0,1
2022-08-14T08,94,2,0,1,0,2,0,1,0,0,0,1,0,0,2,1,0,0,0,5,0,0,0,18,0,0,0,0,0,0,1,0,3,4,0,1,0,5,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,3,0,0,6,0,0,0,2,0,0,1,0,0,20,0,0,1,0
2022-08-14T09,93,3,0,0,0,1,0,0,0,0,0,2,0,0,3,1,0,0,0,6,0,0,0,16,0,0,0,0,0,0,1,0,5,3,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,8,0,0,0,4,0,0,3,0,0,15,0,0,0,1
2022-08-14T10,90,2,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,11,0,0,0,0,0,0,2,0,5,3,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,6,0,0,0,10,0,0,2,0,0,14,0,0,0,0
2022-08-14T11,104,2,0,1,0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,3,0,6,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,8,0,0,0,10,0,1,6,0,0,20,0,0,0,1
2022-08-14T12,138,2,0,2,0,2,0,0,0,0,0,2,0,0,3,3,0,0,0,9,0,1,0,18,0,0,0,1,0,0,5,0,8,4,0,0,0,7,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,3,0,0,7,0,0,0,6,0,2,10,0,0,23,0,0,0,0
2022-08-14T13,134,3,0,0,0,1,1,1,0,0,0,1,0,0,5,2,0,0,0,3,0,1,0,22,0,0,0,0,0,0,2,0,8,5,0,0,0,12,0,0,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,1,7,0,0,0,10,0,2,5,0,0,16,0,0,1,1
2022-08-14T14,134,3,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,7,0,0,0,17,0,0,0,1,0,0,3,0,6,7,0,0,0,14,0,0,0,1,0,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,6,0,0,0,12,0,1,2,0,0,22,0,0,1,0
2022-08-14T15,152,2,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,20,0,0,0,17,0,0,0,0,0,0,2,0,13,6,0,0,0,7,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,1,8,0,0,0,7,0,0,5,0,0,24,0,0,0,1
2022-08-14T16,158,2,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,18,0,0,0,22,0,0,0,1,0,2,2,0,17,7,0,0,0,4,0,0,1,0,0,0,1,0,13,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,7,0,0,0,8,1,0,4,0,0,27,0,0,1,0
2022-08-14T17,168,2,0,1,2,0,0,1,0,0,0,3,0,0,3,0,0,0,0,20,0,0,2,32,0,0,0,1,0,0,3,1,9,14,0,0,0,3,0,0,0,0,1,0,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,1,5,0,0,0,11,0,1,2,0,0,20,0,0,1,1
2022-08-14T18,161,2,0,1,0,0,1,0,0,0,0,1,0,0,6,3,0,0,0,19,0,0,1,19,0,0,0,0,0,0,6,0,5,10,0,1,0,1,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,2,0,1,5,2,0,0,2,0,1,4,0,0,32,0,0,1,2
2022-08-14T19,206,3,0,3,0,15,3,0,0,0,0,2,0,0,3,4,0,0,0,20,0,0,0,27,0,0,0,0,0,0,3,0,9,11,0,1,0,0,1,0,0,1,0,1,1,0,10,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,0,0,0,2,0,1,1,0,0,52,0,0,0,0
2022-08-14T20,167,2,0,1,0,9,1,0,0,0,0,0,0,0,3,5,1,0,0,26,0,0,2,28,0,0,0,0,0,2,4,0,6,8,0,0,0,2,0,0,0,0,0,1,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,7,1,0,0,2,0,1,1,0,0,23,0,0,0,1
2022-08-14T21,145,2,0,1,0,0,1,0,0,1,1,1,0,0,4,3,1,0,0,18,0,0,0,26,0,0,0,0,0,0,1,0,8,7,0,1,0,1,0,0,0,0,1,1,1,0,9,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,8,1,0,0,0,0,2,1,0,0,22,0,0,0,0
2022-08-14T22,127,2,0,2,0,2,1,0,0,1,0,0,0,0,2,2,0,0,1,22,0,0,0,14,0,0,0,0,0,0,4,0,6,6,0,0,0,2,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,2,0,0,0,28,0,0,1,1
2022-08-14T23,100,2,0,4,0,14,0,0,0,0,0,1,0,0,8,1,0,1,1,7,0,0,0,7,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,24,0,0,1,0
2022-08-15T00,107,3,0,1,0,2,0,0,0,0,0,3,0,0,10,0,0,1,0,4,1,0,0,6,0,0,0,0,0,0,2,0,3,4,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,6,0,0,0,0,0,0,1,1,0,42,0,0,2,1
2022-08-15T01,127,3,0,3,0,5,0,0,0,0,0,1,0,0,8,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,1,9,0,0,0,0,0,0,1,0,0,64,0,0,0,0
2022-08-15T02,104,4,0,3,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,1,1,1,7,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,1,1,0,0,0,0,0,37,0,0,0,1
2022-08-15T03,127,3,0,1,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,13,7,0,0,0,1,0,0,0,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,0,0,0,1,0,0,0,0,0,48,0,0,0,1
2022-08-15T04,91,3,0,1,0,3,0,0,0,0,0,1,0,0,3,1,0,0,0,12,0,0,0,6,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2,1,0,30,0,0,1,0
