bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BM,BO,BR,BY,CA,CH,CL,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LT,LU,MA,MD,MK,MM,MO,MX,MY,NA,NG,NL,NO,NZ,PE,PG,PH,PK,PL,PS,PT,RO,RS,RU,RW,SA,SE,SG,SK,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZW
2022-08-21T00,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,6,0,0,0,0,1,0,0,34,0,0,0,0,0,0
2022-08-21T01,82,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,7,0,0,5,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,1,0,0,1,0,0,29,0,0,0,0,0,0
2022-08-21T02,78,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,5,0,0,0,0,0,5,1,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,3,0,0,2,0,1,29,0,0,0,0,0,0
2022-08-21T03,85,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,1,0,0,3,0,0,35,0,0,0,1,0,0
2022-08-21T04,95,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,9,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,2,0,0,39,0,0,0,0,0,0
2022-08-21T05,73,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,5,1,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,6,0,3,0,0,4,0,1,21,0,0,0,0,0,1
2022-08-21T06,98,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,6,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,5,3,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,1,0,0,7,0,0,34,0,0,1,1,0,0
2022-08-21T07,82,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,7,0,1,0,0,6,0,0,25,0,0,1,1,0,0
2022-08-21T08,90,1,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0,1,0,4,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,3,2,1,0,0,5,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,9,0,4,0,0,3,0,0,21,0,0,0,0,0,0
2022-08-21T09,130,2,0,0,1,1,1,0,0,1,1,0,0,0,2,0,0,1,1,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,9,9,1,0,0,4,0,0,1,0,0,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,7,0,7,0,1,3,0,0,32,0,0,0,1,0,0
2022-08-21T10,97,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,4,0,0,0,5,0,0,0,1,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,3,0,0,1,6,0,2,0,2,6,0,0,19,0,0,0,0,0,0
2022-08-21T11,132,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,20,0,0,0,0,0,0,1,0,0,6,6,0,0,0,2,0,0,2,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,6,0,5,0,1,9,0,1,42,0,0,0,0,0,0
2022-08-21T12,102,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1,3,2,0,0,0,9,0,0,1,0,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,11,0,5,0,1,5,0,0,14,0,0,0,0,0,0
2022-08-21T13,126,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,13,1,0,0,0,0,0,1,0,1,6,6,0,0,0,8,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,1,0,0,0,0,4,0,0,1,9,0,11,0,1,9,0,0,18,0,0,0,1,0,0
2022-08-21T14,172,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,1,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,11,9,0,0,0,31,0,0,2,0,0,1,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,1,0,1,1,0,4,0,0,0,7,0,13,0,0,10,0,0,24,0,0,0,0,0,0
2022-08-21T15,139,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,1,3,0,0,0,0,0,18,1,0,0,0,0,1,0,0,1,7,12,0,0,0,11,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,1,0,0,0,0,3,0,0,2,8,0,9,0,1,11,0,0,20,0,0,0,0,0,0
2022-08-21T16,163,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,1,4,0,0,0,0,0,27,1,0,0,0,0,1,1,0,1,11,12,0,0,0,2,0,0,0,0,0,1,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,1,0,4,0,0,1,10,0,8,0,1,5,0,0,42,0,0,0,1,0,0
2022-08-21T17,131,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,2,0,0,0,0,0,24,0,0,0,0,0,0,3,0,1,2,8,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,2,0,0,7,0,3,0,0,1,5,0,4,0,2,3,0,1,30,0,0,0,0,0,0
2022-08-21T18,151,3,0,0,1,0,0,0,0,0,2,0,0,0,2,0,5,1,0,9,0,0,0,0,0,34,1,0,0,0,0,0,5,0,2,6,9,0,0,0,3,0,1,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,1,0,0,3,0,3,0,0,4,6,0,2,0,1,2,0,0,25,0,0,0,0,0,0
2022-08-21T19,131,3,0,0,1,0,0,0,0,0,2,0,0,0,1,0,5,0,0,4,0,0,0,0,0,23,1,0,0,0,0,0,2,0,0,11,5,0,0,0,0,0,1,0,0,0,2,0,7,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,2,0,0,0,1,0,2,0,0,3,0,3,0,0,3,5,0,2,0,3,1,0,0,22,0,0,0,0,0,0
