bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,KZ,LA,LT,LU,MA,MD,MO,MW,MX,MY,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PT,RO,RS,RU,RW,SA,SE,SG,SK,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-09-04T00,99,4,0,0,0,0,2,0,0,1,0,0,0,0,10,0,0,17,0,0,6,0,0,0,0,0,3,0,1,3,4,0,0,1,2,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,3,0,0,0,22,0,0,0,1,0,0,0
2022-09-04T01,84,2,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,6,0,0,6,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,3,0,0,0,37,1,0,0,0,0,0,0
2022-09-04T02,77,5,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,4,0,0,5,0,0,0,0,0,3,0,1,3,4,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,20,1,0,0,0,0,0,0
2022-09-04T03,98,2,0,1,1,0,2,0,0,0,0,0,1,0,5,0,0,7,0,0,6,1,0,1,0,0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,2,0,0,0,41,0,0,0,0,0,0,0
2022-09-04T04,94,1,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,17,0,0,3,0,0,0,0,0,1,0,1,4,3,0,0,0,2,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,4,0,0,0,25,0,0,0,0,0,0,0
2022-09-04T05,85,3,0,0,0,0,16,0,0,0,1,0,1,0,4,1,0,4,0,0,5,0,1,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,3,0,0,1,0,0,0,24,0,0,0,0,0,0,0
2022-09-04T06,65,2,0,0,1,0,4,0,0,0,1,0,2,0,2,0,0,2,0,0,6,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,2,0,0,0,18,0,0,0,1,0,0,0
2022-09-04T07,75,2,1,0,3,0,3,0,0,0,0,0,1,0,0,0,0,5,1,0,7,0,0,0,0,0,2,0,0,3,4,0,0,0,1,0,0,2,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,5,0,1,0,1,5,0,0,0,12,0,0,0,2,0,0,0
2022-09-04T08,93,3,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,5,1,0,14,0,0,0,0,0,1,0,1,3,5,0,0,0,4,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,7,0,7,0,2,4,0,0,0,15,0,0,0,0,0,0,0
2022-09-04T09,112,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,10,0,0,18,0,0,0,0,0,4,0,0,4,9,0,0,0,1,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,6,0,1,0,0,4,0,0,0,32,0,0,0,1,0,1,0
2022-09-04T10,119,5,0,0,1,1,3,0,0,1,0,0,0,0,2,0,0,19,0,0,19,0,0,0,0,0,5,0,3,4,8,0,0,0,1,0,2,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,6,0,3,0,1,5,0,0,0,9,0,0,0,0,0,1,0
2022-09-04T11,101,4,0,0,0,0,2,0,0,0,0,0,1,0,2,1,0,8,1,0,16,1,0,0,0,0,1,0,2,5,8,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9,0,4,1,0,7,0,0,0,8,0,0,0,1,0,0,1
2022-09-04T12,114,2,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,20,0,0,14,0,0,0,0,0,1,0,1,2,5,0,0,0,2,0,1,1,0,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,9,0,4,1,3,4,0,1,0,16,0,0,0,1,0,0,0
