bucket,total,--,AE,AM,AO,AR,AT,AU,BA,BB,BD,BE,BG,BJ,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LA,LB,LR,LT,LU,LV,LY,MA,MD,MK,MM,MN,MO,MX,MY,MZ,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SE,SG,SK,SX,SY,TH,TN,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA,ZW
2022-09-18T00,101,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,8,1,0,0,0,0,0,2,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,5,0,0,0,2,0,0,0,0,0,0,20,0,0,0,1,0
2022-09-18T01,106,3,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,13,0,0,0,4,0,0,0,10,1,0,0,0,0,0,2,1,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,4,0,0,6,0,0,0,2,0,1,0,0,0,0,28,0,0,4,0,0
2022-09-18T02,101,5,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,5,1,0,0,8,0,0,0,5,1,0,0,0,0,0,2,1,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,6,0,0,0,1,0,0,0,0,0,0,38,0,0,0,0,0
2022-09-18T03,112,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,11,0,0,0,4,0,0,1,4,3,0,0,1,0,0,2,0,4,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,0,0,0,2,0,0,3,0,0,0,37,0,0,0,0,0
2022-09-18T04,117,2,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,7,0,0,0,4,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,6,0,0,0,4,0,0,5,0,0,0,56,0,0,0,0,0
2022-09-18T05,87,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,4,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,1,0,0,0,0,36,0,0,1,1,0
2022-09-18T06,82,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,1,0,0,3,1,0,0,0,0,0,1,1,6,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,7,0,0,0,2,0,1,6,0,0,0,19,1,0,2,0,0
2022-09-18T07,86,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,9,1,0,0,0,0,0,1,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,7,0,0,0,3,0,0,1,0,0,0,18,0,0,2,0,0
2022-09-18T08,112,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,13,1,0,0,0,0,0,1,1,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,1,5,0,1,6,0,0,0,3,0,0,3,0,1,0,17,0,0,0,1,0
2022-09-18T09,131,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,18,1,0,0,0,0,0,3,0,8,5,0,0,0,0,0,5,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,6,0,0,0,9,0,0,1,0,0,0,44,0,0,0,0,0
