bucket,total,--,AR,AT,AU,BE,BG,BR,BW,BY,CA,CL,CN,CR,DE,DK,EE,ES,FI,FR,GB,GT,HK,ID,IN,IT,JP,KR,MA,MK,MO,MY,NL,NO,NZ,PE,PH,PL,PT,RO,RU,RW,SE,SG,SK,TH,TN,TR,TW,UA,US,VN,ZA
2022-09-25T00,113,4,0,0,3,0,0,0,0,0,7,0,3,0,9,0,0,1,2,2,3,0,2,1,0,3,1,0,0,0,1,2,5,0,0,1,0,1,1,0,1,0,1,7,0,0,1,0,1,0,49,1,0
2022-09-25T01,91,2,0,0,1,1,0,0,0,0,10,0,3,0,6,0,0,0,1,4,2,0,1,2,2,1,0,1,0,0,1,0,5,0,0,1,0,1,0,0,2,0,1,5,0,1,0,0,2,1,32,0,2
2022-09-25T02,77,1,0,0,0,1,0,1,0,0,7,0,5,0,5,0,0,0,0,5,3,0,2,0,1,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,3,0,1,6,0,0,0,0,2,0,27,0,0
2022-09-25T03,110,1,3,0,1,0,0,2,0,0,6,0,8,0,8,0,0,1,1,4,1,1,2,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1,7,0,0,0,0,1,0,55,1,0
2022-09-25T04,65,1,0,0,0,0,0,0,0,0,2,0,5,0,5,0,0,1,0,2,3,0,1,0,1,1,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,7,0,0,0,1,4,0,19,3,0
2022-09-25T05,74,2,0,0,0,0,0,0,0,0,4,0,4,0,6,1,0,2,1,3,4,0,3,0,2,0,4,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,3,0,21,0,0
2022-09-25T06,75,1,1,0,2,0,1,1,0,0,2,0,5,0,5,0,0,1,0,3,2,0,1,0,1,0,1,0,0,0,0,3,2,0,2,0,0,0,0,0,2,0,1,6,1,4,0,0,8,1,18,0,0
2022-09-25T07,93,2,0,0,0,1,0,1,0,0,3,0,3,0,10,0,0,1,1,3,1,0,4,0,1,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,2,6,0,4,0,0,4,1,37,0,0
2022-09-25T08,102,2,1,0,0,1,0,1,0,2,0,0,3,0,13,0,1,1,0,8,3,0,2,0,0,6,1,1,0,0,0,0,7,0,0,0,1,1,0,0,3,1,5,6,0,0,0,1,6,1,23,0,1
2022-09-25T09,108,1,0,0,0,0,0,0,0,0,0,0,4,1,15,0,1,6,1,8,9,0,2,0,1,4,1,0,0,1,0,0,8,0,0,0,1,1,0,0,1,0,1,5,0,2,0,0,3,0,31,0,0
2022-09-25T10,123,2,0,1,0,1,0,0,0,0,0,0,5,0,15,0,2,3,0,7,6,0,1,0,0,4,1,1,0,1,0,0,8,0,0,0,1,1,0,1,3,0,1,6,0,3,0,1,3,0,44,1,0
2022-09-25T11,112,2,0,1,1,0,0,0,1,0,1,1,5,0,21,0,1,3,1,5,7,0,2,0,0,0,3,1,1,0,0,0,5,1,0,0,1,2,0,0,0,0,1,5,0,4,0,1,5,0,29,1,0
2022-09-25T12,73,1,0,2,0,0,0,0,1,0,0,0,5,0,14,0,0,1,0,6,6,0,5,0,0,2,1,0,0,0,0,0,7,1,0,0,1,0,1,0,1,0,1,5,0,4,0,0,2,0,5,1,0
