bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KH,KR,KZ,LA,LR,LT,LV,MA,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SY,TH,TN,TR,TT,TW,UA,US,UY,UZ,VN,ZA,ZM,ZW
2022-10-02T00,98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,4,3,0,0,0,8,1,0,0,0,4,1,3,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,1,0,1,0,0,1,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
2022-10-02T01,124,3,0,0,2,0,1,0,0,0,0,0,2,0,0,9,0,0,0,5,0,0,0,0,5,0,0,0,0,2,0,1,14,0,0,3,0,0,0,9,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,41,0,0,1,0,0,0
2022-10-02T02,123,1,0,0,0,0,0,0,0,0,0,0,3,0,0,17,1,0,0,5,0,0,0,0,5,0,0,0,0,2,1,4,5,0,0,1,0,0,0,5,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,6,0,0,0,1,0,0,0,0,0,48,0,0,0,1,0,0
2022-10-02T03,110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,6,0,0,0,0,4,0,0,0,0,1,0,1,3,0,0,1,0,0,0,1,0,6,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,0,6,0,0,0,1,1,0,0,0,0,53,0,0,0,0,0,0
2022-10-02T04,122,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,5,0,0,0,1,2,1,1,2,0,0,2,0,0,0,0,0,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,9,0,0,0,2,0,1,0,1,1,60,0,0,1,1,0,1
2022-10-02T05,108,1,0,0,0,0,2,0,0,0,0,0,0,0,0,9,2,0,0,8,0,0,0,0,6,0,0,0,0,1,0,3,2,0,0,2,0,0,1,0,0,6,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,6,0,0,0,2,0,0,0,2,0,38,0,0,0,0,0,0
2022-10-02T06,123,2,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,0,0,8,0,0,0,0,7,0,0,0,0,1,1,8,8,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,2,0,0,1,2,7,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0
2022-10-02T07,133,1,0,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,7,0,0,0,0,1,0,6,3,0,0,3,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,2,0,1,0,1,0,53,0,0,0,0,0,0
2022-10-02T08,141,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,17,1,0,0,0,1,1,9,2,0,0,3,0,0,0,0,0,1,0,0,2,1,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,2,6,0,0,0,2,0,0,0,0,0,63,0,0,0,0,0,0
2022-10-02T09,115,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,18,0,0,0,0,2,0,6,4,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,3,0,1,0,0,0,0,4,0,0,0,2,7,0,0,0,2,0,0,0,2,0,41,0,0,0,0,0,0
