bucket,total,--,AE,AO,AR,AT,AU,BE,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DO,EC,EE,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KM,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PL,PR,PS,PT,RO,RS,RU,RW,SC,SE,SG,SI,SX,SY,TH,TR,TW,UA,US,UZ,VN,ZA
2022-10-09T00,110,2,0,0,1,0,0,0,1,0,6,0,0,17,0,0,9,0,0,0,0,1,0,2,3,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,6,0,0,0,0,0,5,0,41,0,0,0
2022-10-09T01,125,2,0,0,1,0,1,0,1,0,9,0,0,22,0,1,6,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,5,0,0,0,0,0,2,0,56,0,0,0
2022-10-09T02,127,2,0,0,1,0,1,0,2,0,5,0,0,18,0,1,4,0,0,0,0,1,0,3,2,0,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,6,0,0,0,1,0,5,0,55,0,0,0
2022-10-09T03,106,4,0,0,0,0,1,0,2,0,3,0,0,16,0,0,4,0,0,0,0,1,0,3,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,5,0,0,0,1,0,5,0,44,0,0,0
2022-10-09T04,89,3,1,0,0,0,1,0,1,0,4,0,0,8,0,0,5,0,0,0,0,1,0,3,3,0,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,5,0,0,2,8,0,0,0,0,1,2,0,29,0,0,0
2022-10-09T05,79,2,0,0,0,0,1,0,1,0,4,0,0,5,0,0,7,0,0,0,0,1,0,1,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,3,0,0,1,6,0,0,0,1,0,4,0,25,0,1,0
2022-10-09T06,78,2,0,0,0,0,2,0,1,0,2,0,0,2,0,0,7,0,0,0,0,1,1,5,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,6,0,0,0,2,0,1,0,29,0,1,0
2022-10-09T07,86,3,0,0,1,0,1,0,1,0,0,0,0,2,0,0,8,0,0,0,0,1,1,10,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,6,0,0,0,2,0,5,0,20,0,3,0
2022-10-09T08,115,4,0,0,0,1,1,1,1,1,0,1,0,8,0,0,20,0,0,0,0,1,0,4,3,0,8,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,5,0,0,2,6,1,0,0,3,0,1,0,25,1,2,0
2022-10-09T09,112,2,0,0,0,0,1,0,0,0,1,0,0,6,0,0,18,0,0,0,0,3,0,11,5,0,3,1,0,1,0,0,0,8,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,10,1,0,0,0,1,2,1,17,1,0,0
