bucket,total,--,AE,AF,AM,AO,AR,AT,AU,BA,BE,BG,BH,BN,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MO,MU,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RE,RO,RS,RU,RW,SE,SG,SI,SK,SN,TH,TN,TR,TW,UA,UG,US,UZ,VE,VI,VN,ZA,ZW
2022-10-30T00,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,1,0,0,0,0,8,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,6,0,0,0,0,0,0,2,0,0,30,0,0,0,0,0,0
2022-10-30T01,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,2,0,0,0,0,4,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,6,0,0,0,1,0,0,1,0,0,35,0,0,0,0,0,0
2022-10-30T02,120,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,2,0,3,1,0,0,0,4,1,0,0,0,2,0,1,2,1,0,2,0,0,6,0,1,10,0,4,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,9,0,0,0,0,0,0,3,0,0,40,0,0,0,0,0,0
2022-10-30T03,113,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,3,0,0,0,2,1,0,0,0,6,1,0,0,0,1,0,2,3,1,0,1,0,0,5,0,1,9,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,6,0,0,0,0,0,0,3,0,0,47,0,0,0,2,0,0
2022-10-30T04,107,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,17,1,0,0,0,3,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,4,0,0,46,0,0,0,0,0,0
2022-10-30T05,95,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,9,0,0,0,17,0,0,0,0,4,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,2,0,0,28,0,0,0,1,0,0
2022-10-30T06,123,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,6,1,0,0,0,3,0,3,3,0,0,1,0,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,3,0,0,8,0,0,46,0,0,0,0,0,0
2022-10-30T07,92,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,18,0,0,0,0,7,1,0,0,0,2,0,2,2,0,0,2,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,4,0,0,4,0,0,19,0,0,0,1,0,0
2022-10-30T08,112,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,9,1,0,0,1,2,0,0,2,0,0,5,0,0,1,0,1,0,0,4,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,4,0,0,6,0,0,26,0,0,0,0,0,0
2022-10-30T09,121,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,12,0,0,0,0,12,1,0,0,0,3,0,3,3,0,0,2,0,0,0,0,1,0,0,3,7,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,2,0,0,10,0,0,34,0,0,0,1,0,0
