bucket,total,--,AR,AT,AU,AZ,BE,BR,CA,CH,CL,CN,CO,CZ,DE,DK,ES,FR,GB,GR,HK,HU,ID,IE,IN,IR,IT,JO,JP,KH,KR,KZ,LK,LR,LU,MK,MY,NL,NO,NZ,OM,PA,PH,PK,PL,PR,PS,PT,RO,RU,RW,SA,SE,SG,SK,SN,TH,TR,TW,UA,US,UY,VE,VN,ZA
2022-11-13T00,146,2,0,0,18,0,0,1,8,1,0,1,0,0,24,0,4,5,8,0,1,1,0,0,1,0,11,0,3,0,2,0,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,8,1,0,0,1,0,0,32,0,0,0,0
2022-11-13T01,95,2,1,0,0,0,1,0,7,0,0,2,0,0,10,0,3,3,6,0,1,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,5,0,0,1,0,1,0,33,0,0,0,0
2022-11-13T02,102,2,1,0,0,0,0,1,13,0,0,3,0,0,6,0,1,0,5,0,2,0,0,0,2,0,2,0,1,0,3,0,0,0,0,0,3,5,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,6,0,0,1,0,1,0,37,0,0,0,1
2022-11-13T03,92,3,2,0,2,1,0,1,8,0,0,3,0,0,6,1,2,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,0,1,1,3,1,34,0,0,1,0
2022-11-13T04,97,4,1,0,0,1,0,0,11,0,0,5,0,0,5,0,2,2,4,0,2,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,7,0,0,1,0,3,0,35,0,0,0,0
2022-11-13T05,81,3,0,0,0,0,0,0,10,0,0,5,0,0,6,0,1,1,4,0,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,6,0,0,3,0,2,0,29,0,0,0,0
2022-11-13T06,62,2,2,0,0,0,0,1,6,0,0,4,0,0,5,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,3,0,20,0,0,0,0
2022-11-13T07,49,2,0,0,0,0,0,1,3,0,0,4,0,0,6,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,0,0,1,0,1,1,12,0,0,0,1
2022-11-13T08,65,4,1,0,0,0,0,0,1,0,0,2,0,0,12,0,2,0,4,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,1,0,0,1,0,0,1,2,0,0,1,6,0,0,1,0,0,0,15,0,1,1,0
2022-11-13T09,95,3,1,0,0,0,0,0,0,0,0,4,1,0,20,0,3,4,6,0,4,0,0,0,0,0,5,0,1,0,1,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,8,0,0,1,0,4,0,18,1,1,0,0
2022-11-13T10,115,3,1,0,1,0,0,0,0,4,0,3,1,1,25,0,2,10,4,0,3,0,1,0,1,1,9,0,1,0,1,1,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,5,0,1,1,3,1,0,19,0,0,1,0
2022-11-13T11,108,5,1,0,0,0,0,1,0,1,0,2,0,0,19,0,3,6,2,1,1,0,0,0,3,1,9,0,0,0,0,0,1,0,0,0,2,5,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,8,0,0,5,1,2,0,22,0,0,1,0
2022-11-13T12,87,3,0,1,0,0,0,1,0,1,1,3,0,0,16,0,3,6,5,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,7,0,0,1,1,0,0,20,0,0,1,1
2022-11-13T13,116,3,0,1,0,0,0,0,0,1,1,6,0,0,17,0,2,8,8,0,6,0,0,0,1,0,7,0,0,1,0,0,0,0,0,0,1,8,1,0,0,0,1,1,2,0,0,0,0,3,0,0,0,6,0,0,6,1,4,0,20,0,0,0,0
2022-11-13T14,133,3,0,2,0,0,2,3,1,2,0,2,0,0,20,0,2,6,9,0,4,0,0,0,2,0,13,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,8,0,0,9,2,3,0,23,0,0,1,0
2022-11-13T15,152,3,0,1,1,0,1,3,3,1,0,4,0,0,31,0,3,9,10,0,1,0,0,0,2,0,13,1,0,0,1,0,0,1,1,0,0,10,0,0,0,0,2,0,3,0,0,0,1,3,1,0,0,7,0,0,9,3,2,0,21,0,0,0,0
2022-11-13T16,187,2,0,3,0,0,0,0,6,0,0,15,1,0,37,0,5,15,18,0,0,0,0,0,1,0,22,1,1,0,1,0,0,0,1,0,0,14,0,0,0,0,0,0,3,0,0,3,1,2,0,0,1,5,0,0,6,3,1,0,18,0,0,1,0
2022-11-13T17,202,2,0,0,0,0,1,0,6,2,1,14,1,0,42,0,8,17,23,0,2,0,2,1,1,0,24,0,1,0,2,0,0,0,0,1,0,10,1,0,0,0,1,0,3,0,0,2,1,3,0,1,2,5,0,0,4,2,1,0,15,0,0,0,0
2022-11-13T18,161,1,0,2,0,0,2,1,6,3,1,12,1,0,33,0,4,13,14,0,1,0,1,0,1,0,14,0,0,0,1,0,0,0,0,0,0,6,1,1,0,0,1,0,1,0,0,0,1,3,1,1,4,5,0,0,1,3,1,1,19,0,0,0,0
