bucket,total,--,AE,AM,AR,AT,AU,AZ,BD,BE,BG,BH,BM,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KH,KM,KR,KZ,LT,LU,MA,MK,MM,MN,MO,MT,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SN,SR,TH,TN,TR,TW,TZ,UA,US,VE,VN,ZA,ZW
2022-11-20T00,121,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,14,0,0,11,0,0,0,5,0,3,3,0,0,1,0,0,0,0,0,1,0,8,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,6,0,0,0,0,2,0,0,1,0,0,37,0,0,0,0
2022-11-20T01,111,2,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,17,0,0,10,0,0,0,4,0,0,4,0,0,1,0,0,0,0,0,1,0,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,1,0,1,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,2,0,0,1,0,0,27,0,1,0,0
2022-11-20T02,111,3,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,1,0,21,0,0,6,0,0,0,2,0,2,2,0,0,1,1,0,0,0,0,1,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,2,1,0,1,0,0,33,0,0,0,0
2022-11-20T03,133,3,0,0,0,0,2,0,0,0,0,0,0,1,0,8,0,0,0,0,21,1,0,6,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,5,0,0,0,0,1,0,0,2,0,1,62,0,0,0,0
2022-11-20T04,96,1,0,0,0,0,1,0,0,0,0,0,0,2,0,5,0,0,0,0,19,1,0,6,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,37,0,0,0,0
2022-11-20T05,97,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,0,0,5,1,0,0,2,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,5,0,0,0,0,6,0,0,2,0,0,30,0,0,0,0
2022-11-20T06,101,1,0,0,2,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,21,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,4,0,0,2,0,0,30,0,0,0,0
2022-11-20T07,97,1,0,0,3,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,20,1,0,11,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,7,0,0,0,0,2,0,0,5,0,0,22,1,1,1,0
2022-11-20T08,96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,16,1,0,15,0,0,0,1,0,2,3,0,0,2,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,7,0,0,0,0,2,0,0,4,0,0,20,0,0,0,0
2022-11-20T09,144,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,0,14,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,8,0,0,4,0,0,51,0,1,1,0
