bucket,total,--,AE,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,GU,HK,HR,HU,ID,IE,IN,IR,IS,IT,JE,JP,KE,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MK,MM,MN,MO,MQ,MU,MX,MY,MZ,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,US,UZ,VE,VN,ZA,ZW
2022-12-11T00,128,3,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,3,1,0,1,0,15,0,0,0,0,13,0,0,0,0,0,1,0,0,5,11,0,0,0,0,0,2,0,0,2,0,0,0,0,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,36,0,0,0,1,0
2022-12-11T01,116,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,3,0,0,1,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,37,0,0,0,0,0
2022-12-11T02,92,3,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,6,0,1,0,0,0,0,0,0,28,0,0,0,0,1
2022-12-11T03,147,2,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,7,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,7,0,1,2,0,0,1,0,0,81,0,0,0,0,0
2022-12-11T04,145,2,0,0,1,0,1,0,0,0,1,0,7,0,1,0,0,5,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,25,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,1,1,0,0,1,0,0,74,0,0,0,0,1
2022-12-11T05,114,2,1,0,1,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,7,0,0,2,0,1,2,0,0,61,0,0,0,1,0
2022-12-11T06,76,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,31,0,0,0,0,0
2022-12-11T07,74,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,6,0,0,1,0,1,2,0,0,26,0,0,1,0,0
2022-12-11T08,95,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,3,0,0,0,0,8,0,0,4,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,6,0,0,2,0,0,1,0,1,26,0,0,1,0,0
2022-12-11T09,141,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,2,0,0,1,0,1,0,0,11,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,8,0,0,1,0,1,3,0,1,57,0,0,1,0,0
2022-12-11T10,157,3,0,1,1,0,0,0,0,0,0,0,7,0,1,0,0,3,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,2,0,1,6,7,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,9,0,0,1,0,1,3,0,0,56,0,0,0,0,0
2022-12-11T11,164,1,0,0,1,2,0,0,0,0,0,0,7,0,3,0,0,2,0,0,1,0,1,0,0,1,0,25,0,0,0,0,0,2,0,1,6,7,0,0,0,0,0,3,0,0,1,0,0,0,0,10,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,8,0,0,4,0,3,2,0,0,58,0,0,0,0,0
2022-12-11T12,151,2,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,1,0,20,0,0,0,1,0,1,0,1,5,7,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,1,0,0,1,0,2,0,0,0,1,0,3,0,1,9,0,0,1,0,2,3,0,0,53,0,0,1,0,0
2022-12-11T13,182,3,0,0,0,1,0,0,0,0,1,0,0,0,4,1,1,1,1,0,0,0,3,0,0,1,0,28,1,0,0,0,0,1,0,0,19,7,0,0,0,0,0,12,0,0,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,9,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,8,0,0,6,0,2,3,1,0,45,0,0,1,0,0
2022-12-11T14,149,1,0,0,0,1,0,0,0,0,1,0,0,0,5,1,1,2,0,0,1,1,3,0,0,0,0,26,2,0,0,0,0,1,0,0,17,5,0,0,0,0,0,2,0,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,12,0,0,2,0,0,1,0,2,0,1,0,2,0,0,0,0,5,0,0,3,0,4,4,1,0,25,0,0,2,0,0
2022-12-11T15,202,2,0,0,0,2,0,0,0,0,1,0,0,0,3,1,0,2,2,0,0,0,4,1,0,0,0,26,3,0,0,0,0,5,0,0,8,9,0,0,0,0,0,5,0,0,0,10,1,0,0,27,0,8,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,9,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,7,0,0,6,0,3,1,1,0,38,0,0,1,0,0
2022-12-11T16,196,1,3,0,0,0,0,0,0,0,1,0,0,0,2,1,0,8,1,0,1,0,0,1,0,0,2,34,2,0,0,0,0,3,0,1,14,18,0,0,0,0,0,3,1,0,0,0,0,0,0,26,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,0,0,0,0,0,1,0,2,0,0,0,2,0,3,0,3,6,0,0,10,0,1,1,1,0,22,0,0,0,0,0
2022-12-11T17,211,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,9,2,0,0,0,0,1,0,0,2,44,0,0,0,0,0,6,0,0,16,20,0,0,0,0,0,2,0,0,0,0,2,1,0,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,2,7,0,0,7,0,1,2,0,0,43,0,0,0,0,0
2022-12-11T18,239,2,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,1,45,0,0,0,0,0,8,0,0,10,16,0,0,0,0,0,3,0,0,0,0,2,0,0,17,0,13,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,9,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,5,6,0,0,6,0,2,2,0,0,65,0,0,1,1,0
2022-12-11T19,232,1,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,9,3,0,0,0,2,0,0,0,0,44,0,0,0,0,0,6,0,1,7,22,0,0,0,0,0,5,0,0,0,0,1,0,0,16,0,23,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,9,0,0,4,0,3,0,0,0,39,0,0,0,0,0
2022-12-11T20,248,2,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,10,3,0,0,0,3,0,0,0,2,45,0,0,0,0,0,3,0,0,10,17,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,6,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,17,2,0,0,0,0,1,0,1,0,1,0,0,0,3,0,1,8,0,0,1,0,1,0,0,0,74,0,0,0,1,0
2022-12-11T21,196,2,0,0,1,2,0,0,0,0,3,0,0,0,4,0,0,6,2,0,0,0,5,0,0,0,2,30,0,0,0,0,0,4,0,0,9,16,0,0,0,0,0,3,0,0,0,1,6,0,0,22,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,2,0,0,0,1,0,3,0,2,10,0,0,3,0,1,0,0,0,35,0,0,0,1,0
2022-12-11T22,188,2,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,11,3,0,1,0,13,0,0,0,2,24,0,0,0,0,0,1,0,1,7,14,0,0,0,0,0,2,0,0,0,0,2,0,1,18,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,1,0,1,0,4,0,4,0,0,0,1,7,0,0,1,0,0,0,0,0,42,0,0,0,1,0
2022-12-11T23,164,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,2,0,1,0,15,0,0,0,0,9,1,0,0,0,0,2,0,1,3,8,0,0,0,0,0,2,0,0,0,0,1,0,0,14,0,11,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,6,0,0,0,0,0,0,0,0,57,0,1,0,1,0
2022-12-12T00,145,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14,2,0,1,0,14,0,0,0,0,6,0,0,0,0,0,1,0,0,3,5,0,0,0,0,1,1,0,0,0,0,2,0,0,11,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,42,0,1,0,0,0
2022-12-12T01,124,2,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,13,1,0,3,0,15,0,0,0,0,5,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,4,0,1,0,0,3,0,0,3,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,10,0,0,0,0,0,2,0,1,28,0,1,0,0,0
2022-12-12T02,123,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,14,1,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,1,2,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,7,0,0,0,0,1,1,0,0,41,0,2,0,0,0
2022-12-12T03,135,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,1,0,13,0,0,0,0,3,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,7,0,0,1,0,0,0,0,0,63,0,1,2,0,0
2022-12-12T04,100,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,1,0,6,0,1,0,0,4,1,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,7,0,0,5,1,1,1,0,0,33,0,1,3,0,0
2022-12-12T05,93,3,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,8,0,0,1,0,3,1,0,0,0,6,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,7,0,0,0,1,1,0,0,0,34,0,0,2,0,0
2022-12-12T06,86,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,5,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,8,0,0,3,1,0,2,0,0,31,0,0,2,0,0
2022-12-12T07,90,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,4,0,1,0,0,8,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8,0,0,5,0,0,1,1,0,24,0,0,2,0,0
2022-12-12T08,67,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,1,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,1,0,16,0,0,1,0,0
2022-12-12T09,72,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0,1,0,3,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,7,0,0,0,0,0,0,1,0,13,0,0,1,0,0
2022-12-12T10,88,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,5,0,1,0,0,14,0,0,0,0,0,2,0,0,3,11,0,0,0,0,0,1,0,0,1,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,1,7,0,0,1,0,0,0,1,0,17,0,0,0,0,0
2022-12-12T11,96,3,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,5,0,0,0,0,12,0,0,0,0,0,1,0,0,4,7,0,0,0,0,0,3,0,0,1,0,2,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,7,0,0,2,0,0,4,1,0,20,0,0,0,0,0
2022-12-12T12,209,2,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,8,0,0,0,0,12,0,1,0,0,0,2,0,0,2,9,0,0,0,1,0,2,0,0,1,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,6,0,0,9,0,0,4,0,0,123,0,0,0,1,0
2022-12-12T13,99,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,6,0,1,0,0,15,0,1,0,0,0,1,0,0,4,8,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,1,6,0,0,7,0,1,2,0,0,13,0,0,0,0,0
2022-12-12T14,91,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,16,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,2,0,3,0,2,5,0,0,6,0,1,2,0,1,13,0,0,0,0,0
2022-12-12T15,228,3,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,2,0,0,0,3,0,0,0,0,18,1,1,0,0,0,2,0,2,4,11,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,1,2,0,0,1,0,1,0,2,0,0,6,0,0,7,0,0,2,0,0,136,0,0,0,0,0
2022-12-12T16,331,3,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,6,0,0,0,0,4,1,0,0,0,30,1,1,0,0,0,2,0,0,10,8,0,0,0,0,0,1,0,0,0,0,1,0,0,11,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,1,0,0,1,0,0,0,3,0,4,9,0,0,7,0,1,2,0,0,207,0,0,0,0,0
2022-12-12T17,186,3,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,4,1,0,0,0,2,0,1,0,0,41,0,0,0,0,0,5,0,0,11,11,0,0,0,0,0,4,0,0,0,0,1,1,0,19,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,1,1,0,0,1,0,0,0,4,0,4,13,0,0,6,0,3,2,0,0,27,0,0,0,0,0
2022-12-12T18,192,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,56,1,0,0,0,0,7,0,0,14,10,0,0,0,0,0,2,0,0,0,0,2,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,1,0,0,0,0,0,1,0,0,0,1,0,3,0,10,9,0,0,2,1,2,1,0,0,26,0,0,0,0,0
2022-12-12T19,196,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,8,1,0,0,0,1,0,0,0,0,52,0,0,0,0,0,5,0,0,8,21,0,1,0,0,0,3,0,0,0,1,4,1,0,14,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,8,0,0,1,1,5,1,0,0,21,0,0,0,0,0
2022-12-12T20,167,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,2,0,0,0,4,0,0,0,1,41,0,0,0,0,0,3,0,0,10,17,0,0,0,0,0,0,0,0,0,1,2,0,0,15,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,1,1,1,0,0,25,0,0,1,0,0
2022-12-12T21,164,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5,3,0,3,0,1,0,0,0,2,28,0,0,0,0,0,2,0,0,12,17,0,0,0,0,0,2,0,0,0,0,1,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,3,6,0,0,2,0,1,1,0,1,30,0,0,0,0,0
2022-12-12T22,162,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,2,0,1,0,2,1,0,0,1,23,0,0,0,0,0,1,0,1,7,14,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,0,0,0,2,0,2,0,1,0,5,1,0,5,0,0,2,0,0,0,0,0,39,0,0,1,0,0
2022-12-12T23,125,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,2,0,0,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,1,0,0,0,0,2,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,1,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0,6,0,0,0,0,0,0,0,0,44,0,0,0,0,0
