bucket,total,--,AR,AT,AU,BE,BH,BR,CA,CH,CL,CN,CO,DE,DZ,EC,EG,ES,FI,FR,GB,GH,GR,HK,ID,IE,IL,IN,IR,IT,JP,KE,KR,KZ,LU,MW,MX,MY,NL,NZ,PH,PL,PT,RO,RU,RW,SE,SG,TH,TR,TW,UA,US,VN,ZA
2022-12-18T00,144,2,0,0,2,1,16,2,13,0,0,3,0,9,0,0,0,4,1,6,10,0,0,1,0,0,0,2,0,6,1,0,0,0,0,0,3,0,8,1,0,1,0,0,2,0,1,5,2,0,2,1,39,0,0
2022-12-18T01,163,3,0,0,0,1,21,1,10,0,4,4,0,7,0,0,0,3,0,7,4,0,0,1,0,0,0,3,0,5,0,0,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,6,0,0,0,1,75,0,0
2022-12-18T02,176,3,0,0,1,0,14,1,10,0,2,3,2,7,0,1,0,2,0,4,4,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,1,3,5,1,1,1,0,1,1,1,1,5,1,0,1,0,92,0,0
2022-12-18T03,116,2,0,0,1,0,14,2,5,0,0,7,0,5,0,0,0,1,0,5,4,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,2,0,0,1,4,0,0,6,1,0,1,0,42,1,0
2022-12-18T04,140,3,0,0,0,0,0,0,3,0,0,6,0,4,0,0,0,1,0,3,5,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,5,1,1,0,0,97,0,0
2022-12-18T05,126,2,0,0,0,0,0,0,3,0,0,4,0,6,0,0,1,1,0,2,3,0,0,1,0,34,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,5,0,0,8,5,1,0,1,40,3,0
2022-12-18T06,356,3,0,1,1,0,35,0,2,0,0,2,0,19,0,0,1,1,0,25,4,0,0,1,0,53,0,2,0,1,11,0,0,0,0,1,2,1,2,0,0,0,0,0,1,0,1,7,1,1,0,1,174,2,0
2022-12-18T07,126,6,1,0,2,0,38,0,2,0,0,3,0,6,1,0,1,1,0,2,2,0,0,3,2,0,0,3,0,1,0,0,0,0,0,1,1,2,3,0,0,1,0,0,2,0,1,7,1,1,4,2,23,3,0
2022-12-18T08,135,5,1,1,1,0,0,0,0,0,0,3,0,9,0,0,0,1,0,1,4,0,0,4,1,0,0,2,0,2,11,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,1,0,3,0,74,1,1
2022-12-18T09,179,2,1,1,1,0,0,0,0,2,0,3,0,31,0,0,0,1,0,4,2,0,1,2,1,27,0,0,0,1,5,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,2,6,1,0,2,0,77,1,0
2022-12-18T10,261,1,0,1,2,0,0,0,1,2,1,8,0,35,0,0,0,4,0,4,8,0,0,0,1,1,0,0,1,3,2,0,3,1,0,0,0,1,1,0,0,1,1,2,2,0,1,5,3,0,3,2,159,1,0
2022-12-18T11,85,2,0,0,0,0,0,0,0,0,1,2,0,19,0,0,0,3,0,5,4,0,0,1,1,0,1,0,0,5,1,0,1,0,1,0,0,1,4,0,1,2,0,0,2,0,0,7,3,0,3,1,13,1,0
2022-12-18T12,111,2,0,0,1,0,33,0,0,1,1,3,0,17,0,0,0,5,0,3,6,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,5,1,1,6,0,17,0,0
