bucket,total,--,AR,AT,AU,AZ,BA,BD,BE,BO,BR,CA,CH,CI,CL,CN,CO,CZ,DE,DK,ES,FI,FR,GB,GE,GR,HK,ID,IE,IL,IN,IR,IT,JE,JP,KR,LU,MA,MD,MX,MY,NG,NL,NZ,PE,PH,PL,PT,PY,RO,RS,RU,RW,SA,SE,SG,TH,TR,TW,UA,US,VE,VN,ZA
2022-12-25T00,122,1,2,0,0,0,0,0,0,0,1,4,0,0,1,1,1,0,8,0,0,1,13,8,0,0,2,1,0,0,1,0,6,0,1,0,0,2,0,1,0,0,7,0,0,0,1,2,0,2,0,2,1,0,0,7,0,0,2,0,42,0,0,1
2022-12-25T01,108,2,0,0,1,0,0,0,0,0,0,7,0,0,1,0,1,0,9,0,0,0,9,5,0,0,3,0,10,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5,0,0,1,0,46,0,0,0
2022-12-25T02,90,2,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,1,6,0,0,0,1,3,0,0,0,0,17,1,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,34,0,0,0
2022-12-25T03,66,2,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,4,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,6,2,0,2,0,34,0,0,0
2022-12-25T04,78,2,1,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,6,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,1,24,1,1,0
2022-12-25T05,70,3,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,6,0,0,0,1,2,1,0,1,0,0,1,1,0,0,0,4,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,3,8,1,0,2,0,18,1,1,0
2022-12-25T06,63,2,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,5,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,2,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,4,0,22,0,0,0
2022-12-25T07,82,3,1,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,5,0,0,0,2,2,0,0,2,0,0,0,0,0,1,0,3,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,5,1,0,5,1,33,0,0,0
2022-12-25T08,70,3,1,0,1,0,0,0,1,0,0,1,0,0,0,5,0,0,5,0,0,0,4,1,0,0,2,0,0,1,1,0,1,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,4,0,4,0,20,0,1,0
2022-12-25T09,63,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,10,0,0,0,2,4,0,0,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,1,0,0,5,3,0,2,0,18,0,0,0
2022-12-25T10,74,4,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,13,0,2,0,5,2,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,4,0,0,1,6,3,1,3,0,16,0,0,0
2022-12-25T11,84,1,0,0,1,0,0,0,1,0,1,2,0,0,0,3,1,0,10,0,2,2,4,4,0,0,4,0,0,1,1,0,5,0,2,1,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,3,1,0,1,5,1,1,4,0,14,0,0,0
2022-12-25T12,127,4,0,0,1,0,0,1,1,0,0,2,0,0,0,4,1,0,13,0,0,1,3,5,0,0,1,0,0,1,1,0,5,0,1,2,0,0,0,0,0,1,6,0,1,1,2,1,0,0,0,1,1,0,1,8,2,0,3,1,50,0,1,0
2022-12-25T13,127,3,1,0,1,1,0,1,0,1,1,2,0,0,0,5,2,0,11,0,1,0,8,6,0,0,5,0,9,1,0,0,3,0,1,2,0,0,0,0,0,0,8,0,1,2,2,0,0,0,0,2,1,0,4,6,6,1,5,1,22,0,1,0
