bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JP,KE,KH,KM,KR,KW,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MQ,MT,MU,MV,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RE,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SZ,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZW
2023-01-01T00,157,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,4,15,0,0,1,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,4,1,0,0,1,9,0,0,0,0,0,1,1,1,0,74,0,0,0,0,0,1,0
2023-01-01T01,148,2,0,0,0,0,0,0,0,1,1,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,27,7,0,0,2,0,0,3,0,0,4,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,1,9,0,0,0,0,0,0,0,0,0,45,0,0,0,1,0,1,0
2023-01-01T02,80,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,9,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0
2023-01-01T03,87,4,0,0,0,0,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,1,3,0,0,32,0,0,0,1,0,0,0
2023-01-01T04,86,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,2,0,0,31,0,0,0,1,0,0,0
2023-01-01T05,237,2,1,0,1,0,2,0,0,1,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,69,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,1,0,0,3,1,0,112,0,0,0,1,0,0,0
2023-01-01T06,130,2,0,0,0,0,62,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,4,0,0,35,0,0,0,0,0,0,0
2023-01-01T07,174,2,0,0,0,0,86,0,0,0,0,0,0,0,12,0,3,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,2,0,1,2,0,0,32,0,0,0,0,0,0,0
2023-01-01T08,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,1,0,0,3,2,0,0,3,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,2,0,0,1,0,0,24,0,0,0,0,0,0,0
2023-01-01T09,104,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,3,0,1,1,1,0,56,0,0,0,0,0,0,0
