bucket,total,--,AE,AR,AT,AU,BE,BG,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DZ,ES,ET,FI,FJ,FR,GB,GE,GR,HK,HU,ID,IE,IN,IR,IT,JP,KH,KR,KZ,LB,MA,MD,MK,MM,MU,MX,MY,MZ,NL,NO,NP,NZ,OM,PA,PH,PK,PL,PT,RO,RU,RW,SE,SG,SK,TH,TM,TN,TR,TW,TZ,UA,US,UY,VE,VN,ZA
2023-01-15T00,155,2,0,0,1,2,1,0,0,0,11,1,0,0,0,1,0,19,0,0,3,0,0,0,4,10,0,0,2,0,0,0,0,0,9,5,0,2,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,2,0,0,1,0,0,0,4,5,0,0,0,1,0,3,0,0,54,0,0,0,0
2023-01-15T01,122,1,0,0,1,2,0,0,0,0,9,0,0,0,0,1,0,12,0,0,2,0,0,0,4,6,0,0,2,0,0,0,1,0,7,5,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,1,5,0,1,0,1,0,4,0,0,48,0,0,0,0
2023-01-15T02,125,4,0,0,0,2,0,0,1,0,9,0,0,1,0,0,0,22,0,0,2,0,0,0,4,2,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,1,0,0,0,5,0,0,53,0,0,0,0
2023-01-15T03,78,3,1,0,0,1,0,0,0,0,11,0,0,2,1,0,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,4,1,1,0,3,0,0,24,1,0,0,0
2023-01-15T04,102,2,0,1,0,2,0,0,0,0,12,0,0,3,0,0,0,11,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,1,7,0,1,0,1,1,3,1,0,35,0,0,0,0
2023-01-15T05,106,2,0,1,0,1,0,0,0,0,14,0,0,0,0,0,0,10,0,0,0,0,0,0,1,3,0,0,3,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,1,2,1,0,53,0,0,0,0
2023-01-15T06,83,3,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,0,1,0,0,36,0,0,0,0
2023-01-15T07,106,2,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,25,0,0,1,1,0,0,4,2,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,4,0,0,0,4,0,0,36,0,0,0,0
2023-01-15T08,103,2,0,1,0,1,0,0,1,0,3,0,0,2,0,0,0,10,0,0,1,0,0,0,2,1,1,0,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7,0,2,0,0,0,3,0,0,53,0,0,0,1
2023-01-15T09,123,3,0,0,0,0,2,0,1,0,2,0,0,1,0,0,0,27,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,1,2,2,0,5,0,0,0,0,0,0,0,1,0,0,5,0,0,1,1,0,0,0,0,0,0,2,0,1,9,0,5,0,0,0,1,0,0,44,0,0,0,0
