bucket,total,--,AD,AE,AM,AO,AR,AT,AU,BA,BB,BD,BE,BF,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JE,JP,KE,KG,KH,KR,KW,KZ,LA,LT,LU,LV,MA,MD,MG,MM,MO,MQ,MT,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SR,TH,TM,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-02-05T00,110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,4,0,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,25,0,0,0,0,0,0,0
2023-02-05T01,126,3,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,12,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,6,0,1,0,0,1,0,0,2,0,0,1,0,0,3,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,48,0,0,0,0,0,0,0
2023-02-05T02,105,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,4,0,14,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,37,0,0,0,0,0,0,0
2023-02-05T03,91,4,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,11,0,0,0,6,0,0,0,0,0,2,1,0,0,0,0,0,1,0,4,4,0,0,0,0,1,0,0,1,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,1,0,1,0,0,3,0,0,27,0,0,0,0,0,0,0
2023-02-05T04,93,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,31,0,0,0,1,0,0,0
2023-02-05T05,58,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,27,0,0,0,1,0,0,0
2023-02-05T06,58,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,6,0,0,24,0,0,0,0,0,0,0
2023-02-05T07,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0
2023-02-05T08,82,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,0,0,0,0,5,0,0,0,0,4,0,0,13,0,0,0,0,1,0,0
2023-02-05T09,91,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,0,0,2,0,0,1,0,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,1,0,0,3,0,4,0,0,0,1,7,0,0,1,0,2,0,0,1,0,4,0,0,13,0,0,0,2,0,0,0
