bucket,total,--,AR,AT,AU,BE,BR,CA,CH,CI,CL,CN,CO,CZ,DE,DK,ES,FI,FR,GB,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KR,KW,LU,LV,MA,MD,MW,MX,MY,NL,PH,PL,PR,PT,RO,RS,RU,SE,SG,TH,TN,TR,TW,UG,US,UZ,VN,ZA
2023-02-19T00,115,2,2,0,0,0,2,7,0,0,0,5,0,0,13,0,1,0,5,11,0,1,1,0,1,0,3,0,8,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,2,1,5,1,0,1,1,0,34,0,0,0
2023-02-19T01,93,1,1,0,0,0,2,7,0,0,0,3,0,0,6,0,2,0,6,7,1,3,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,2,2,2,1,1,0,1,0,3,0,6,1,0,0,1,0,27,0,0,0
2023-02-19T02,92,2,1,1,0,0,4,5,0,0,0,4,1,0,4,1,2,0,7,4,1,5,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,5,0,0,0,5,0,29,0,1,0
2023-02-19T03,85,2,1,0,0,0,0,9,0,0,0,6,1,0,6,1,1,0,3,4,0,2,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,0,7,1,0,0,3,0,26,0,0,0
2023-02-19T04,100,2,1,0,1,0,1,9,0,0,0,6,0,1,8,1,0,0,4,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,1,0,0,2,0,48,0,0,0
2023-02-19T05,160,2,0,0,1,0,2,6,0,0,0,7,1,0,18,0,1,0,4,3,0,2,0,1,29,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,1,0,8,2,0,1,2,0,61,0,0,0
2023-02-19T06,85,1,1,0,1,0,1,6,0,0,0,2,1,0,6,0,0,0,7,2,0,3,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1,7,1,0,0,7,0,26,0,0,0
2023-02-19T07,79,4,1,0,2,0,1,2,0,1,0,3,0,0,7,0,0,0,6,2,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,1,1,3,1,7,0,1,0,3,0,24,0,0,0
2023-02-19T08,104,3,1,0,0,0,1,4,0,1,0,5,0,0,16,0,0,0,5,3,0,4,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,4,12,5,1,1,0,0,1,24,0,1,0
2023-02-19T09,114,1,1,0,0,0,1,0,1,0,0,12,0,0,32,0,2,0,5,4,0,3,1,0,0,0,0,0,6,2,1,0,0,0,0,1,0,0,1,3,2,1,0,0,2,0,3,2,6,1,0,0,1,1,16,1,1,0
2023-02-19T10,139,1,0,2,0,1,0,0,0,0,0,41,0,0,29,0,2,2,8,4,0,1,0,0,0,1,0,0,6,1,1,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,2,6,0,0,0,1,0,21,0,0,0
2023-02-19T11,116,2,0,1,1,1,0,0,0,0,1,5,0,0,24,0,6,0,6,3,0,3,0,1,1,1,1,0,4,3,1,0,0,0,0,0,1,0,0,6,1,4,0,0,0,0,2,1,7,1,1,0,1,0,25,0,0,1
2023-02-19T12,89,1,0,0,0,0,0,1,0,0,0,4,0,0,18,0,7,0,6,4,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,1,4,1,2,0,0,2,0,2,1,6,1,1,0,4,0,17,0,0,0
