bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,MK,MM,MO,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-02-26T00,130,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,10,1,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,6,0,0,6,8,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,6,0,0,1,0,0,1,0,1,0,32,0,0,0,0,0,0,0,0
2023-02-26T01,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,17,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,3,7,0,0,0,1,0,0,0,0,1,2,0,0,9,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,0,0,1,0,1,1,0,0,0,28,0,0,0,0,0,0,0,0
2023-02-26T02,97,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,16,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,4,5,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,6,0,0,1,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0
2023-02-26T03,86,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,17,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,1,0,0,1,0,0,0,25,0,0,0,1,0,0,0,0
2023-02-26T04,87,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,3,4,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4,0,0,2,0,0,0,31,0,0,0,0,0,0,0,0
2023-02-26T05,81,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,8,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,2,0,0,3,0,0,0,32,0,0,0,2,0,0,0,0
2023-02-26T06,87,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,3,0,0,7,0,0,0,33,0,0,0,1,0,0,0,0
2023-02-26T07,81,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,4,4,0,0,0,4,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,1,5,0,0,4,0,0,5,0,0,0,22,0,0,0,0,0,0,0,0
2023-02-26T08,87,3,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,2,0,1,1,4,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,4,0,0,2,0,1,0,24,0,0,1,0,0,0,0,0
2023-02-26T09,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,1,4,0,0,3,4,0,0,0,3,1,0,0,0,0,1,0,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,6,0,0,3,0,0,1,0,0,0,16,0,0,1,0,0,0,0,1
