bucket,total,--,AE,AR,AT,AU,BD,BE,BG,BR,BY,CA,CH,CL,CN,CO,CV,CZ,DE,DK,ES,FI,FR,GB,GR,HK,HU,ID,IE,IN,IR,IT,JP,KH,KR,KZ,LB,LT,LU,LV,MA,MM,MO,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RO,RU,RW,SC,SD,SE,SG,TH,TR,TW,UA,US,VE,VN,ZA
2023-03-12T00,109,1,0,2,0,0,0,1,0,1,0,6,0,0,8,1,0,0,8,1,2,0,12,10,0,2,0,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,5,0,0,0,0,23,0,1,0
2023-03-12T01,98,2,0,2,0,1,1,0,1,2,0,8,0,0,1,1,0,0,8,0,1,0,3,6,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,2,1,0,0,33,0,0,0
2023-03-12T02,88,2,0,0,0,1,0,0,0,0,0,7,0,0,4,0,0,0,7,0,1,0,3,4,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,5,2,1,0,0,36,0,1,0
2023-03-12T03,84,2,0,0,0,0,0,0,0,2,0,6,0,0,1,0,0,0,6,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,2,6,0,0,1,0,44,0,0,0
2023-03-12T04,84,1,0,1,0,3,0,0,0,0,0,6,0,0,14,1,0,0,4,0,0,0,3,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,35,0,0,0
2023-03-12T05,70,1,0,1,0,2,0,0,0,0,0,4,0,0,13,0,0,0,6,0,0,0,2,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,5,0,0,2,0,19,0,0,0
2023-03-12T06,83,1,0,1,0,1,0,0,0,0,0,2,0,0,20,0,0,0,8,0,0,0,4,2,0,2,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0,4,0,18,0,2,0
2023-03-12T07,76,1,0,3,0,5,0,0,0,1,0,1,0,0,13,0,0,0,6,0,0,0,2,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,3,0,23,0,1,0
2023-03-12T08,82,1,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,10,0,0,0,5,3,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,1,0,3,0,25,0,0,0
2023-03-12T09,100,1,0,0,1,1,0,0,0,0,0,2,0,0,23,0,0,0,12,0,1,0,7,2,0,3,0,0,0,2,0,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,7,1,1,1,0,17,1,0,0
