bucket,total,--,AE,AM,AR,AT,AU,BB,BD,BE,BG,BH,BO,BR,BS,BW,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LT,LU,LV,LY,MA,MK,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NG,NI,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,WS,ZA
2023-03-26T00,184,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,6,1,0,3,5,1,0,0,0,16,0,0,0,0,0,0,2,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,6,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,83,0,0,0,2,0,3
2023-03-26T01,114,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,2,3,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
2023-03-26T02,102,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,1,3,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1,7,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,6,0,0,0,1,0,1,0,1,0,0,43,0,0,1,0,0,0
2023-03-26T03,141,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,7,1,0,0,0,8,1,0,0,0,0,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,6,0,0,0,1,0,1,0,0,0,0,60,0,0,0,0,0,0
2023-03-26T04,157,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,1,0,0,0,7,1,0,0,0,0,0,2,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,86,0,0,0,1,0,2
2023-03-26T05,122,2,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,7,0,0,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,0,0,6,0,1,0,2,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,2,0,0,0,1,6,0,0,0,2,0,0,0,4,0,0,47,0,0,0,1,0,4
2023-03-26T06,113,1,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,3,0,0,0,5,0,0,0,0,7,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,9,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,2,0,0,0,2,5,0,0,0,1,0,0,0,4,0,0,44,0,0,0,0,0,0
2023-03-26T07,134,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,11,1,0,0,0,0,0,0,0,0,10,4,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,3,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,3,0,0,60,0,0,0,0,0,0
2023-03-26T08,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,14,1,0,0,0,0,0,1,0,0,6,4,0,0,0,0,3,0,0,0,0,1,0,0,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,6,0,0,0,1,0,0,0,4,0,0,18,0,0,1,0,0,0
2023-03-26T09,108,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,13,1,0,0,0,0,0,4,0,0,6,8,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,4,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,7,0,0,0,0,0,0,0,3,0,0,31,0,0,0,1,0,0
2023-03-26T10,159,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,13,0,0,0,0,28,1,0,0,0,0,0,1,0,0,11,7,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,10,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,3,7,0,0,0,1,0,0,0,3,0,0,42,0,0,0,1,0,1
2023-03-26T11,145,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,1,0,0,24,0,0,0,0,25,1,0,0,0,0,0,2,0,0,5,8,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,2,1,0,2,0,3,0,0,0,2,6,0,0,0,4,0,0,0,1,0,0,25,0,0,0,1,0,5
2023-03-26T12,176,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,6,3,0,0,16,0,0,0,0,15,1,0,0,0,0,0,3,0,1,13,12,0,0,0,0,5,0,0,0,0,1,0,0,3,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,2,0,3,0,0,2,0,3,0,0,0,2,6,0,0,0,7,0,1,0,2,0,0,33,0,0,0,0,0,8
2023-03-26T13,206,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,1,11,0,0,0,0,30,1,0,0,0,0,0,2,0,1,19,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,4,0,0,1,0,4,0,0,0,4,7,0,0,0,7,0,0,0,3,0,0,44,0,0,0,0,0,1
2023-03-26T14,252,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,15,0,0,0,0,58,0,0,0,0,0,0,3,0,1,17,12,0,0,0,0,5,0,0,0,0,0,0,1,11,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,3,0,4,1,0,2,0,0,0,0,0,2,8,0,0,0,7,0,1,0,3,0,0,45,0,0,0,0,0,0
