bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JM,JP,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MN,MO,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TM,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-09T00,99,2,0,3,1,0,0,0,0,0,0,0,3,0,12,1,0,0,14,0,0,0,0,7,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,1,2,0,24,0,0,0,0,0,0,0
2023-04-09T01,106,2,0,1,1,0,0,0,0,0,0,0,3,0,11,1,1,0,18,0,0,0,0,3,0,0,0,0,0,0,1,3,4,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,0,0,0,4,0,0,2,0,0,23,0,0,0,1,0,0,0
2023-04-09T02,97,2,0,1,1,1,0,0,0,0,0,0,1,0,11,0,0,0,15,4,0,0,0,3,0,0,0,0,0,0,1,6,2,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,2,0,0,0,1,0,25,0,0,0,0,0,0,0
2023-04-09T03,123,4,0,3,1,0,0,0,0,0,0,0,3,0,9,0,2,0,13,3,0,0,0,5,0,0,0,0,1,0,0,1,4,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,5,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,1,6,0,0,0,2,0,1,2,1,1,38,1,0,0,0,0,0,0
2023-04-09T04,88,1,0,2,1,0,0,0,0,0,0,0,3,0,4,0,1,0,5,4,0,0,0,5,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,2,0,0,1,27,0,0,0,1,0,0,0
2023-04-09T05,100,2,1,1,1,0,0,0,0,0,0,0,1,0,7,0,1,0,7,0,0,0,0,3,0,0,0,0,1,0,0,5,2,0,0,0,0,5,0,0,0,0,1,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,8,0,0,0,0,0,1,3,0,0,30,0,0,0,1,0,0,0
2023-04-09T06,94,3,1,0,1,0,0,0,0,0,0,0,1,0,5,0,1,0,8,0,0,0,0,5,1,0,0,0,1,0,0,3,3,0,0,0,0,5,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,1,0,0,5,0,0,21,0,0,0,1,0,0,0
2023-04-09T07,85,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,8,0,0,0,0,0,0,0,5,4,0,0,0,0,6,0,2,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0
2023-04-09T08,183,7,0,1,1,1,0,0,0,0,0,0,3,0,4,0,1,0,3,0,0,0,0,12,0,0,0,0,1,2,0,3,3,0,1,0,0,5,0,3,0,0,9,1,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,19,0,0,0,2,0,0,2,0,0,75,0,0,0,1,0,0,0
2023-04-09T09,129,4,0,1,1,0,0,0,0,1,0,0,3,0,3,1,1,0,3,0,0,0,0,10,0,0,0,0,0,1,1,5,4,0,0,0,0,4,0,2,0,0,5,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,13,0,0,0,0,0,0,2,0,0,41,0,0,0,1,0,0,0
