bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LU,LV,MA,MK,MN,MT,MU,MX,MY,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SK,SO,TH,TM,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM
2023-04-16T00,113,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,17,1,0,0,8,1,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,7,0,0,1,1,0,1,0,0,0,40,0,0,0,0,0,0
2023-04-16T01,81,1,0,1,0,2,0,0,0,0,0,0,1,0,5,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0
2023-04-16T02,80,1,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,18,0,0,1,4,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,2,0,0,25,0,0,0,0,0,0
2023-04-16T03,75,2,0,0,0,1,0,0,0,0,1,0,0,0,6,0,1,16,0,0,0,6,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,26,0,0,0,0,0,0
2023-04-16T04,80,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,7,1,0,0,6,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,2,0,0,25,0,0,0,0,0,0
2023-04-16T05,62,4,0,0,0,1,0,0,0,0,0,0,2,0,8,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,3,0,0,21,0,0,0,0,0,0
2023-04-16T06,80,4,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,7,0,0,0,0,0,0,1,0,0,6,5,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,6,0,0,3,0,0,0,3,0,0,17,0,0,0,0,0,0
2023-04-16T07,66,1,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,2,0,0,0,6,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,2,0,1,23,0,0,0,0,0,0
2023-04-16T08,140,3,0,1,1,1,0,0,1,0,0,0,1,0,2,1,0,3,0,0,0,13,0,0,0,0,0,0,1,0,0,8,2,0,0,0,0,0,1,2,1,0,7,0,1,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,23,0,0,4,0,0,0,3,0,0,43,0,0,0,0,1,0
2023-04-16T09,125,2,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,17,1,0,0,0,0,0,5,0,0,9,8,0,0,1,0,0,0,2,1,0,2,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,11,0,0,5,0,0,0,3,0,0,22,0,0,0,1,1,0
2023-04-16T10,98,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,13,0,0,0,14,0,0,0,0,0,0,2,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,1,3,0,0,16,0,0,0,1,0,0
2023-04-16T11,115,4,0,1,1,2,0,0,0,0,0,0,1,0,1,1,0,12,0,0,1,15,0,0,0,0,0,0,2,0,1,6,6,0,0,6,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,5,0,0,3,7,0,0,12,0,0,0,1,0,0
2023-04-16T12,152,3,1,0,0,1,0,0,0,4,0,0,0,0,2,1,0,16,0,0,1,24,0,0,0,0,0,0,1,0,2,7,9,0,0,15,0,0,0,1,0,0,1,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,7,0,0,5,0,0,1,4,0,0,15,0,0,0,0,0,0
2023-04-16T13,163,1,0,0,2,0,0,0,0,3,0,0,1,0,4,0,0,16,0,0,1,27,0,0,0,0,0,0,1,0,0,12,9,0,0,20,0,1,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,6,0,0,7,0,0,0,4,0,0,16,0,0,0,1,0,0
2023-04-16T14,176,3,0,0,2,0,0,0,0,3,0,0,2,0,3,1,2,15,0,0,1,30,0,0,0,0,0,0,3,0,0,10,10,0,0,4,0,1,0,0,0,1,3,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,6,0,0,15,0,0,0,7,0,1,19,0,0,0,2,0,0
2023-04-16T15,181,2,0,0,0,0,0,0,0,2,0,0,1,0,4,2,0,15,0,0,1,33,0,0,0,0,0,0,5,0,0,14,9,0,0,5,0,0,0,0,0,0,2,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,2,10,0,0,15,0,0,0,1,0,0,19,0,0,0,1,0,0
2023-04-16T16,187,2,0,0,1,0,0,0,0,1,0,0,0,0,7,0,1,3,0,0,1,36,0,0,0,0,0,0,3,0,0,25,15,0,0,3,0,1,0,0,0,0,1,0,1,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,2,1,1,0,0,0,0,0,0,3,0,0,6,7,0,0,14,0,0,3,1,0,0,19,0,0,0,0,0,0
2023-04-16T17,189,2,1,0,0,0,0,0,0,2,0,0,2,0,6,1,1,2,0,0,1,37,1,0,0,2,0,0,6,0,0,9,16,0,0,3,0,1,1,0,0,1,3,0,0,16,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,14,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,8,0,0,12,0,0,0,0,0,0,26,0,0,0,0,0,0
2023-04-16T18,214,2,1,1,1,0,0,0,0,2,0,0,2,0,9,1,1,4,1,0,3,52,1,0,0,2,0,0,7,0,0,8,11,0,0,1,0,1,0,0,0,1,2,0,0,15,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,1,0,4,0,2,0,0,1,0,1,0,0,3,8,0,0,7,0,0,0,0,0,0,27,0,0,0,0,0,0
2023-04-16T19,181,2,1,1,0,0,0,0,0,1,0,0,1,0,12,1,1,2,1,0,1,34,0,0,0,0,0,0,4,0,1,7,14,0,0,0,0,0,1,0,0,0,3,0,0,11,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,1,0,0,0,0,2,0,2,0,1,0,0,1,0,1,0,0,6,8,0,0,6,0,0,0,0,0,1,30,0,0,0,0,0,0
2023-04-16T20,169,2,0,0,0,0,0,0,0,0,0,0,3,0,9,2,0,0,0,0,1,29,0,0,0,0,0,0,3,0,0,9,15,0,1,0,0,1,1,0,0,0,1,0,0,21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19,1,0,0,0,0,1,0,1,0,1,0,0,1,0,5,0,0,3,7,0,0,1,0,0,0,0,0,1,26,0,0,0,0,1,0
