bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CH,CL,CN,CO,CW,CY,CZ,DE,DK,DO,EC,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MK,MM,MO,MU,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SC,SE,SG,SK,SN,SV,SZ,TG,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-04-30T00,104,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,1,19,0,0,0,0,9,1,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,2,0,0,0,2,0,0,0,33,0,0,0,1,0,0
2023-04-30T01,98,4,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,17,0,0,0,0,6,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,2,0,0,0,2,0,0,0,27,0,0,0,0,0,0
2023-04-30T02,98,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,17,1,0,0,0,7,1,0,0,0,1,0,0,1,4,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,36,0,0,0,0,0,0
2023-04-30T03,83,3,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,0,20,0,0,0,0,5,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0,0,0
2023-04-30T04,88,1,0,0,0,1,0,0,1,0,0,0,0,0,0,8,0,0,17,0,0,0,0,7,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0
2023-04-30T05,92,2,0,0,0,0,0,1,1,0,0,0,0,1,0,9,0,0,19,0,0,0,0,6,1,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,4,0,0,0,19,0,0,0,1,1,0
2023-04-30T06,108,2,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,20,0,0,0,0,13,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,7,0,0,0,28,0,0,0,0,0,0
2023-04-30T07,100,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2,1,0,17,0,0,0,0,16,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,2,0,0,4,5,0,0,0,0,0,2,0,0,0,2,0,0,0,26,0,0,0,0,0,0
2023-04-30T08,95,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,18,0,0,0,0,11,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,4,6,0,0,0,0,0,3,0,0,0,3,0,1,0,19,0,0,0,1,0,0
2023-04-30T09,97,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,19,0,0,0,0,13,1,0,0,0,4,0,0,1,5,0,0,2,0,0,0,0,0,0,0,9,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,5,0,0,0,0,0,5,0,1,0,2,0,0,0,10,0,0,0,0,0,0
