bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GF,GG,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MC,MK,MM,MN,MU,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SR,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-05-07T00,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,1,0,0,0,16,1,0,0,0,0,0,4,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,2,3,0,27,0,0,0,0,0,0,0
2023-05-07T01,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,10,1,0,0,0,7,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,2,0,0,0,3,1,0,23,0,0,0,0,0,0,0
2023-05-07T02,85,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,1,0,0,5,0,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,3,0,0,29,0,0,2,0,0,0,0
2023-05-07T03,76,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,7,0,0,0,6,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,4,0,0,28,0,0,1,0,0,0,0
2023-05-07T04,80,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,2,0,0,0,4,0,0,25,0,0,0,0,0,0,0
2023-05-07T05,90,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,24,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,3,2,0,22,0,0,0,0,0,0,0
2023-05-07T06,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,26,0,0,0,1,0,0,0
2023-05-07T07,89,1,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,19,1,0,0,0,6,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,4,0,0,0,5,1,0,23,0,0,1,0,0,0,0
2023-05-07T08,99,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,11,0,0,0,0,12,1,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,5,0,0,0,4,1,0,22,0,0,0,0,0,0,0
2023-05-07T09,91,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,13,0,0,0,0,10,1,0,0,0,0,0,3,0,0,5,5,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,5,0,0,0,5,0,0,14,0,0,0,0,0,0,0
